Ano,PIB - Atividades imobiliárias (média 1995 = 100)
2003-1,126.45980915464607
2003-2,126.58181336832098
2003-3,126.70381758199589
2003-4,126.8258217956708
2003-5,126.976217268469
2003-6,127.12661274126718
2003-7,127.27700821406538
2003-8,127.78581374211153
2003-9,128.29461927015768
2003-10,128.80342479820382
2003-11,129.56686929035564
2003-12,130.33031378250743
2004-1,131.09375827465925
2004-2,131.98976210790366
2004-3,132.88576594114804
2004-4,133.78176977439244
2004-5,134.40983551104515
2004-6,135.03790124769785
2004-7,135.66596698435055
2004-8,136.07831726999564
2004-9,136.4906675556407
2004-10,136.9030178412858
2004-11,137.22885225518075
2004-12,137.5546866690757
2005-1,137.88052108297066
2005-2,138.4383011536618
2005-3,138.99608122435293
2005-4,139.55386129504407
2005-5,139.95474220418083
2005-6,140.35562311331756
2005-7,140.75650402245432
2005-8,141.25619441715205
2005-9,141.75588481184974
2005-10,142.25557520654746
2005-11,142.75695932798442
2005-12,143.2583434494214
2006-1,143.75972757085836
2006-2,144.5557082419601
2006-3,145.35168891306182
2006-4,146.14766958416357
2006-5,146.88575068887118
2006-6,147.62383179357877
2006-7,148.3619128982864
2006-8,149.11491383618767
2006-9,149.86791477408894
2006-10,150.62091571199022
2006-11,151.30727369782838
2006-12,151.99363168366656
2007-1,152.67998966950472
2007-2,153.32631902904507
2007-3,153.97264838858544
2007-4,154.6189777481258
2007-5,154.96803306283462
2007-6,155.31708837754346
2007-7,155.6661436922523
2007-8,155.9131643598258
2007-9,156.1601850273993
2007-10,156.40720569497282
2007-11,156.62927034318636
2007-12,156.85133499139988
2008-1,157.07339963961343
2008-2,157.22858077228662
2008-3,157.38376190495984
2008-4,157.53894303763303
2008-5,157.71854443257627
2008-6,157.8981458275195
2008-7,158.07774722246273
2008-8,158.2647084581022
2008-9,158.45166969374168
2008-10,158.63863092938115
2008-11,159.1005672607899
2008-12,159.56250359219862
2009-1,160.02443992360736
2009-2,160.62060444548413
2009-3,161.21676896736093
2009-4,161.8129334892377
2009-5,162.41246682916747
2009-6,163.01200016909723
2009-7,163.611533509027
2009-8,164.279526340619
2009-9,164.94751917221097
