Ano,Rio De Janeiro - Produção de Cimento (t)
2014,2795.256292204249
2015,2440.5393733894166
2016,2231.5956246091628
2017,2351.8362506948565
2018,2556.857798634678
2019,2665.298375461652
2020,2738.8484818295588
2021,2784.919503236303
2022,2789.1287429424237
