,Minas Gerais - IDH Longevidade
2003-1,0.8261747233137611
2003-2,0.8266172445044698
2003-3,0.8270597656951786
2003-4,0.8275022868858873
2003-5,0.8279448080765961
2003-6,0.8283873292673049
2003-7,0.8288298504580136
2003-8,0.8292723716487225
2003-9,0.8297148928394312
2003-10,0.83015741403014
2003-11,0.8305999352208487
2003-12,0.8310424564115575
2004-1,0.8314849776022663
2004-2,0.8318750133906481
2004-3,0.83226504917903
2004-4,0.8326550849674118
2004-5,0.8330451207557936
2004-6,0.8334351565441754
2004-7,0.8338251923325573
2004-8,0.8342152281209392
2004-9,0.834605263909321
2004-10,0.8349952996977028
2004-11,0.8353853354860847
2004-12,0.8357753712744665
2005-1,0.8361654070628484
2005-2,0.836503915167876
2005-3,0.8368424232729038
2005-4,0.8371809313779315
2005-5,0.8375194394829591
2005-6,0.8378579475879869
2005-7,0.8381964556930146
2005-8,0.8385349637980423
2005-9,0.83887347190307
2005-10,0.8392119800080977
2005-11,0.8395504881131254
2005-12,0.8398889962181532
2006-1,0.8402275043231808
2006-2,0.8405154424638271
2006-3,0.8408033806044735
2006-4,0.8410913187451199
2006-5,0.8413792568857662
2006-6,0.8416671950264125
2006-7,0.8419551331670588
2006-8,0.8422430713077051
2006-9,0.8425310094483515
2006-10,0.8428189475889978
2006-11,0.8431068857296442
2006-12,0.8433948238702905
2007-1,0.8436827620109368
2007-2,0.8439210879061746
2007-3,0.8441594138014125
2007-4,0.8443977396966502
2007-5,0.844636065591888
2007-6,0.8448743914871258
2007-7,0.8451127173823636
2007-8,0.8453510432776014
2007-9,0.8455893691728392
2007-10,0.845827695068077
2007-11,0.8460660209633147
2007-12,0.8463043468585526
2008-1,0.8465426727537904
2008-2,0.8467323441225924
2008-3,0.8469220154913945
2008-4,0.8471116868601964
2008-5,0.8473013582289984
2008-6,0.8474910295978005
2008-7,0.8476807009666025
2008-8,0.8478703723354045
2008-9,0.8480600437042066
2008-10,0.8482497150730086
2008-11,0.8484393864418106
2008-12,0.8486290578106127
2009-1,0.8488187291794147
2009-2,0.8489607037407537
2009-3,0.8491026783020927
2009-4,0.8492446528634319
2009-5,0.8493866274247709
2009-6,0.8495286019861099
2009-7,0.8496705765474489
2009-8,0.849812551108788
2009-9,0.849954525670127
2009-10,0.850096500231466
2009-11,0.8502384747928051
2009-12,0.8503804493541441
2010-1,0.8505224239154832
2010-2,0.850617659388332
2010-3,0.8507128948611808
2010-4,0.8508081303340298
2010-5,0.8509033658068786
2010-6,0.8509986012797275
2010-7,0.8510938367525763
2010-8,0.8511890722254252
2010-9,0.851284307698274
2010-10,0.8513795431711229
2010-11,0.8514747786439718
2010-12,0.8515700141168207
2011-1,0.8516652495896695
2011-2,0.8517104012372195
2011-3,0.8517555528847695
2011-4,0.8518007045323195
2011-5,0.8518458561798694
2011-6,0.8518910078274194
2011-7,0.8519361594749695
2011-8,0.8519813111225194
2011-9,0.8520264627700694
2011-10,0.8520716144176194
2011-11,0.8521167660651694
2011-12,0.8521619177127193
2012-1,0.8522070693602694
2012-2,0.8522085073419379
2012-3,0.8522099453236064
2012-4,0.8522113833052749
2012-5,0.8522128212869435
2012-6,0.852214259268612
2012-7,0.8522156972502806
2012-8,0.8522171352319491
2012-9,0.8522185732136176
2012-10,0.8522200111952862
2012-11,0.8522214491769547
2012-12,0.8522228871586233
2013-1,0.8522243251402918
2013-2,0.8521911607315438
2013-3,0.8521579963227959
2013-4,0.8521248319140479
2013-5,0.8520916675052999
2013-6,0.852058503096552
2013-7,0.852025338687804
2013-8,0.8519921742790559
2013-9,0.851959009870308
2013-10,0.85192584546156
2013-11,0.851892681052812
2013-12,0.8518595166440641
2014-1,0.8518263522353161
2014-2,0.8517557019036169
2014-3,0.8516850515719178
2014-4,0.8516144012402185
2014-5,0.8515437509085193
2014-6,0.8514731005768201
2014-7,0.851402450245121
2014-8,0.8513317999134218
2014-9,0.8512611495817226
2014-10,0.8511904992500234
2014-11,0.8511198489183242
2014-12,0.851049198586625
2015-1,0.8509785482549258
2015-2,0.8519215199533093
2015-3,0.8528644916516928
2015-4,0.8538074633500763
2015-5,0.8547504350484597
2015-6,0.8556934067468432
2015-7,0.8566363784452267
2015-8,0.8575793501436102
2015-9,0.8585223218419937
2015-10,0.8594652935403772
2015-11,0.8604082652387607
2015-12,0.8613512369371441
2016-1,0.8622942086355276
2016-2,0.8622282556706453
2016-3,0.8621623027057629
2016-4,0.8620963497408805
2016-5,0.8620303967759981
2016-6,0.8619644438111158
2016-7,0.8618984908462334
2016-8,0.861832537881351
2016-9,0.8617665849164686
2016-10,0.8617006319515863
2016-11,0.8616346789867039
2016-12,0.8615687260218214
2017-1,0.8615027730569391
2017-2,0.8614005213376735
2017-3,0.8612982696184079
2017-4,0.8611960178991422
2017-5,0.8610937661798767
2017-6,0.8609915144606111
2017-7,0.8608892627413454
2017-8,0.8607870110220798
2017-9,0.8606847593028142
2017-10,0.8605825075835486
2017-11,0.860480255864283
2017-12,0.8603780041450173
2018-1,0.8602757524257517
2018-2,0.8601339020653408
2018-3,0.8599920517049298
2018-4,0.8598502013445188
2018-5,0.8597083509841078
2018-6,0.8595665006236969
2018-7,0.8594246502632858
2018-8,0.8592827999028749
2018-9,0.859140949542464
2018-10,0.858999099182053
2018-11,0.858857248821642
2018-12,0.858715398461231
2019-1,0.8585735481008201
2019-2,0.858388499222796
2019-3,0.858203450344772
2019-4,0.8580184014667478
2019-5,0.8578333525887237
2019-6,0.8576483037106997
2019-7,0.8574632548326756
2019-8,0.8572782059546515
2019-9,0.8570931570766275
2019-10,0.8569081081986034
2019-11,0.8567230593205792
2019-12,0.8565380104425552
2020-1,0.8563529615645311
2020-2,0.8561889688491109
2020-3,0.8560249761336907
2020-4,0.8558609834182704
2020-5,0.8556969907028502
2020-6,0.85553299798743
2020-7,0.8553690052720098
2020-8,0.8552050125565895
2020-9,0.8550410198411693
2020-10,0.8548770271257491
2020-11,0.8547130344103289
2020-12,0.8545490416949086
2021-1,0.8543850489794884
2021-2,0.8544485720778179
2021-3,0.8545120951761473
2021-4,0.8545756182744768
2021-5,0.8546391413728063
2021-6,0.8547026644711357
2021-7,0.8547661875694652
2021-8,0.8548297106677947
2021-9,0.8548932337661241
2021-10,0.8549567568644536
2021-11,0.8550202799627831
2021-12,0.8550838030611125
2022-1,0.855147326159442
