,Maranhão - IDH Longevidade
2003-1,0.7222042719883235
2003-2,0.7225126685932987
2003-3,0.7228210651982738
2003-4,0.723129461803249
2003-5,0.7234378584082242
2003-6,0.7237462550131993
2003-7,0.7240546516181745
2003-8,0.7243630482231496
2003-9,0.7246714448281247
2003-10,0.7249798414330999
2003-11,0.7252882380380751
2003-12,0.7255966346430502
2004-1,0.7259050312480254
2004-2,0.726176155494837
2004-3,0.7264472797416486
2004-4,0.7267184039884602
2004-5,0.7269895282352717
2004-6,0.7272606524820834
2004-7,0.7275317767288949
2004-8,0.7278029009757065
2004-9,0.7280740252225182
2004-10,0.7283451494693297
2004-11,0.7286162737161413
2004-12,0.7288873979629529
2005-1,0.7291585222097645
2005-2,0.7293930965282076
2005-3,0.7296276708466506
2005-4,0.7298622451650937
2005-5,0.7300968194835368
2005-6,0.7303313938019798
2005-7,0.7305659681204228
2005-8,0.7308005424388659
2005-9,0.7310351167573089
2005-10,0.731269691075752
2005-11,0.7315042653941951
2005-12,0.7317388397126381
2006-1,0.7319734140310812
2006-2,0.7321721608509507
2006-3,0.7323709076708202
2006-4,0.7325696544906898
2006-5,0.7327684013105593
2006-6,0.7329671481304288
2006-7,0.7331658949502984
2006-8,0.7333646417701678
2006-9,0.7335633885900373
2006-10,0.7337621354099069
2006-11,0.7339608822297764
2006-12,0.7341596290496459
2007-1,0.7343583758695155
2007-2,0.7345220176206065
2007-3,0.7346856593716975
2007-4,0.7348493011227886
2007-5,0.7350129428738795
2007-6,0.7351765846249706
2007-7,0.7353402263760616
2007-8,0.7355038681271526
2007-9,0.7356675098782437
2007-10,0.7358311516293347
2007-11,0.7359947933804257
2007-12,0.7361584351315167
2008-1,0.7363220768826078
2008-2,0.7364513359947154
2008-3,0.7365805951068228
2008-4,0.7367098542189303
2008-5,0.7368391133310379
2008-6,0.7369683724431455
2008-7,0.737097631555253
2008-8,0.7372268906673605
2008-9,0.7373561497794681
2008-10,0.7374854088915757
2008-11,0.7376146680036831
2008-12,0.7377439271157906
2009-1,0.7378731862278982
2009-2,0.7379687851308173
2009-3,0.7380643840337364
2009-4,0.7381599829366554
2009-5,0.7382555818395745
2009-6,0.7383511807424936
2009-7,0.7384467796454126
2009-8,0.7385423785483317
2009-9,0.7386379774512508
2009-10,0.7387335763541699
2009-11,0.738829175257089
2009-12,0.738924774160008
2010-1,0.7390203730629271
2010-2,0.7390830341864527
2010-3,0.7391456953099784
2010-4,0.739208356433504
2010-5,0.7392710175570296
2010-6,0.7393336786805553
2010-7,0.7393963398040809
2010-8,0.7394590009276065
2010-9,0.7395216620511322
2010-10,0.7395843231746578
2010-11,0.7396469842981834
2010-12,0.7397096454217091
2011-1,0.7397723065452347
2011-2,0.7397940795407637
2011-3,0.7398158525362927
2011-4,0.7398376255318216
2011-5,0.7398593985273506
2011-6,0.7398811715228796
2011-7,0.7399029445184087
