,Espírito Santo - IDH Longevidade
2003-1,0.8405239654463276
2003-2,0.8409766332206765
2003-3,0.8414293009950253
2003-4,0.8418819687693742
2003-5,0.8423346365437231
2003-6,0.842787304318072
2003-7,0.8432399720924209
2003-8,0.8436926398667697
2003-9,0.8441453076411186
2003-10,0.8445979754154676
2003-11,0.8450506431898164
2003-12,0.8455033109641652
2004-1,0.8459559787385141
2004-2,0.8463572423891494
2004-3,0.8467585060397849
2004-4,0.8471597696904202
2004-5,0.8475610333410555
2004-6,0.8479622969916908
2004-7,0.8483635606423261
2004-8,0.8487648242929615
2004-9,0.8491660879435968
2004-10,0.8495673515942321
2004-11,0.8499686152448676
2004-12,0.8503698788955029
2005-1,0.8507711425461382
2005-2,0.851122026887918
2005-3,0.851472911229698
2005-4,0.851823795571478
2005-5,0.8521746799132579
2005-6,0.8525255642550378
2005-7,0.8528764485968178
2005-8,0.8532273329385978
2005-9,0.8535782172803776
2005-10,0.8539291016221575
2005-11,0.8542799859639375
2005-12,0.8546308703057175
2006-1,0.8549817546474974
2006-2,0.85528328449528
2006-3,0.8555848143430627
2006-4,0.8558863441908454
2006-5,0.8561878740386281
2006-6,0.8564894038864107
2006-7,0.8567909337341935
2006-8,0.8570924635819761
2006-9,0.8573939934297587
2006-10,0.8576955232775414
2006-11,0.857997053125324
2006-12,0.8582985829731068
2007-1,0.8586001128208894
2007-2,0.858853312989533
2007-3,0.8591065131581765
2007-4,0.8593597133268202
2007-5,0.8596129134954636
2007-6,0.8598661136641073
2007-7,0.8601193138327508
2007-8,0.8603725140013944
2007-9,0.860625714170038
2007-10,0.8608789143386815
2007-11,0.8611321145073251
2007-12,0.8613853146759686
2008-1,0.8616385148446122
2008-2,0.8618444101489747
2008-3,0.8620503054533374
2008-4,0.8622562007576999
2008-5,0.8624620960620625
2008-6,0.8626679913664251
2008-7,0.8628738866707877
2008-8,0.8630797819751502
2008-9,0.8632856772795129
2008-10,0.8634915725838754
2008-11,0.863697467888238
2008-12,0.8639033631926006
2009-1,0.8641092584969632
2009-2,0.864268873751903
2009-3,0.8644284890068428
2009-4,0.8645881042617825
2009-5,0.8647477195167222
2009-6,0.864907334771662
2009-7,0.8650669500266017
2009-8,0.8652265652815415
2009-9,0.8653861805364813
2009-10,0.8655457957914211
2009-11,0.8657054110463609
2009-12,0.8658650263013006
2010-1,0.8660246415562404
2010-2,0.8661390015766155
2010-3,0.8662533615969905
2010-4,0.8663677216173655
2010-5,0.8664820816377407
2010-6,0.8665964416581158
2010-7,0.8667108016784908
2010-8,0.8668251616988658
2010-9,0.8669395217192409
2010-10,0.8670538817396161
2010-11,0.8671682417599911
2010-12,0.8672826017803661
2011-1,0.8673969618007412
2011-2,0.8674563141983787
2011-3,0.8675156665960162
2011-4,0.8675750189936536
2011-5,0.8676343713912911
2011-6,0.8676937237889285
2011-7,0.8677530761865659
2011-8,0.8678124285842035
2011-9,0.8678717809818409
2011-10,0.8679311333794784
2011-11,0.8679904857771159
2011-12,0.8680498381747533
2012-1,0.8681091905723908
2012-2,0.8681446710624768
2012-3,0.8681801515525629
2012-4,0.868215632042649
2012-5,0.868251112532735
2012-6,0.8682865930228211
2012-7,0.8683220735129071
2012-8,0.8683575540029931
2012-9,0.8683930344930791
2012-10,0.8684285149831652
2012-11,0.8684639954732513
2012-12,0.8684994759633373
2013-1,0.8685349564534234
2013-2,0.8685247825399055
2013-3,0.8685146086263875
2013-4,0.8685044347128696
2013-5,0.8684942607993518
2013-6,0.8684840868858339
2013-7,0.868473912972316
2013-8,0.868463739058798
2013-9,0.8684535651452802
2013-10,0.8684433912317623
2013-11,0.8684332173182443
2013-12,0.8684230434047264
2014-1,0.8684128694912085
2014-2,0.8683601810848975
2014-3,0.8683074926785864
2014-4,0.8682548042722754
2014-5,0.8682021158659644
2014-6,0.8681494274596533
2014-7,0.8680967390533423
2014-8,0.8680440506470313
2014-9,0.8679913622407202
2014-10,0.8679386738344091
2014-11,0.8678859854280981
2014-12,0.867833297021787
2015-1,0.867780608615476
2015-2,0.8687522065727659
2015-3,0.8697238045300557
2015-4,0.8706954024873457
2015-5,0.8716670004446355
2015-6,0.8726385984019254
2015-7,0.8736101963592153
2015-8,0.8745817943165052
2015-9,0.875553392273795
2015-10,0.8765249902310849
2015-11,0.8774965881883747
2015-12,0.8784681861456647
2016-1,0.8794397841029545
2016-2,0.8793825097400981
2016-3,0.8793252353772417
2016-4,0.8792679610143853
2016-5,0.8792106866515289
2016-6,0.8791534122886725
2016-7,0.8790961379258162
2016-8,0.8790388635629598
2016-9,0.8789815892001034
2016-10,0.878924314837247
2016-11,0.8788670404743906
2016-12,0.8788097661115342
2017-1,0.8787524917486778
2017-2,0.8786521318376829
2017-3,0.878551771926688
2017-4,0.8784514120156931
2017-5,0.8783510521046982
2017-6,0.8782506921937033
2017-7,0.8781503322827084
2017-8,0.8780499723717137
2017-9,0.8779496124607188
2017-10,0.8778492525497239
2017-11,0.877748892638729
2017-12,0.8776485327277341
2018-1,0.8775481728167392
2018-2,0.8774008104895933
2018-3,0.8772534481624474
2018-4,0.8771060858353015
2018-5,0.8769587235081556
2018-6,0.8768113611810097
2018-7,0.8766639988538638
2018-8,0.8765166365267179
2018-9,0.8763692741995719
2018-10,0.876221911872426
2018-11,0.8760745495452801
2018-12,0.8759271872181342
2019-1,0.8757798248909883
2019-2,0.8755811872007685
2019-3,0.8753825495105487
2019-4,0.875183911820329
2019-5,0.8749852741301092
2019-6,0.8747866364398894
2019-7,0.8745879987496696
2019-8,0.8743893610594499
2019-9,0.8741907233692301
2019-10,0.8739920856790103
2019-11,0.8737934479887906
2019-12,0.8735948102985708
2020-1,0.873396172608351
2020-2,0.8732325072493233
2020-3,0.8730688418902957
2020-4,0.8729051765312681
2020-5,0.8727415111722404
2020-6,0.8725778458132127
2020-7,0.8724141804541852
2020-8,0.8722505150951575
2020-9,0.8720868497361298
2020-10,0.8719231843771021
2020-11,0.8717595190180745
2020-12,0.8715958536590469
2021-1,0.8714321883000192
2021-2,0.8714884927568376
2021-3,0.8715447972136559
2021-4,0.8716011016704742
2021-5,0.8716574061272925
2021-6,0.8717137105841108
2021-7,0.8717700150409291
2021-8,0.8718263194977475
2021-9,0.8718826239545658
2021-10,0.8719389284113841
2021-11,0.8719952328682025
2021-12,0.8720515373250207
2022-1,0.8721078417818391
