,Acre - IDH Longevidade
2003-1,0.773064968209765
2003-2,0.773454156278328
2003-3,0.7738433443468912
2003-4,0.7742325324154542
2003-5,0.7746217204840172
2003-6,0.7750109085525804
2003-7,0.7754000966211434
2003-8,0.7757892846897064
2003-9,0.7761784727582696
2003-10,0.7765676608268326
2003-11,0.7769568488953956
2003-12,0.7773460369639588
2004-1,0.7777352250325218
2004-2,0.7780813888705338
2004-3,0.7784275527085457
2004-4,0.7787737165465576
2004-5,0.7791198803845696
2004-6,0.7794660442225816
2004-7,0.7798122080605935
2004-8,0.7801583718986054
2004-9,0.7805045357366174
2004-10,0.7808506995746294
2004-11,0.7811968634126413
2004-12,0.7815430272506532
2005-1,0.7818891910886652
2005-2,0.7821931880632471
2005-3,0.7824971850378292
2005-4,0.7828011820124112
2005-5,0.7831051789869932
2005-6,0.7834091759615751
2005-7,0.7837131729361572
2005-8,0.7840171699107392
2005-9,0.7843211668853212
2005-10,0.7846251638599031
2005-11,0.7849291608344852
2005-12,0.7852331578090672
2006-1,0.7855371547836492
2006-2,0.7857998422619225
2006-3,0.7860625297401956
2006-4,0.7863252172184689
2006-5,0.7865879046967421
2006-6,0.7868505921750154
2006-7,0.7871132796532887
2006-8,0.7873759671315619
2006-9,0.7876386546098352
2006-10,0.7879013420881084
2006-11,0.7881640295663817
2006-12,0.7884267170446548
2007-1,0.7886894045229281
2007-2,0.7889116398720137
2007-3,0.7891338752210995
2007-4,0.7893561105701851
2007-5,0.7895783459192708
2007-6,0.7898005812683564
2007-7,0.7900228166174421
2007-8,0.7902450519665277
2007-9,0.7904672873156133
2007-10,0.790689522664699
2007-11,0.7909117580137847
2007-12,0.7911339933628704
2008-1,0.791356228711956
2008-2,0.7915388692989752
2008-3,0.7917215098859945
2008-4,0.7919041504730138
2008-5,0.792086791060033
2008-6,0.7922694316470523
2008-7,0.7924520722340715
2008-8,0.7926347128210908
2008-9,0.7928173534081101
2008-10,0.7929999939951293
2008-11,0.7931826345821485
2008-12,0.7933652751691679
2009-1,0.7935479157561871
2009-2,0.7936918189482611
2009-3,0.7938357221403352
2009-4,0.7939796253324092
2009-5,0.7941235285244832
2009-6,0.7942674317165572
2009-7,0.7944113349086313
2009-8,0.7945552381007053
2009-9,0.7946991412927793
2009-10,0.7948430444848533
2009-11,0.7949869476769273
2009-12,0.7951308508690014
2010-1,0.7952747540610754
2010-2,0.7953807772253254
2010-3,0.7954868003895753
2010-4,0.7955928235538253
2010-5,0.7956988467180753
2010-6,0.7958048698823252
2010-7,0.7959108930465753
2010-8,0.7960169162108253
2010-9,0.7961229393750752
2010-10,0.7962289625393252
2010-11,0.7963349857035752
2010-12,0.7964410088678251
2011-1,0.7965470320320751
2011-2,0.7966050599463494
2011-3,0.7966630878606238
2011-4,0.7967211157748981
2011-5,0.7967791436891725
2011-6,0.7968371716034468
2011-7,0.7968951995177211
2011-8,0.7969532274319954
2011-9,0.7970112553462697
2011-10,0.797069283260544
2011-11,0.7971273111748184
2011-12,0.7971853390890927
2012-1,0.7972433670033671
2012-2,0.7972867237186683
2012-3,0.7973300804339694
2012-4,0.7973734371492706
2012-5,0.7974167938645718
2012-6,0.7974601505798729
2012-7,0.797503507295174
2012-8,0.7975468640104753
2012-9,0.7975902207257763
2012-10,0.7976335774410775
2012-11,0.7976769341563787
2012-12,0.7977202908716798
2013-1,0.797763647586981
2013-2,0.7977689506952239
2013-3,0.7977742538034669
2013-4,0.7977795569117098
2013-5,0.7977848600199527
2013-6,0.7977901631281956
2013-7,0.7977954662364386
2013-8,0.7978007693446815
2013-9,0.7978060724529243
2013-10,0.7978113755611673
2013-11,0.7978166786694102
2013-12,0.7978219817776532
2014-1,0.797827284885896
2014-2,0.7977844188087148
2014-3,0.7977415527315335
2014-4,0.7976986866543522
2014-5,0.7976558205771709
2014-6,0.7976129544999896
2014-7,0.7975700884228083
2014-8,0.7975272223456271
2014-9,0.7974843562684458
2014-10,0.7974414901912645
2014-11,0.7973986241140832
2014-12,0.797355758036902
2015-1,0.7973128919597207
2015-2,0.7981515690800164
2015-3,0.7989902462003121
2015-4,0.7998289233206078
2015-5,0.8006676004409036
2015-6,0.8015062775611993
2015-7,0.8023449546814951
2015-8,0.8031836318017909
2015-9,0.8040223089220866
2015-10,0.8048609860423823
2015-11,0.805699663162678
2015-12,0.8065383402829738
2016-1,0.8073770174032695
2016-2,0.8073192675351124
2016-3,0.8072615176669554
2016-4,0.8072037677987983
2016-5,0.8071460179306413
2016-6,0.8070882680624842
2016-7,0.8070305181943271
2016-8,0.8069727683261702
2016-9,0.8069150184580131
2016-10,0.8068572685898561
2016-11,0.806799518721699
2016-12,0.806741768853542
2017-1,0.8066840189853849
2017-2,0.8065831403413348
2017-3,0.8064822616972847
2017-4,0.8063813830532345
2017-5,0.8062805044091844
2017-6,0.8061796257651344
2017-7,0.8060787471210842
2017-8,0.805977868477034
2017-9,0.805876989832984
2017-10,0.8057761111889339
2017-11,0.8056752325448837
2017-12,0.8055743539008335
2018-1,0.8054734752567835
2018-2,0.8053255470390318
2018-3,0.8051776188212802
2018-4,0.8050296906035286
2018-5,0.8048817623857769
2018-6,0.8047338341680254
2018-7,0.8045859059502737
2018-8,0.804437977732522
2018-9,0.8042900495147705
2018-10,0.8041421212970188
2018-11,0.8039941930792671
2018-12,0.8038462648615156
2019-1,0.8036983366437639
2019-2,0.8034990816183378
2019-3,0.8032998265929119
2019-4,0.8031005715674858
2019-5,0.8029013165420598
2019-6,0.8027020615166337
2019-7,0.8025028064912076
2019-8,0.8023035514657817
2019-9,0.8021042964403556
2019-10,0.8019050414149296
2019-11,0.8017057863895036
2019-12,0.8015065313640776
2020-1,0.8013072763386515
2020-2,0.8011277860078837
2020-3,0.8009482956771159
2020-4,0.8007688053463482
2020-5,0.8005893150155804
2020-6,0.8004098246848126
2020-7,0.8002303343540448
2020-8,0.800050844023277
2020-9,0.7998713536925092
2020-10,0.7996918633617414
2020-11,0.7995123730309737
2020-12,0.7993328827002059
2021-1,0.799153392369438
2021-2,0.7992378877661762
2021-3,0.7993223831629144
2021-4,0.7994068785596525
2021-5,0.7994913739563907
2021-6,0.7995758693531289
2021-7,0.799660364749867
2021-8,0.7997448601466053
2021-9,0.7998293555433434
2021-10,0.7999138509400816
2021-11,0.7999983463368198
2021-12,0.8000828417335579
2022-1,0.8001673371302961
