,São Paulo - IDH Longevidade
2003-1,0.8350427985428851
2003-2,0.835424577645538
2003-3,0.835806356748191
2003-4,0.8361881358508441
2003-5,0.836569914953497
2003-6,0.8369516940561499
2003-7,0.8373334731588029
2003-8,0.8377152522614559
2003-9,0.8380970313641088
2003-10,0.8384788104667618
2003-11,0.8388605895694148
2003-12,0.8392423686720678
2004-1,0.8396241477747207
2004-2,0.8399517926370268
2004-3,0.840279437499333
2004-4,0.8406070823616391
2004-5,0.8409347272239451
2004-6,0.8412623720862512
2004-7,0.8415900169485573
2004-8,0.8419176618108635
2004-9,0.8422453066731695
2004-10,0.8425729515354756
2004-11,0.8429005963977818
2004-12,0.8432282412600879
2005-1,0.843555886122394
2005-2,0.8438303233301585
2005-3,0.8441047605379232
2005-4,0.8443791977456877
2005-5,0.8446536349534522
2005-6,0.8449280721612169
2005-7,0.8452025093689814
2005-8,0.845476946576746
2005-9,0.8457513837845106
2005-10,0.8460258209922752
2005-11,0.8463002582000397
2005-12,0.8465746954078044
2006-1,0.8468491326155689
2006-2,0.8470712887545973
2006-3,0.8472934448936257
2006-4,0.847515601032654
2006-5,0.8477377571716824
2006-6,0.8479599133107107
2006-7,0.8481820694497391
2006-8,0.8484042255887675
2006-9,0.8486263817277958
2006-10,0.8488485378668242
2006-11,0.8490706940058526
2006-12,0.849292850144881
2007-1,0.8495150062839093
2007-2,0.8496858079400068
2007-3,0.8498566095961043
2007-4,0.8500274112522018
2007-5,0.8501982129082993
2007-6,0.8503690145643968
2007-7,0.8505398162204943
2007-8,0.8507106178765919
2007-9,0.8508814195326894
2007-10,0.8510522211887869
2007-11,0.8512230228448844
2007-12,0.8513938245009819
2008-1,0.8515646261570794
2008-2,0.8516849999160514
2008-3,0.8518053736750233
2008-4,0.8519257474339953
2008-5,0.8520461211929672
2008-6,0.8521664949519392
2008-7,0.8522868687109111
2008-8,0.8524072424698831
2008-9,0.8525276162288551
2008-10,0.852647989987827
2008-11,0.852768363746799
2008-12,0.8528887375057709
2009-1,0.8530091112647429
2009-2,0.8530799837123947
2009-3,0.8531508561600464
2009-4,0.8532217286076982
2009-5,0.85329260105535
2009-6,0.8533634735030017
2009-7,0.8534343459506535
2009-8,0.8535052183983053
2009-9,0.853576090845957
2009-10,0.8536469632936088
2009-11,0.8537178357412606
2009-12,0.8537887081889123
2010-1,0.8538595806365641
2010-2,0.853881878358701
2010-3,0.8539041760808379
2010-4,0.8539264738029748
2010-5,0.8539487715251117
2010-6,0.8539710692472486
2010-7,0.8539933669693855
2010-8,0.8540156646915225
2010-9,0.8540379624136594
2010-10,0.8540602601357963
2010-11,0.8540825578579332
2010-12,0.8541048555800701
2011-1,0.854127153302207
2011-2,0.8540922033216359
2011-3,0.8540572533410647
2011-4,0.8540223033604937
2011-5,0.8539873533799225
2011-6,0.8539524033993514
2011-7,0.8539174534187803
2011-8,0.8538825034382092
2011-9,0.8538475534576381
2011-10,0.8538126034770669
2011-11,0.8537776534964958
2011-12,0.8537427035159246
2012-1,0.8537077535353536
2012-2,0.8536432240460157
2012-3,0.8535786945566779
2012-4,0.8535141650673401
2012-5,0.8534496355780022
2012-6,0.8533851060886644
2012-7,0.8533205765993266
2012-8,0.8532560471099888
2012-9,0.8531915176206509
2012-10,0.853126988131313
2012-11,0.8530624586419753
2012-12,0.8529979291526375
2013-1,0.8529333996632996
2013-2,0.8528218260498504
2013-3,0.852710252436401
2013-4,0.8525986788229517
2013-5,0.8524871052095024
2013-6,0.8523755315960531
2013-7,0.8522639579826038
2013-8,0.8521523843691545
2013-9,0.8520408107557051
2013-10,0.8519292371422559
2013-11,0.8518176635288066
2013-12,0.8517060899153572
2014-1,0.851594516301908
2014-2,0.8514319782206712
2014-3,0.8512694401394345
2014-4,0.8511069020581977
2014-5,0.8509443639769609
2014-6,0.8507818258957243
2014-7,0.8506192878144875
2014-8,0.8504567497332507
2014-9,0.850294211652014
2014-10,0.8501316735707772
