,Distrito Federal - IDH Longevidade
2003-1,0.8355627451769985
2003-2,0.8359218322709502
2003-3,0.836280919364902
2003-4,0.8366400064588537
2003-5,0.8369990935528054
2003-6,0.8373581806467573
2003-7,0.837717267740709
2003-8,0.8380763548346607
2003-9,0.8384354419286125
2003-10,0.8387945290225642
2003-11,0.839153616116516
2003-12,0.8395127032104678
2004-1,0.8398717903044195
2004-2,0.8401770397370807
2004-3,0.8404822891697419
2004-4,0.8407875386024032
2004-5,0.8410927880350644
2004-6,0.8413980374677256
2004-7,0.8417032869003869
2004-8,0.8420085363330481
2004-9,0.8423137857657093
2004-10,0.8426190351983704
2004-11,0.8429242846310316
2004-12,0.8432295340636929
2005-1,0.8435347834963541
2005-2,0.8437870824054983
2005-3,0.8440393813146425
2005-4,0.8442916802237866
2005-5,0.8445439791329308
2005-6,0.844796278042075
2005-7,0.8450485769512192
2005-8,0.8453008758603633
2005-9,0.8455531747695075
2005-10,0.8458054736786517
2005-11,0.8460577725877958
2005-12,0.84631007149694
2006-1,0.8465623704060842
2006-2,0.8467626059294848
2006-3,0.8469628414528854
2006-4,0.847163076976286
2006-5,0.8473633124996867
2006-6,0.8475635480230873
2006-7,0.847763783546488
2006-8,0.8479640190698885
2006-9,0.8481642545932891
2006-10,0.8483644901166898
2006-11,0.8485647256400903
2006-12,0.848764961163491
2007-1,0.8489651966868916
2007-2,0.8491142559623223
2007-3,0.8492633152377528
2007-4,0.8494123745131834
2007-5,0.8495614337886139
2007-6,0.8497104930640446
2007-7,0.8498595523394752
2007-8,0.8500086116149057
2007-9,0.8501576708903363
2007-10,0.8503067301657669
2007-11,0.8504557894411975
2007-12,0.850604848716628
2008-1,0.8507539079920586
2008-2,0.8508526781572927
2008-3,0.8509514483225267
2008-4,0.8510502184877607
2008-5,0.8511489886529948
2008-6,0.8512477588182289
2008-7,0.851346528983463
2008-8,0.8514452991486969
2008-9,0.851544069313931
2008-10,0.8516428394791651
2008-11,0.851741609644399
2008-12,0.8518403798096331
2009-1,0.8519391499748672
2009-2,0.8519885181676782
2009-3,0.8520378863604892
2009-4,0.8520872545533001
2009-5,0.8521366227461111
2009-6,0.8521859909389221
2009-7,0.8522353591317331
2009-8,0.8522847273245441
2009-9,0.8523340955173551
2009-10,0.852383463710166
2009-11,0.852432831902977
2009-12,0.852482200095788
2010-1,0.852531568288599
2010-2,0.8525324216467605
2010-3,0.8525332750049219
2010-4,0.8525341283630834
2010-5,0.8525349817212449
2010-6,0.8525358350794063
2010-7,0.8525366884375678
2010-8,0.8525375417957293
2010-9,0.8525383951538907
2010-10,0.8525392485120522
2010-11,0.8525401018702137
2010-12,0.8525409552283751
2011-1,0.8525418085865366
2011-2,0.8524880625847966
2011-3,0.8524343165830566
2011-4,0.8523805705813167
2011-5,0.8523268245795766
2011-6,0.8522730785778366
2011-7,0.8522193325760967
2011-8,0.8521655865743567
2011-9,0.8521118405726167
2011-10,0.8520580945708767
2011-11,0.8520043485691366
2011-12,0.8519506025673967
2012-1,0.8518968565656567
2012-2,0.8518058625140293
2012-3,0.851714868462402
2012-4,0.8516238744107746
2012-5,0.8515328803591472
2012-6,0.8514418863075198
2012-7,0.8513508922558923
2012-8,0.851259898204265
2012-9,0.8511689041526376
2012-10,0.8510779101010102
2012-11,0.8509869160493828
2012-12,0.8508959219977554
2013-1,0.850804927946128
2013-2,0.8506716288346429
2013-3,0.8505383297231576
2013-4,0.8504050306116724
2013-5,0.8502717315001872
2013-6,0.8501384323887019
2013-7,0.8500051332772167
2013-8,0.8498718341657315
2013-9,0.8497385350542462
2013-10,0.849605235942761
2013-11,0.8494719368312759
2013-12,0.8493386377197906
2014-1,0.8492053386083054
2014-2,0.8490262090153075
2014-3,0.8488470794223096
2014-4,0.8486679498293117
2014-5,0.8484888202363139
2014-6,0.848309690643316
2014-7,0.848130561050318
2014-8,0.8479514314573202
2014-9,0.8477723018643223
2014-10,0.8475931722713245
2014-11,0.8474140426783265
2014-12,0.8472349130853287
2015-1,0.8470557834923308
2015-2,0.8476872174938216
2015-3,0.8483186514953124
2015-4,0.8489500854968032
2015-5,0.849581519498294
2015-6,0.8502129534997848
2015-7,0.8508443875012754
2015-8,0.8514758215027662
2015-9,0.852107255504257
2015-10,0.8527386895057478
2015-11,0.8533701235072386
2015-12,0.8540015575087294
2016-1,0.8546329915102202
2016-2,0.8544105141731764
2016-3,0.8541880368361326
2016-4,0.8539655594990888
2016-5,0.8537430821620451
2016-6,0.8535206048250013
2016-7,0.8532981274879574
2016-8,0.8530756501509137
2016-9,0.8528531728138699
2016-10,0.8526306954768261
2016-11,0.8524082181397823
2016-12,0.8521857408027386
2017-1,0.8519632634656947
2017-2,0.8516902578858894
2017-3,0.8514172523060841
2017-4,0.8511442467262788
2017-5,0.8508712411464734
2017-6,0.850598235566668
2017-7,0.8503252299868627
2017-8,0.8500522244070574
2017-9,0.849779218827252
2017-10,0.8495062132474467
2017-11,0.8492332076676414
2017-12,0.8489602020878361
2018-1,0.8486871965080307
2018-2,0.8483590692088491
2018-3,0.8480309419096675
2018-4,0.8477028146104859
2018-5,0.8473746873113043
2018-6,0.8470465600121228
2018-7,0.8467184327129411
2018-8,0.8463903054137595
2018-9,0.846062178114578
2018-10,0.8457340508153963
2018-11,0.8454059235162147
2018-12,0.8450777962170332
2019-1,0.8447496689178515
2019-2,0.8443614088338959
2019-3,0.8439731487499402
2019-4,0.8435848886659846
2019-5,0.8431966285820289
2019-6,0.8428083684980733
2019-7,0.8424201084141176
2019-8,0.8420318483301619
2019-9,0.8416435882462062
2019-10,0.8412553281622506
2019-11,0.8408670680782949
2019-12,0.8404788079943393
2020-1,0.8400905479103836
2020-2,0.8401215369097047
2020-3,0.8401525259090258
2020-4,0.8401835149083469
2020-5,0.8402145039076679
2020-6,0.840245492906989
2020-7,0.8402764819063101
2020-8,0.8403074709056312
2020-9,0.8403384599049523
2020-10,0.8403694489042733
2020-11,0.8404004379035944
2020-12,0.8404314269029155
2021-1,0.8404624159022366
2021-2,0.8407462220833142
2021-3,0.8410300282643917
2021-4,0.8413138344454691
2021-5,0.8415976406265467
2021-6,0.8418814468076243
2021-7,0.8421652529887018
2021-8,0.8424490591697793
2021-9,0.8427328653508569
2021-10,0.8430166715319345
2021-11,0.843300477713012
2021-12,0.8435842838940895
2022-1,0.843868090075167
