,Goiás - IDH Longevidade
2003-1,0.7756144428910857
2003-2,0.7759023423196917
2003-3,0.7761902417482976
2003-4,0.7764781411769035
2003-5,0.7767660406055095
2003-6,0.7770539400341154
2003-7,0.7773418394627214
2003-8,0.7776297388913274
2003-9,0.7779176383199333
2003-10,0.7782055377485393
2003-11,0.7784934371771451
2003-12,0.7787813366057511
2004-1,0.7790692360343571
2004-2,0.7793061967027496
2004-3,0.7795431573711421
2004-4,0.7797801180395346
2004-5,0.7800170787079271
2004-6,0.7802540393763197
2004-7,0.7804910000447123
2004-8,0.7807279607131048
2004-9,0.7809649213814973
2004-10,0.7812018820498898
2004-11,0.7814388427182823
2004-12,0.7816758033866749
2005-1,0.7819127640550674
2005-2,0.7820995282273736
2005-3,0.78228629239968
2005-4,0.7824730565719862
2005-5,0.7826598207442924
2005-6,0.7828465849165988
2005-7,0.783033349088905
2005-8,0.7832201132612112
2005-9,0.7834068774335176
2005-10,0.7835936416058238
2005-11,0.78378040577813
2005-12,0.7839671699504364
2006-1,0.7841539341227426
2006-2,0.7842912440630898
2006-3,0.7844285540034369
2006-4,0.7845658639437841
2006-5,0.7847031738841312
2006-6,0.7848404838244785
2006-7,0.7849777937648257
2006-8,0.7851151037051728
2006-9,0.78525241364552
2006-10,0.7853897235858671
2006-11,0.7855270335262143
2006-12,0.7856643434665614
2007-1,0.7858016534069087
2007-2,0.7858902513794239
2007-3,0.7859788493519391
2007-4,0.7860674473244543
2007-5,0.7861560452969695
2007-6,0.7862446432694847
2007-7,0.7863332412419999
2007-8,0.7864218392145151
2007-9,0.7865104371870304
2007-10,0.7865990351595455
2007-11,0.7866876331320608
2007-12,0.786776231104576
2008-1,0.7868648290770912
2008-2,0.7869054573459017
2008-3,0.786946085614712
2008-4,0.7869867138835225
2008-5,0.7870273421523329
2008-6,0.7870679704211433
2008-7,0.7871085986899538
2008-8,0.7871492269587642
2008-9,0.7871898552275746
2008-10,0.787230483496385
2008-11,0.7872711117651955
2008-12,0.7873117400340058
2009-1,0.7873523683028163
2009-2,0.7873457691320491
2009-3,0.7873391699612818
2009-4,0.7873325707905146
2009-5,0.7873259716197474
2009-6,0.7873193724489802
2009-7,0.7873127732782129
2009-8,0.7873061741074456
2009-9,0.7872995749366785
2009-10,0.7872929757659113
2009-11,0.787286376595144
2009-12,0.7872797774243767
2010-1,0.7872731782536095
2010-2,0.7872200939073918
2010-3,0.787167009561174
2010-4,0.7871139252149564
2010-5,0.7870608408687386
2010-6,0.7870077565225209
2010-7,0.7869546721763031
2010-8,0.7869015878300853
2010-9,0.7868485034838676
2010-10,0.7867954191376498
2010-11,0.7867423347914322
2010-12,0.7866892504452144
2011-1,0.7866361660989967
2011-2,0.7865355932226212
2011-3,0.7864350203462458
2011-4,0.7863344474698704
2011-5,0.786233874593495
2011-6,0.7861333017171196
2011-7,0.7860327288407442
2011-8,0.7859321559643687
2011-9,0.7858315830879933
2011-10,0.785731010211618
2011-11,0.7856304373352425
2011-12,0.7855298644588671
2012-1,0.7854292915824916
2012-2,0.7852794949962589
2012-3,0.7851296984100262
2012-4,0.7849799018237935
2012-5,0.7848301052375608
2012-6,0.7846803086513281
2012-7,0.7845305120650954
2012-8,0.7843807154788628
2012-9,0.7842309188926301
2012-10,0.7840811223063974
2012-11,0.7839313257201647
2012-12,0.783781529133932
2013-1,0.7836317325476992
2013-2,0.7834486195792805
2013-3,0.7832655066108617
2013-4,0.7830823936424429
2013-5,0.7828992806740243
2013-6,0.7827161677056055
2013-7,0.7825330547371867
2013-8,0.7823499417687679
2013-9,0.7821668288003492
2013-10,0.7819837158319305
2013-11,0.7818006028635117
2013-12,0.7816174898950929
2014-1,0.7814343769266742
2014-2,0.7812151712108872
2014-3,0.7809959654951002
2014-4,0.7807767597793132
2014-5,0.7805575540635262
2014-6,0.7803383483477393
2014-7,0.7801191426319523
2014-8,0.7798999369161652
2014-9,0.7796807312003783
2014-10,0.7794615254845914
2014-11,0.7792423197688043
2014-12,0.7790231140530173
2015-1,0.7788039083372303
2015-2,0.7792391834712042
2015-3,0.7796744586051783
2015-4,0.7801097337391522
2015-5,0.7805450088731262
2015-6,0.7809802840071001
2015-7,0.7814155591410741
2015-8,0.781850834275048
2015-9,0.7822861094090219
2015-10,0.7827213845429959
2015-11,0.7831566596769698
2015-12,0.7835919348109438
2016-1,0.7840272099449177
2016-2,0.7837698403232883
2016-3,0.7835124707016589
2016-4,0.7832551010800295
2016-5,0.7829977314584
2016-6,0.7827403618367706
2016-7,0.7824829922151413
2016-8,0.7822256225935118
2016-9,0.7819682529718824
2016-10,0.781710883350253
2016-11,0.7814535137286236
2016-12,0.7811961441069941
2017-1,0.7809387744853648
2017-2,0.7806352803526782
2017-3,0.7803317862199914
2017-4,0.7800282920873048
2017-5,0.7797247979546182
2017-6,0.7794213038219316
2017-7,0.779117809689245
2017-8,0.7788143155565583
2017-9,0.7785108214238717
2017-10,0.7782073272911851
2017-11,0.7779038331584984
2017-12,0.7776003390258118
2018-1,0.7772968448931252
2018-2,0.7769430331120125
2018-3,0.7765892213308998
2018-4,0.7762354095497872
2018-5,0.7758815977686745
2018-6,0.7755277859875618
2018-7,0.7751739742064492
2018-8,0.7748201624253365
2018-9,0.7744663506442238
2018-10,0.774112538863111
2018-11,0.7737587270819983
2018-12,0.7734049153008857
2019-1,0.773051103519773
2019-2,0.7726423997585592
2019-3,0.7722336959973454
2019-4,0.7718249922361315
2019-5,0.7714162884749177
2019-6,0.7710075847137039
2019-7,0.77059888095249
2019-8,0.7701901771912761
2019-9,0.7697814734300623
2019-10,0.7693727696688485
2019-11,0.7689640659076347
2019-12,0.7685553621464208
2020-1,0.768146658385207
2020-2,0.7681856482214586
2020-3,0.7682246380577101
2020-4,0.7682636278939617
2020-5,0.7683026177302132
2020-6,0.7683416075664649
2020-7,0.7683805974027165
2020-8,0.768419587238968
2020-9,0.7684585770752196
2020-10,0.7684975669114711
2020-11,0.7685365567477227
2020-12,0.7685755465839742
2021-1,0.7686145364202258
2021-2,0.7689752526052275
2021-3,0.7693359687902293
2021-4,0.7696966849752309
2021-5,0.7700574011602327
2021-6,0.7704181173452344
2021-7,0.7707788335302361
2021-8,0.7711395497152378
2021-9,0.7715002659002395
2021-10,0.7718609820852412
2021-11,0.7722216982702429
2021-12,0.7725824144552447
2022-1,0.7729431306402463
