,Alagoas - IDH Longevidade
2003-1,0.7280815868930433
2003-2,0.7285317139404497
2003-3,0.7289818409878562
2003-4,0.7294319680352628
2003-5,0.7298820950826692
2003-6,0.7303322221300756
2003-7,0.7307823491774822
2003-8,0.7312324762248887
2003-9,0.7316826032722952
2003-10,0.7321327303197016
2003-11,0.7325828573671082
2003-12,0.7330329844145147
2004-1,0.7334831114619211
2004-2,0.7338834431973472
2004-3,0.7342837749327734
2004-4,0.7346841066681995
2004-5,0.7350844384036256
2004-6,0.7354847701390518
2004-7,0.7358851018744779
2004-8,0.736285433609904
2004-9,0.7366857653453301
2004-10,0.7370860970807562
2004-11,0.7374864288161823
2004-12,0.7378867605516085
2005-1,0.7382870922870346
2005-2,0.7386386366146048
2005-3,0.7389901809421752
2005-4,0.7393417252697454
2005-5,0.7396932695973156
2005-6,0.740044813924886
2005-7,0.7403963582524562
2005-8,0.7407479025800264
2005-9,0.7410994469075968
2005-10,0.741450991235167
2005-11,0.7418025355627372
2005-12,0.7421540798903076
2006-1,0.7425056242178778
2006-2,0.7428093890417168
2006-3,0.7431131538655557
2006-4,0.7434169186893946
2006-5,0.7437206835132335
2006-6,0.7440244483370725
2006-7,0.7443282131609115
2006-8,0.7446319779847503
2006-9,0.7449357428085893
2006-10,0.7452395076324282
2006-11,0.7455432724562672
2006-12,0.745847037280106
2007-1,0.746150802103945
2007-2,0.7464077953281771
2007-3,0.7466647885524094
2007-4,0.7469217817766415
2007-5,0.7471787750008737
2007-6,0.7474357682251058
2007-7,0.747692761449338
2007-8,0.7479497546735702
2007-9,0.7482067478978023
2007-10,0.7484637411220345
2007-11,0.7487207343462666
2007-12,0.7489777275704989
2008-1,0.749234720794731
2008-2,0.7494459503234808
2008-3,0.7496571798522308
2008-4,0.7498684093809806
2008-5,0.7500796389097305
2008-6,0.7502908684384805
2008-7,0.7505020979672303
2008-8,0.7507133274959802
2008-9,0.7509245570247302
2008-10,0.75113578655348
2008-11,0.7513470160822299
2008-12,0.7515582456109798
2009-1,0.7517694751397297
2009-2,0.7519359488771219
2009-3,0.752102422614514
2009-4,0.7522688963519062
2009-5,0.7524353700892984
2009-6,0.7526018438266905
2009-7,0.7527683175640827
2009-8,0.7529347913014749
2009-9,0.753101265038867
2009-10,0.7532677387762592
2009-11,0.7534342125136514
2009-12,0.7536006862510435
2010-1,0.7537671599884357
2010-2,0.7538898858385946
2010-3,0.7540126116887537
2010-4,0.7541353375389126
2010-5,0.7542580633890715
2010-6,0.7543807892392306
2010-7,0.7545035150893895
2010-8,0.7546262409395484
2010-9,0.7547489667897075
2010-10,0.7548716926398664
2010-11,0.7549944184900254
2010-12,0.7551171443401844
2011-1,0.7552398701903433
2011-2,0.7553078733759404
2011-3,0.7553758765615375
2011-4,0.7554438797471346
2011-5,0.7555118829327316
2011-6,0.7555798861183287
2011-7,0.7556478893039258
2011-8,0.755715892489523
2011-9,0.75578389567512
2011-10,0.7558518988607171
2011-11,0.7559199020463142
2011-12,0.7559879052319113
2012-1,0.7560559084175084
2012-2,0.7561049077815188
2012-3,0.7561539071455293
2012-4,0.7562029065095398
2012-5,0.7562519058735503
2012-6,0.7563009052375608
2012-7,0.7563499046015711
2012-8,0.7563989039655816
2012-9,0.7564479033295921
2012-10,0.7564969026936026
2012-11,0.7565459020576131
2012-12,0.7565949014216236
2013-1,0.756643900785634
2013-2,0.7566483723188676
2013-3,0.7566528438521012
2013-4,0.7566573153853348
2013-5,0.7566617869185683
2013-6,0.7566662584518019
2013-7,0.7566707299850355
2013-8,0.7566752015182691
2013-9,0.7566796730515026
2013-10,0.7566841445847362
2013-11,0.7566886161179698
2013-12,0.7566930876512034
2014-1,0.7566975591844369
2014-2,0.7566537922343288
2014-3,0.7566100252842207
2014-4,0.7565662583341127
2014-5,0.7565224913840046
2014-6,0.7564787244338965
2014-7,0.7564349574837885
2014-8,0.7563911905336804
2014-9,0.7563474235835723
2014-10,0.7563036566334642
2014-11,0.7562598896833561
2014-12,0.7562161227332481
2015-1,0.75617235578314
2015-2,0.7571471573782625
2015-3,0.7581219589733852
2015-4,0.7590967605685077
2015-5,0.7600715621636304
2015-6,0.7610463637587529
2015-7,0.7620211653538755
2015-8,0.7629959669489981
2015-9,0.7639707685441206
2015-10,0.7649455701392432
2015-11,0.7659203717343658
2015-12,0.7668951733294884
2016-1,0.767869974924611
2016-2,0.7678083838255549
2016-3,0.7677467927264989
2016-4,0.767685201627443
2016-5,0.767623610528387
2016-6,0.767562019429331
2016-7,0.7675004283302751
2016-8,0.7674388372312191
2016-9,0.7673772461321631
2016-10,0.7673156550331071
2016-11,0.767254063934051
2016-12,0.7671924728349951
2017-1,0.7671308817359391
2017-2,0.7670182369006053
2017-3,0.7669055920652715
2017-4,0.7667929472299377
2017-5,0.7666803023946039
2017-6,0.7665676575592701
2017-7,0.7664550127239363
2017-8,0.7663423678886025
2017-9,0.7662297230532688
2017-10,0.766117078217935
2017-11,0.7660044333826012
2017-12,0.7658917885472674
2018-1,0.7657791437119336
2018-2,0.7656108038915694
2018-3,0.7654424640712053
2018-4,0.7652741242508412
2018-5,0.765105784430477
2018-6,0.7649374446101129
2018-7,0.7647691047897488
2018-8,0.7646007649693847
2018-9,0.7644324251490205
2018-10,0.7642640853286564
2018-11,0.7640957455082923
2018-12,0.7639274056879282
2019-1,0.763759065867564
2019-2,0.7635375436392879
2019-3,0.763316021411012
