,Piauí - IDH Longevidade
2003-1,0.7301775918156417
2003-2,0.7305061308719095
2003-3,0.7308346699281774
2003-4,0.7311632089844452
2003-5,0.731491748040713
2003-6,0.7318202870969809
2003-7,0.7321488261532487
2003-8,0.7324773652095166
2003-9,0.7328059042657844
2003-10,0.7331344433220522
2003-11,0.7334629823783201
2003-12,0.7337915214345879
2004-1,0.7341200604908558
2004-2,0.7344059639323726
2004-3,0.7346918673738894
2004-4,0.7349777708154062
2004-5,0.7352636742569231
2004-6,0.7355495776984399
2004-7,0.7358354811399567
2004-8,0.7361213845814735
2004-9,0.7364072880229903
2004-10,0.7366931914645072
2004-11,0.736979094906024
2004-12,0.7372649983475408
2005-1,0.7375509017890576
2005-2,0.737794896017032
2005-3,0.7380388902450065
2005-4,0.7382828844729808
2005-5,0.7385268787009552
2005-6,0.7387708729289297
2005-7,0.7390148671569041
2005-8,0.7392588613848785
2005-9,0.739502855612853
2005-10,0.7397468498408274
2005-11,0.7399908440688018
2005-12,0.7402348382967763
2006-1,0.7404788325247507
2006-2,0.7406816439403913
2006-3,0.740884455356032
2006-4,0.7410872667716726
2006-5,0.7412900781873132
2006-6,0.7414928896029539
2006-7,0.7416957010185945
2006-8,0.7418985124342351
2006-9,0.7421013238498758
2006-10,0.7423041352655164
2006-11,0.742506946681157
2006-12,0.7427097580967977
2007-1,0.7429125695124383
2007-2,0.7430749245169539
2007-3,0.7432372795214693
2007-4,0.7433996345259848
2007-5,0.7435619895305003
2007-6,0.7437243445350159
2007-7,0.7438866995395313
2007-8,0.7440490545440468
2007-9,0.7442114095485624
2007-10,0.7443737645530779
2007-11,0.7445361195575934
2007-12,0.7446984745621088
2008-1,0.7448608295666244
2008-2,0.7449834545612233
2008-3,0.7451060795558223
2008-4,0.7452287045504212
2008-5,0.7453513295450201
2008-6,0.7454739545396192
2008-7,0.7455965795342181
2008-8,0.745719204528817
2008-9,0.745841829523416
2008-10,0.745964454518015
2008-11,0.7460870795126139
2008-12,0.7462097045072129
2009-1,0.7463323295018118
2009-2,0.7464159508877029
2009-3,0.746499572273594
2009-4,0.746583193659485
2009-5,0.746666815045376
2009-6,0.7467504364312672
2009-7,0.7468340578171582
2009-8,0.7469176792030492
2009-9,0.7470013005889403
2009-10,0.7470849219748313
2009-11,0.7471685433607224
2009-12,0.7472521647466135
2010-1,0.7473357861325045
2010-2,0.7473811303108963
2010-3,0.747426474489288
2010-4,0.7474718186676799
2010-5,0.7475171628460716
2010-6,0.7475625070244634
2010-7,0.7476078512028551
2010-8,0.7476531953812469
2010-9,0.7476985395596386
2010-10,0.7477438837380304
2010-11,0.7477892279164222
2010-12,0.747834572094814
2011-1,0.7478799162732057
2011-2,0.7478862178632332
2011-3,0.7478925194532606
2011-4,0.7478988210432881
2011-5,0.7479051226333155
2011-6,0.747911424223343
2011-7,0.7479177258133705
2011-8,0.747924027403398
2011-9,0.7479303289934255
2011-10,0.7479366305834529
2011-11,0.7479429321734804
2011-12,0.7479492337635079
2012-1,0.7479555353535353
2012-2,0.747920504349046
2012-3,0.7478854733445567
2012-4,0.7478504423400674
2012-5,0.7478154113355779
2012-6,0.7477803803310886
2012-7,0.7477453493265993
2012-8,0.74771031832211
2012-9,0.7476752873176207
2012-10,0.7476402563131312
2012-11,0.7476052253086419
2012-12,0.7475701943041526
2013-1,0.7475351632996633
2013-2,0.7474763797114665
2013-3,0.7474175961232697
2013-4,0.747358812535073
2013-5,0.7473000289468762
2013-6,0.7472412453586794
2013-7,0.7471824617704825
2013-8,0.7471236781822858
2013-9,0.747064894594089
2013-10,0.7470061110058922
2013-11,0.7469473274176954
2013-12,0.7468885438294987
2014-1,0.7468297602413019
2014-2,0.7467383002429776
2014-3,0.7466468402446533
2014-4,0.7465553802463291
2014-5,0.7464639202480048
2014-6,0.7463724602496805
2014-7,0.7462810002513562
2014-8,0.7461895402530319
2014-9,0.7460980802547076
2014-10,0.7460066202563833
2014-11,0.745915160258059
2014-12,0.7458237002597348
2015-1,0.7457322402614105
2015-2,0.7463913164453528
2015-3,0.7470503926292953
2015-4,0.7477094688132376
2015-5,0.7483685449971801
2015-6,0.7490276211811224
2015-7,0.7496866973650649
2015-8,0.7503457735490072
2015-9,0.7510048497329496
2015-10,0.751663925916892
2015-11,0.7523230021008344
2015-12,0.7529820782847768
2016-1,0.7536411544687192
2016-2,0.753547526851058
2016-3,0.7534538992333967
2016-4,0.7533602716157355
2016-5,0.7532666439980743
2016-6,0.753173016380413
2016-7,0.7530793887627518
2016-8,0.7529857611450906
2016-9,0.7528921335274293
2016-10,0.7527985059097682
2016-11,0.752704878292107
2016-12,0.7526112506744457
2017-1,0.7525176230567845
2017-2,0.7523927565647904
2017-3,0.7522678900727964
2017-4,0.7521430235808023
2017-5,0.7520181570888083
2017-6,0.7518932905968142
2017-7,0.7517684241048201
2017-8,0.7516435576128261
2017-9,0.751518691120832
2017-10,0.751393824628838
2017-11,0.7512689581368439
2017-12,0.7511440916448499
2018-1,0.7510192251528558
2018-2,0.7508602798888623
2018-3,0.7507013346248688
2018-4,0.7505423893608753
2018-5,0.7503834440968817
2018-6,0.7502244988328882
2018-7,0.7500655535688947
2018-8,0.7499066083049013
2018-9,0.7497476630409078
2018-10,0.7495887177769143
2018-11,0.7494297725129208
2018-12,0.7492708272489272
2019-1,0.7491118819849337
2019-2,0.748915759878759
2019-3,0.7487196377725842
2019-4,0.7485235156664094
2019-5,0.7483273935602347
2019-6,0.74813127145406
2019-7,0.7479351493478852
2019-8,0.7477390272417104
2019-9,0.7475429051355357
2019-10,0.747346783029361
2019-11,0.7471506609231862
2019-12,0.7469545388170113
2020-1,0.7467584167108366
2020-2,0.7465974956253127
2020-3,0.7464365745397887
2020-4,0.7462756534542647
2020-5,0.7461147323687408
2020-6,0.7459538112832169
