,Rio de Janeiro - IDH Longevidade
2003-1,0.8041596785478503
2003-2,0.804512616820868
2003-3,0.8048655550938857
2003-4,0.8052184933669034
2003-5,0.8055714316399211
2003-6,0.8059243699129388
2003-7,0.8062773081859564
2003-8,0.8066302464589742
2003-9,0.8069831847319919
2003-10,0.8073361230050096
2003-11,0.8076890612780273
2003-12,0.8080419995510449
2004-1,0.8083949378240627
2004-2,0.8086955334960879
2004-3,0.8089961291681133
2004-4,0.8092967248401385
2004-5,0.8095973205121638
2004-6,0.809897916184189
2004-7,0.8101985118562143
2004-8,0.8104991075282396
2004-9,0.8107997032002648
2004-10,0.8111002988722902
2004-11,0.8114008945443154
2004-12,0.8117014902163407
2005-1,0.812002085888366
2005-2,0.8122512424647614
2005-3,0.8125003990411568
2005-4,0.8127495556175522
2005-5,0.8129987121939476
2005-6,0.813247868770343
2005-7,0.8134970253467384
2005-8,0.8137461819231339
2005-9,0.8139953384995293
2005-10,0.8142444950759247
2005-11,0.8144936516523201
2005-12,0.8147428082287155
2006-1,0.8149919648051109
2006-2,0.815190585791239
2006-3,0.8153892067773671
2006-4,0.8155878277634951
2006-5,0.8157864487496232
2006-6,0.8159850697357514
2006-7,0.8161836907218795
2006-8,0.8163823117080076
2006-9,0.8165809326941357
2006-10,0.8167795536802638
2006-11,0.8169781746663918
2006-12,0.8171767956525199
2007-1,0.817375416638648
2007-2,0.8175244055398714
2007-3,0.8176733944410948
2007-4,0.8178223833423182
2007-5,0.8179713722435414
2007-6,0.8181203611447648
2007-7,0.8182693500459882
2007-8,0.8184183389472116
2007-9,0.818567327848435
2007-10,0.8187163167496583
2007-11,0.8188653056508817
2007-12,0.8190142945521051
2008-1,0.8191632834533285
2008-2,0.8192635437750097
2008-3,0.8193638040966909
2008-4,0.819464064418372
2008-5,0.8195643247400533
2008-6,0.8196645850617345
2008-7,0.8197648453834157
2008-8,0.8198651057050967
2008-9,0.8199653660267779
2008-10,0.8200656263484591
2008-11,0.8201658866701403
2008-12,0.8202661469918215
2009-1,0.8203664073135027
2009-2,0.8204188425610043
2009-3,0.8204712778085059
2009-4,0.8205237130560075
2009-5,0.8205761483035091
2009-6,0.8206285835510106
2009-7,0.8206810187985123
2009-8,0.8207334540460138
2009-9,0.8207858892935154
2009-10,0.820838324541017
2009-11,0.8208907597885186
2009-12,0.8209431950360202
2010-1,0.8209956302835217
2010-2,0.8210011439622062
2010-3,0.8210066576408908
2010-4,0.8210121713195753
2010-5,0.8210176849982599
2010-6,0.8210231986769444
2010-7,0.8210287123556289
2010-8,0.8210342260343134
2010-9,0.8210397397129979
2010-10,0.8210452533916826
2010-11,0.8210507670703671
2010-12,0.8210562807490516
2011-1,0.8210617944277361
2011-2,0.821012238494785
2011-3,0.8209626825618339
2011-4,0.8209131266288828
2011-5,0.8208635706959317
2011-6,0.8208140147629807
2011-7,0.8207644588300296
2011-8,0.8207149028970786
2011-9,0.8206653469641275
2011-10,0.8206157910311764
2011-11,0.8205662350982253
2011-12,0.8205166791652743
2012-1,0.8204671232323232
2012-2,0.8203870338103254
2012-3,0.8203069443883276
2012-4,0.8202268549663299
2012-5,0.8201467655443322
2012-6,0.8200666761223344
2012-7,0.8199865867003366
2012-8,0.8199064972783389
2012-9,0.8198264078563411
2012-10,0.8197463184343434
2012-11,0.8196662290123456
2012-12,0.8195861395903479
2013-1,0.8195060501683501
2013-2,0.8193845644056303
2013-3,0.8192630786429105
2013-4,0.8191415928801907
2013-5,0.819020107117471
2013-6,0.8188986213547511
2013-7,0.8187771355920314
2013-8,0.8186556498293116
2013-9,0.8185341640665917
2013-10,0.818412678303872
2013-11,0.8182911925411522
2013-12,0.8181697067784324
2014-1,0.8180482210157126
2014-2,0.8178749447727662
2014-3,0.8177016685298197
2014-4,0.8175283922868734
2014-5,0.8173551160439269
2014-6,0.8171818398009805
2014-7,0.817008563558034
2014-8,0.8168352873150876
2014-9,0.8166620110721412
2014-10,0.8164887348291947
2014-11,0.8163154585862483
2014-12,0.8161421823433018
2015-1,0.8159689061003554
2015-2,0.8165850601413618
2015-3,0.817201214182368
2015-4,0.8178173682233744
2015-5,0.8184335222643806
2015-6,0.8190496763053869
2015-7,0.8196658303463933
2015-8,0.8202819843873995
2015-9,0.8208981384284059
2015-10,0.8215142924694121
2015-11,0.8221304465104184
2015-12,0.8227466005514247
2016-1,0.823362754592431
2016-2,0.82313823000601
2016-3,0.8229137054195891
2016-4,0.8226891808331681
2016-5,0.8224646562467471
2016-6,0.8222401316603262
2016-7,0.8220156070739051
2016-8,0.8217910824874841
2016-9,0.8215665579010631
2016-10,0.8213420333146422
2016-11,0.8211175087282212
2016-12,0.8208929841418002
2017-1,0.8206684595553793
2017-2,0.8203856448550413
2017-3,0.8201028301547032
2017-4,0.8198200154543651
2017-5,0.8195372007540271
2017-6,0.8192543860536892
2017-7,0.8189715713533511
2017-8,0.818688756653013
2017-9,0.818405941952675
2017-10,0.818123127252337
2017-11,0.817840312551999
2017-12,0.8175574978516609
2018-1,0.8172746831513229
2018-2,0.8169282792358026
2018-3,0.8165818753202824
2018-4,0.816235471404762
2018-5,0.8158890674892418
2018-6,0.8155426635737215
2018-7,0.8151962596582012
2018-8,0.814849855742681
2018-9,0.8145034518271607
2018-10,0.8141570479116405
2018-11,0.8138106439961201
2018-12,0.8134642400805999
2019-1,0.8131178361650796
2019-2,0.812709637954209
2019-3,0.8123014397433383
2019-4,0.8118932415324678
2019-5,0.8114850433215971
2019-6,0.8110768451107265
2019-7,0.8106686468998558
2019-8,0.8102604486889853
