,Rondônia - IDH Longevidade
2003-1,0.738354767496657
2003-2,0.7386489131333224
2003-3,0.7389430587699877
2003-4,0.7392372044066531
2003-5,0.7395313500433184
2003-6,0.7398254956799838
2003-7,0.7401196413166491
2003-8,0.7404137869533145
2003-9,0.7407079325899799
2003-10,0.7410020782266452
2003-11,0.7412962238633106
2003-12,0.7415903694999759
2004-1,0.7418845151366413
2004-2,0.7421404148823428
2004-3,0.7423963146280443
2004-4,0.742652214373746
2004-5,0.7429081141194475
2004-6,0.743164013865149
2004-7,0.7434199136108506
2004-8,0.7436758133565521
2004-9,0.7439317131022536
2004-10,0.7441876128479551
2004-11,0.7444435125936566
2004-12,0.7446994123393582
2005-1,0.7449553120850597
2005-2,0.7451736351263294
2005-3,0.745391958167599
2005-4,0.7456102812088686
2005-5,0.7458286042501382
2005-6,0.7460469272914079
2005-7,0.7462652503326774
2005-8,0.7464835733739471
2005-9,0.7467018964152168
2005-10,0.7469202194564863
2005-11,0.747138542497756
2005-12,0.7473568655390256
2006-1,0.7475751885802953
2006-2,0.747756604103665
2006-3,0.7479380196270347
2006-4,0.7481194351504044
2006-5,0.7483008506737742
2006-6,0.7484822661971439
2006-7,0.7486636817205136
2006-8,0.7488450972438833
2006-9,0.749026512767253
2006-10,0.7492079282906228
2006-11,0.7493893438139925
2006-12,0.7495707593373622
2007-1,0.7497521748607319
2007-2,0.7498973520527337
2007-3,0.7500425292447354
2007-4,0.750187706436737
2007-5,0.7503328836287388
2007-6,0.7504780608207406
2007-7,0.7506232380127423
2007-8,0.750768415204744
2007-9,0.7509135923967458
2007-10,0.7510587695887476
2007-11,0.7512039467807493
2007-12,0.751349123972751
2008-1,0.7514943011647528
2008-2,0.7516039092119186
2008-3,0.7517135172590843
2008-4,0.75182312530625
2008-5,0.7519327333534157
2008-6,0.7520423414005815
2008-7,0.7521519494477472
2008-8,0.752261557494913
2008-9,0.7523711655420787
2008-10,0.7524807735892445
2008-11,0.7525903816364101
2008-12,0.7526999896835759
2009-1,0.7528095977307416
2009-2,0.7528843058196033
2009-3,0.752959013908465
2009-4,0.7530337219973268
2009-5,0.7531084300861884
2009-6,0.7531831381750501
2009-7,0.7532578462639119
2009-8,0.7533325543527736
2009-9,0.7534072624416353
2009-10,0.7534819705304969
2009-11,0.7535566786193586
2009-12,0.7536313867082204
2010-1,0.7537060947970821
2010-2,0.7537465721141716
2010-3,0.7537870494312613
2010-4,0.753827526748351
2010-5,0.7538680040654405
2010-6,0.7539084813825301
2010-7,0.7539489586996198
2010-8,0.7539894360167094
2010-9,0.754029913333799
2010-10,0.7540703906508885
2010-11,0.7541108679679782
2010-12,0.7541513452850679
2011-1,0.7541918226021574
2011-2,0.754195284747825
2011-3,0.7541987468934925
2011-4,0.7542022090391601
2011-5,0.7542056711848277
2011-6,0.7542091333304953
2011-7,0.7542125954761629
2011-8,0.7542160576218304
2011-9,0.754219519767498
2011-10,0.7542229819131656
2011-11,0.7542264440588331
2011-12,0.7542299062045007
2012-1,0.7542333683501683
2012-2,0.7542072111859334
2012-3,0.7541810540216984
2012-4,0.7541548968574635
2012-5,0.7541287396932286
2012-6,0.7541025825289936
2012-7,0.7540764253647587
2012-8,0.7540502682005237
2012-9,0.7540241110362887
2012-10,0.7539979538720538
2012-11,0.7539717967078189
2012-12,0.753945639543584
2013-1,0.753919482379349
2013-2,0.75386336767365
2013-3,0.7538072529679511
2013-4,0.7537511382622522
2013-5,0.7536950235565532
2013-6,0.7536389088508543
2013-7,0.7535827941451553
2013-8,0.7535266794394563
2013-9,0.7534705647337574
2013-10,0.7534144500280584
2013-11,0.7533583353223594
2013-12,0.7533022206166605
2014-1,0.7532461059109615
2014-2,0.7531644816464543
2014-3,0.753082857381947
2014-4,0.7530012331174398
2014-5,0.7529196088529326
2014-6,0.7528379845884254
2014-7,0.7527563603239182
2014-8,0.7526747360594109
2014-9,0.7525931117949037
2014-10,0.7525114875303965
2014-11,0.7524298632658892
2014-12,0.752348239001382
2015-1,0.7522666147368748
2015-2,0.7528479238980244
2015-3,0.7534292330591738
2015-4,0.7540105422203233
2015-5,0.7545918513814727
2015-6,0.7551731605426222
2015-7,0.7557544697037717
2015-8,0.7563357788649211
2015-9,0.7569170880260706
2015-10,0.75749839718722
2015-11,0.7580797063483695
2015-12,0.7586610155095189
2016-1,0.7592423246706684
2016-2,0.7591456756151432
2016-3,0.7590490265596179
2016-4,0.7589523775040927
2016-5,0.7588557284485675
2016-6,0.7587590793930423
2016-7,0.7586624303375171
2016-8,0.7585657812819918
2016-9,0.7584691322264666
2016-10,0.7583724831709414
2016-11,0.7582758341154161
2016-12,0.7581791850598909
2017-1,0.7580825360043657
2017-2,0.7579543733983382
2017-3,0.7578262107923106
2017-4,0.7576980481862831
2017-5,0.7575698855802555
2017-6,0.757441722974228
2017-7,0.7573135603682004
2017-8,0.757185397762173
2017-9,0.7570572351561454
2017-10,0.7569290725501179
2017-11,0.7568009099440903
2017-12,0.7566727473380628
2018-1,0.7565445847320352
2018-2,0.7563820437072779
2018-3,0.7562195026825206
2018-4,0.7560569616577633
2018-5,0.755894420633006
2018-6,0.7557318796082487
2018-7,0.7555693385834914
2018-8,0.7554067975587341
2018-9,0.7552442565339768
2018-10,0.7550817155092195
2018-11,0.7549191744844622
2018-12,0.7547566334597049
2019-1,0.7545940924349476
2019-2,0.7543940476806669
2019-3,0.7541940029263862
2019-4,0.7539939581721055
2019-5,0.7537939134178248
2019-6,0.753593868663544
2019-7,0.7533938239092633
2019-8,0.7531937791549826
2019-9,0.7529937344007019
2019-10,0.7527936896464212
