,Roraima - IDH Longevidade
2003-1,0.7375792961535133
2003-2,0.7379028212561961
2003-3,0.738226346358879
2003-4,0.7385498714615618
2003-5,0.7388733965642447
2003-6,0.7391969216669275
2003-7,0.7395204467696104
2003-8,0.7398439718722932
2003-9,0.7401674969749761
2003-10,0.7404910220776589
2003-11,0.7408145471803418
2003-12,0.7411380722830246
2004-1,0.7414615973857075
2004-2,0.7417497559879821
2004-3,0.7420379145902567
2004-4,0.7423260731925314
2004-5,0.742614231794806
2004-6,0.7429023903970806
2004-7,0.7431905489993552
2004-8,0.7434787076016298
2004-9,0.7437668662039044
2004-10,0.744055024806179
2004-11,0.7443431834084537
2004-12,0.7446313420107283
2005-1,0.7449195006130029
2005-2,0.7451730184573968
2005-3,0.7454265363017906
2005-4,0.7456800541461844
2005-5,0.7459335719905783
2005-6,0.7461870898349721
2005-7,0.7464406076793659
2005-8,0.7466941255237598
2005-9,0.7469476433681536
2005-10,0.7472011612125474
2005-11,0.7474546790569413
2005-12,0.747708196901335
2006-1,0.7479617147457289
2006-2,0.7481813175747694
2006-3,0.7484009204038099
2006-4,0.7486205232328503
2006-5,0.7488401260618908
2006-6,0.7490597288909313
2006-7,0.7492793317199717
2006-8,0.7494989345490122
2006-9,0.7497185373780527
2006-10,0.7499381402070932
2006-11,0.7501577430361336
2006-12,0.7503773458651741
2007-1,0.7505969486942146
2007-2,0.7507833622504292
2007-3,0.7509697758066437
2007-4,0.7511561893628583
2007-5,0.7513426029190728
2007-6,0.7515290164752875
2007-7,0.7517154300315021
2007-8,0.7519018435877166
2007-9,0.7520882571439312
2007-10,0.7522746707001458
2007-11,0.7524610842563604
2007-12,0.7526474978125749
2008-1,0.7528339113687895
2008-2,0.7529878613947056
2008-3,0.7531418114206218
2008-4,0.7532957614465379
2008-5,0.753449711472454
2008-6,0.7536036614983701
2008-7,0.7537576115242863
2008-8,0.7539115615502024
2008-9,0.7540655115761186
2008-10,0.7542194616020347
2008-11,0.7543734116279508
2008-12,0.7545273616538669
2009-1,0.754681311679783
2009-2,0.7548035239179282
2009-3,0.7549257361560733
2009-4,0.7550479483942183
2009-5,0.7551701606323634
2009-6,0.7552923728705085
2009-7,0.7554145851086537
2009-8,0.7555367973467988
2009-9,0.7556590095849439
2009-10,0.755781221823089
2009-11,0.7559034340612341
2009-12,0.7560256462993792
2010-1,0.7561478585375243
2010-2,0.7562390587304259
2010-3,0.7563302589233274
2010-4,0.756421459116229
2010-5,0.7565126593091306
2010-6,0.7566038595020321
2010-7,0.7566950596949337
2010-8,0.7567862598878352
2010-9,0.7568774600807368
2010-10,0.7569686602736383
2010-11,0.75705986046654
2010-12,0.7571510606594415
2011-1,0.757242260852343
2011-2,0.757293671662347
2011-3,0.757345082472351
2011-4,0.7573964932823549
2011-5,0.7574479040923588
2011-6,0.7574993149023629
2011-7,0.7575507257123668
2011-8,0.7576021365223707
2011-9,0.7576535473323748
2011-10,0.7577049581423787
2011-11,0.7577563689523826
2011-12,0.7578077797623867
2012-1,0.7578591905723906
2012-2,0.7578998793958099
2012-3,0.7579405682192294
2012-4,0.7579812570426487
2012-5,0.7580219458660681
2012-6,0.7580626346894875
2012-7,0.7581033235129069
2012-8,0.7581440123363262
2012-9,0.7581847011597457
2012-10,0.758225389983165
2012-11,0.7582660788065844
2012-12,0.7583067676300038
2013-1,0.7583474564534232
2013-2,0.7583568137899053
2013-3,0.7583661711263874
2013-4,0.7583755284628695
2013-5,0.7583848857993516
2013-6,0.7583942431358337
2013-7,0.7584036004723158
2013-8,0.7584129578087979
2013-9,0.75842231514528
2013-10,0.7584316724817621
2013-11,0.7584410298182442
2013-12,0.7584503871547263
2014-1,0.7584597444912085
2014-2,0.7584282149390641
2014-3,0.7583966853869197
2014-4,0.7583651558347753
2014-5,0.7583336262826309
2014-6,0.7583020967304865
2014-7,0.7582705671783421
2014-8,0.7582390376261977
2014-9,0.7582075080740533
2014-10,0.758175978521909
2014-11,0.7581444489697646
2014-12,0.7581129194176202
2015-1,0.7580813898654758
2015-2,0.7587772420841293
2015-3,0.7594730943027829
2015-4,0.7601689465214363
2015-5,0.7608647987400898
2015-6,0.7615606509587434
2015-7,0.7622565031773969
2015-8,0.7629523553960504
2015-9,0.763648207614704
2015-10,0.7643440598333575
2015-11,0.7650399120520109
2015-12,0.7657357642706645
2016-1,0.766431616489318
2016-2,0.7663742802506007
2016-3,0.7663169440118834
2016-4,0.7662596077731662
2016-5,0.7662022715344489
2016-6,0.7661449352957316
2016-7,0.7660875990570143
2016-8,0.766030262818297
2016-9,0.7659729265795797
2016-10,0.7659155903408624
2016-11,0.7658582541021451
2016-12,0.7658009178634279
2017-1,0.7657435816247106
2017-2,0.7656431542127765
2017-3,0.7655427268008426
2017-4,0.7654422993889085
2017-5,0.7653418719769746
2017-6,0.7652414445650405
2017-7,0.7651410171531066
2017-8,0.7650405897411725
2017-9,0.7649401623292384
2017-10,0.7648397349173045
2017-11,0.7647393075053704
2017-12,0.7646388800934365
2018-1,0.7645384526815024
2018-2,0.7643910167169684
2018-3,0.7642435807524343
2018-4,0.7640961447879002
2018-5,0.7639487088233662
2018-6,0.763801272858832
2018-7,0.763653836894298
2018-8,0.763506400929764
2018-9,0.7633589649652298
2018-10,0.7632115290006958
2018-11,0.7630640930361617
2018-12,0.7629166570716276
2019-1,0.7627692211070936
2019-2,0.7625780788427533
2019-3,0.7623869365784132
2019-4,0.7621957943140729
2019-5,0.7620046520497328
2019-6,0.7618135097853925
2019-7,0.7616223675210523
2019-8,0.7614312252567121
2019-9,0.7612400829923719
2019-10,0.7610489407280318
2019-11,0.7608577984636915
2019-12,0.7606666561993514
2020-1,0.7604755139350111
2020-2,0.7603048738890642
2020-3,0.7601342338431174
2020-4,0.7599635937971705
2020-5,0.7597929537512236
2020-6,0.7596223137052768
2020-7,0.7594516736593299
2020-8,0.759281033613383
2020-9,0.7591103935674361
2020-10,0.7589397535214892
2020-11,0.7587691134755423
2020-12,0.7585984734295955
2021-1,0.7584278333836486
2021-2,0.7585295593941308
2021-3,0.758631285404613
2021-4,0.7587330114150952
2021-5,0.7588347374255774
2021-6,0.7589364634360596
2021-7,0.7590381894465417
2021-8,0.7591399154570239
2021-9,0.7592416414675061
2021-10,0.7593433674779883
2021-11,0.7594450934884704
2021-12,0.7595468194989526
2022-1,0.7596485455094348
