Ano,Goiás - IDH Longevidade
2008,0.7868648290770912
2009,0.7873523683028163
2010,0.7872731782536095
2011,0.7866361660989967
2012,0.7854292915824916
2013,0.7836317325476992
2014,0.7814343769266742
2015,0.7788039083372303
2016,0.7840272099449177
2017,0.7809387744853648
2018,0.7772968448931252
2019,0.773051103519773
2020,0.768146658385207
2021,0.7686145364202258
2022,0.7729431306402463
