Ano,Maranhão - IDH Longevidade
2014,0.7397963572297045
2015,0.7390293869988466
2016,0.7465435491896378
2017,0.7454111445705138
2018,0.7437212486223789
2019,0.7414231803153224
2020,0.7385525603439881
2021,0.7367846112843506
2022,0.7387650304920189
