,Pará - IDH Longevidade
2020-5,0.7638581540767019
2020-6,0.7637100522684424
2020-7,0.7635619504601827
2020-8,0.7634138486519232
2020-9,0.7632657468436637
2020-10,0.7631176450354041
2020-11,0.7629695432271446
2020-12,0.762821441418885
2021-1,0.7626733396106254
2021-2,0.7628148043046453
2021-3,0.7629562689986652
2021-4,0.7630977336926852
2021-5,0.7632391983867051
2021-6,0.7633806630807249
2021-7,0.7635221277747448
2021-8,0.7636635924687647
2021-9,0.7638050571627846
2021-10,0.7639465218568045
2021-11,0.7640879865508244
2021-12,0.7642294512448443
2022-1,0.7643709159388642
