,Pará - IDH Longevidade
2003-1,0.748453268555103
2003-2,0.7487759721339307
2003-3,0.7490986757127583
2003-4,0.749421379291586
2003-5,0.7497440828704136
2003-6,0.7500667864492413
2003-7,0.750389490028069
2003-8,0.7507121936068967
2003-9,0.7510348971857244
2003-10,0.7513576007645519
2003-11,0.7516803043433796
2003-12,0.7520030079222073
2004-1,0.752325711501035
2004-2,0.7526062795931584
2004-3,0.7528868476852819
2004-4,0.7531674157774053
2004-5,0.7534479838695287
2004-6,0.7537285519616521
2004-7,0.7540091200537755
2004-8,0.754289688145899
2004-9,0.7545702562380224
2004-10,0.7548508243301458
2004-11,0.7551313924222693
2004-12,0.7554119605143927
2005-1,0.7556925286065161
2005-2,0.7559317215396669
2005-3,0.7561709144728176
2005-4,0.7564101074059684
2005-5,0.7566493003391191
2005-6,0.7568884932722698
2005-7,0.7571276862054206
2005-8,0.7573668791385714
2005-9,0.757606072071722
2005-10,0.7578452650048728
2005-11,0.7580844579380236
2005-12,0.7583236508711743
2006-1,0.758562843804325
2006-2,0.7587614219062346
2006-3,0.7589600000081443
2006-4,0.7591585781100539
2006-5,0.7593571562119636
2006-6,0.7595557343138732
2006-7,0.7597543124157828
2006-8,0.7599528905176925
2006-9,0.7601514686196021
2006-10,0.7603500467215119
2006-11,0.7605486248234214
2006-12,0.7607472029253312
2007-1,0.7609457810272408
2007-2,0.7611045046256408
2007-3,0.761263228224041
2007-4,0.7614219518224411
2007-5,0.7615806754208412
2007-6,0.7617393990192413
2007-7,0.7618981226176413
2007-8,0.7620568462160415
2007-9,0.7622155698144416
2007-10,0.7623742934128417
2007-11,0.7625330170112419
2007-12,0.762691740609642
2008-1,0.762850464208042
2008-2,0.7629700936306643
2008-3,0.7630897230532864
2008-4,0.7632093524759085
2008-5,0.7633289818985307
2008-6,0.7634486113211529
2008-7,0.763568240743775
2008-8,0.7636878701663972
2008-9,0.7638074995890194
2008-10,0.7639271290116416
2008-11,0.7640467584342637
2008-12,0.7641663878568858
2009-1,0.7642860172795081
2009-2,0.7643673128540839
2009-3,0.7644486084286596
2009-4,0.7645299040032354
2009-5,0.7646111995778112
2009-6,0.7646924951523869
2009-7,0.7647737907269627
2009-8,0.7648550863015385
2009-9,0.7649363818761142
2009-10,0.76501767745069
2009-11,0.7650989730252659
2009-12,0.7651802685998416
2010-1,0.7652615641744174
2010-2,0.7653052862286783
2010-3,0.7653490082829393
2010-4,0.7653927303372002
2010-5,0.7654364523914612
2010-6,0.7654801744457221
2010-7,0.7655238964999831
2010-8,0.765567618554244
2010-9,0.765611340608505
2010-10,0.765655062662766
2010-11,0.7656987847170269
2010-12,0.7657425067712879
2011-1,0.7657862288255488
2011-2,0.7657916081854849
2011-3,0.7657969875454209
2011-4,0.7658023669053569
2011-5,0.7658077462652929
2011-6,0.765813125625229
2011-7,0.7658185049851649
2011-8,0.765823884345101
2011-9,0.765829263705037
2011-10,0.7658346430649731
2011-11,0.7658400224249091
2011-12,0.7658454017848451
2012-1,0.7658507811447811
2012-2,0.7658150226805087
2012-3,0.7657792642162364
2012-4,0.765743505751964
2012-5,0.7657077472876918
2012-6,0.7656719888234194
2012-7,0.7656362303591471
2012-8,0.7656004718948747
2012-9,0.7655647134306023
2012-10,0.76552895496633
2012-11,0.7654931965020576
2012-12,0.7654574380377853
2013-1,0.7654216795735129
2013-2,0.7653621079038846
2013-3,0.7653025362342561
2013-4,0.7652429645646278
2013-5,0.7651833928949994
2013-6,0.765123821225371
2013-7,0.7650642495557427
2013-8,0.7650046778861143
2013-9,0.7649451062164859
2013-10,0.7648855345468575
2013-11,0.7648259628772291
2013-12,0.7647663912076007
2014-1,0.7647068195379724
2014-2,0.7646214502292082
2014-3,0.7645360809204442
2014-4,0.7644507116116801
2014-5,0.764365342302916
2014-6,0.764279972994152
2014-7,0.7641946036853878
2014-8,0.7641092343766237
2014-9,0.7640238650678597
2014-10,0.7639384957590956
2014-11,0.7638531264503314
2014-12,0.7637677571415674
2015-1,0.7636823878328033
2015-2,0.7643275045140778
2015-3,0.7649726211953523
2015-4,0.7656177378766268
2015-5,0.7662628545579013
2015-6,0.7669079712391758
2015-7,0.7675530879204503
2015-8,0.7681982046017248
2015-9,0.7688433212829993
2015-10,0.7694884379642738
2015-11,0.7701335546455483
2015-12,0.7707786713268228
2016-1,0.7714237880080973
2016-2,0.7713285136748254
2016-3,0.7712332393415533
2016-4,0.7711379650082812
2016-5,0.7710426906750093
2016-6,0.7709474163417374
2016-7,0.7708521420084653
2016-8,0.7707568676751932
2016-9,0.7706615933419213
2016-10,0.7705663190086494
2016-11,0.7704710446753773
2016-12,0.7703757703421052
2017-1,0.7702804960088333
2017-2,0.7701538330998093
2017-3,0.7700271701907854
2017-4,0.7699005072817614
2017-5,0.7697738443727374
2017-6,0.7696471814637135
2017-7,0.7695205185546894
2017-8,0.7693938556456654
2017-9,0.7692671927366415
2017-10,0.7691405298276175
2017-11,0.7690138669185935
2017-12,0.7688872040095696
2018-1,0.7687605411005456
2018-2,0.768599636108883
2018-3,0.7684387311172205
2018-4,0.768277826125558
2018-5,0.7681169211338954
2018-6,0.7679560161422329
2018-7,0.7677951111505703
2018-8,0.7676342061589079
2018-9,0.7674733011672453
2018-10,0.7673123961755828
2018-11,0.7671514911839202
2018-12,0.7669905861922577
2019-1,0.7668296812005951
2019-2,0.7666314212096905
2019-3,0.766433161218786
2019-4,0.7662349012278814
2019-5,0.7660366412369768
2019-6,0.7658383812460722
2019-7,0.7656401212551676
2019-8,0.7654418612642631
2019-9,0.7652436012733584
2019-10,0.7650453412824538
2019-11,0.7648470812915493
2019-12,0.7646488213006447
2020-1,0.7644505613097401
2020-2,0.7643024595014806
2020-3,0.764154357693221
2020-4,0.7640062558849614
