,Amazonas - IDH Longevidade
2003-1,0.7456713701824405
2003-2,0.745986279491922
2003-3,0.7463011888014034
2003-4,0.7466160981108849
2003-5,0.7469310074203663
2003-6,0.7472459167298479
2003-7,0.7475608260393294
2003-8,0.7478757353488108
2003-9,0.7481906446582923
2003-10,0.7485055539677737
2003-11,0.7488204632772553
2003-12,0.7491353725867367
2004-1,0.7494502818962182
2004-2,0.749726615940855
2004-3,0.7500029499854918
2004-4,0.7502792840301286
2004-5,0.7505556180747653
2004-6,0.7508319521194021
2004-7,0.7511082861640388
2004-8,0.7513846202086756
2004-9,0.7516609542533124
2004-10,0.7519372882979491
2004-11,0.7522136223425859
2004-12,0.7524899563872227
2005-1,0.7527662904318595
2005-2,0.7530047405517777
2005-3,0.7532431906716959
2005-4,0.7534816407916141
2005-5,0.7537200909115322
2005-6,0.7539585410314504
2005-7,0.7541969911513686
2005-8,0.7544354412712869
2005-9,0.7546738913912051
2005-10,0.7549123415111233
2005-11,0.7551507916310415
2005-12,0.7553892417509597
2006-1,0.7556276918708779
2006-2,0.7558289494062036
2006-3,0.7560302069415294
2006-4,0.7562314644768552
2006-5,0.756432722012181
2006-6,0.7566339795475068
2006-7,0.7568352370828326
2006-8,0.7570364946181584
2006-9,0.7572377521534841
2006-10,0.75743900968881
2006-11,0.7576402672241357
2006-12,0.7578415247594615
2007-1,0.7580427822947873
2007-2,0.7582075385856468
2007-3,0.7583722948765063
2007-4,0.7585370511673657
2007-5,0.7587018074582252
2007-6,0.7588665637490848
2007-7,0.7590313200399442
2007-8,0.7591960763308037
2007-9,0.7593608326216632
2007-10,0.7595255889125228
2007-11,0.7596903452033822
2007-12,0.7598551014942416
2008-1,0.7600198577851012
2008-2,0.7601488041716206
2008-3,0.76027775055814
2008-4,0.7604066969446592
2008-5,0.7605356433311786
2008-6,0.760664589717698
2008-7,0.7607935361042173
2008-8,0.7609224824907367
2008-9,0.7610514288772561
2008-10,0.7611803752637755
