Ano,Alagoas - IDH Longevidade
2008,0.749234720794731
2009,0.7517694751397297
2010,0.7537671599884357
2011,0.7552398701903433
2012,0.7560559084175084
2013,0.756643900785634
2014,0.7566975591844369
2015,0.75617235578314
2016,0.767869974924611
2017,0.7671308817359391
2018,0.7657791437119336
2019,0.763759065867564
2020,0.7611007991282516
2021,0.758837235412638
2022,0.7598224386319686
