,Paraíba - IDH Longevidade
2003-1,0.7539662770607882
2003-2,0.7544454989076781
2003-3,0.754924720754568
2003-4,0.7554039426014578
2003-5,0.7558831644483477
2003-6,0.7563623862952376
2003-7,0.7568416081421274
2003-8,0.7573208299890173
2003-9,0.7578000518359072
2003-10,0.758279273682797
2003-11,0.7587584955296869
2003-12,0.7592377173765767
2004-1,0.7597169392234666
2004-2,0.7601414157813811
2004-3,0.7605658923392956
2004-4,0.7609903688972101
2004-5,0.7614148454551245
2004-6,0.761839322013039
2004-7,0.7622637985709535
2004-8,0.7626882751288679
2004-9,0.7631127516867825
2004-10,0.7635372282446969
2004-11,0.7639617048026114
2004-12,0.7643861813605259
2005-1,0.7648106579184404
2005-2,0.7651814023757795
2005-3,0.7655521468331185
2005-4,0.7659228912904575
2005-5,0.7662936357477965
2005-6,0.7666643802051356
2005-7,0.7670351246624747
2005-8,0.7674058691198137
2005-9,0.7677766135771528
2005-10,0.7681473580344917
2005-11,0.7685181024918308
2005-12,0.7688888469491698
2006-1,0.7692595914065089
2006-2,0.7695776169516725
2006-3,0.7698956424968361
2006-4,0.7702136680419998
2006-5,0.7705316935871633
2006-6,0.7708497191323269
2006-7,0.7711677446774905
2006-8,0.7714857702226541
2006-9,0.7718037957678177
2006-10,0.7721218213129812
2006-11,0.7724398468581449
2006-12,0.7727578724033085
2007-1,0.7730758979484721
2007-2,0.7733422177698602
2007-3,0.7736085375912483
2007-4,0.7738748574126364
2007-5,0.7741411772340245
2007-6,0.7744074970554127
2007-7,0.7746738168768008
2007-8,0.7749401366981888
2007-9,0.775206456519577
2007-10,0.7754727763409651
2007-11,0.7757390961623531
2007-12,0.7760054159837413
2008-1,0.7762717358051294
2008-2,0.7764873630911421
2008-3,0.7767029903771547
2008-4,0.7769186176631673
2008-5,0.7771342449491799
2008-6,0.7773498722351926
2008-7,0.7775654995212051
2008-8,0.7777811268072178
2008-9,0.7779967540932304
2008-10,0.7782123813792431
2008-11,0.7784280086652557
2008-12,0.7786436359512683
2009-1,0.7788592632372809
2009-2,0.7790252111763181
2009-3,0.7791911591153551
2009-4,0.7793571070543922
2009-5,0.7795230549934292
2009-6,0.7796890029324663
2009-7,0.7798549508715034
2009-8,0.7800208988105405
2009-9,0.7801868467495776
2009-10,0.7803527946886146
2009-11,0.7805187426276518
2009-12,0.7806846905666888
2010-1,0.7808506385057259
2010-2,0.7809679202861874
2010-3,0.781085202066649
2010-4,0.7812024838471106
2010-5,0.781319765627572
2010-6,0.7814370474080335
2010-7,0.7815543291884951
2010-8,0.7816716109689567
2010-9,0.7817888927494182
2010-10,0.7819061745298796
2010-11,0.7820234563103412
2010-12,0.7821407380908028
2011-1,0.7822580198712643
2011-2,0.7823233324689732
2011-3,0.7823886450666822
2011-4,0.782453957664391
2011-5,0.7825192702620999
2011-6,0.7825845828598088
2011-7,0.7826498954575176
2011-8,0.7827152080552265
2011-9,0.7827805206529355
2011-10,0.7828458332506444
2011-11,0.7829111458483533
2011-12,0.7829764584460621
2012-1,0.783041771043771
2012-2,0.7830628944537972
2012-3,0.7830840178638234
2012-4,0.7831051412738497
2012-5,0.7831262646838758
2012-6,0.7831473880939019
2012-7,0.7831685115039282
2012-8,0.7831896349139544
2012-9,0.7832107583239806
2012-10,0.7832318817340067
2012-11,0.783253005144033
2012-12,0.7832741285540592
2013-1,0.7832952519640853
2013-2,0.7832764689916137
2013-3,0.783257686019142
2013-4,0.7832389030466704
2013-5,0.7832201200741988
2013-6,0.7832013371017271
2013-7,0.7831825541292555
2013-8,0.7831637711567839
2013-9,0.7831449881843122
2013-10,0.7831262052118406
2013-11,0.783107422239369
2013-12,0.7830886392668973
2014-1,0.7830698562944257
2014-2,0.7830147858520259
2014-3,0.7829597154096261
2014-4,0.7829046449672262
2014-5,0.7828495745248264
2014-6,0.7827945040824266
2014-7,0.7827394336400268
2014-8,0.782684363197627
2014-9,0.7826292927552272
2014-10,0.7825742223128274
2014-11,0.7825191518704275
2014-12,0.7824640814280277
2015-1,0.7824090109856279
2015-2,0.7834417137844613
2015-3,0.7844744165832946
2015-4,0.7855071193821279
2015-5,0.7865398221809613
2015-6,0.7875725249797947
2015-7,0.7886052277786281
2015-8,0.7896379305774615
2015-9,0.7906706333762948
2015-10,0.7917033361751282
2015-11,0.7927360389739615
2015-12,0.7937687417727949
2016-1,0.7948014445716283
2016-2,0.7947469100608072
2016-3,0.7946923755499863
2016-4,0.7946378410391652
2016-5,0.7945833065283443
2016-6,0.7945287720175233
2016-7,0.7944742375067022
2016-8,0.7944197029958813
2016-9,0.7943651684850602
2016-10,0.7943106339742393
2016-11,0.7942560994634182
2016-12,0.7942015649525973
2017-1,0.7941470304417763
2017-2,0.7940496594602746
2017-3,0.7939522884787729
2017-4,0.7938549174972711
2017-5,0.7937575465157695
2017-6,0.7936601755342678
2017-7,0.7935628045527661
2017-8,0.7934654335712643
2017-9,0.7933680625897627
2017-10,0.793270691608261
2017-11,0.7931733206267593
2017-12,0.7930759496452575
2018-1,0.7929785786637559
2018-2,0.7928344769869662
2018-3,0.7926903753101764
2018-4,0.7925462736333867
2018-5,0.792402171956597
2018-6,0.7922580702798072
2018-7,0.7921139686030175
2018-8,0.7919698669262278
2018-9,0.791825765249438
2018-10,0.7916816635726484
2018-11,0.7915375618958587
2018-12,0.7913934602190689
2019-1,0.7912493585422792
2019-2,0.791061853682751
2019-3,0.7908743488232228
2019-4,0.7906868439636946
2019-5,0.7904993391041664
2019-6,0.7903118342446382
2019-7,0.79012432938511
2019-8,0.7899368245255818
2019-9,0.7897493196660537
2019-10,0.7895618148065254
2019-11,0.7893743099469972
2019-12,0.7891868050874691
2020-1,0.7889993002279408
2020-2,0.7887947494720919
2020-3,0.7885901987162429
2020-4,0.788385647960394
2020-5,0.7881810972045451
2020-6,0.7879765464486962
2020-7,0.7877719956928473
2020-8,0.7875674449369983
2020-9,0.7873628941811494
2020-10,0.7871583434253004
2020-11,0.7869537926694514
2020-12,0.7867492419136025
2021-1,0.7865446911577536
2021-2,0.7866018479089487
2021-3,0.7866590046601438
2021-4,0.7867161614113389
2021-5,0.786773318162534
2021-6,0.7868304749137291
2021-7,0.7868876316649243
2021-8,0.7869447884161194
2021-9,0.7870019451673145
2021-10,0.7870591019185096
2021-11,0.7871162586697047
2021-12,0.7871734154208998
2022-1,0.7872305721720949
