,Amapá - IDH Longevidade
2003-1,0.7741005504366625
2003-2,0.7744755563390823
2003-3,0.774850562241502
2003-4,0.7752255681439217
2003-5,0.7756005740463414
2003-6,0.7759755799487612
2003-7,0.776350585851181
2003-8,0.7767255917536007
2003-9,0.7771005976560205
2003-10,0.7774756035584401
2003-11,0.7778506094608599
2003-12,0.7782256153632796
2004-1,0.7786006212656994
2004-2,0.7789298989065712
2004-3,0.779259176547443
2004-4,0.7795884541883148
2004-5,0.7799177318291867
2004-6,0.7802470094700584
2004-7,0.7805762871109303
2004-8,0.7809055647518021
2004-9,0.7812348423926738
2004-10,0.7815641200335457
2004-11,0.7818933976744175
2004-12,0.7822226753152893
2005-1,0.7825519529561611
2005-2,0.782836369613183
2005-3,0.783120786270205
2005-4,0.7834052029272269
2005-5,0.7836896195842489
2005-6,0.7839740362412708
2005-7,0.7842584528982928
2005-8,0.7845428695553147
2005-9,0.7848272862123367
2005-10,0.7851117028693586
2005-11,0.7853961195263806
2005-12,0.7856805361834025
2006-1,0.7859649528404244
2006-2,0.7862053757912946
2006-3,0.7864457987421648
2006-4,0.786686221693035
2006-5,0.7869266446439052
2006-6,0.7871670675947753
2006-7,0.7874074905456455
2006-8,0.7876479134965158
2006-9,0.7878883364473859
2006-10,0.788128759398256
2006-11,0.7883691823491262
2006-12,0.7886096052999965
2007-1,0.7888500282508666
2007-2,0.7890473247732831
2007-3,0.7892446212956996
2007-4,0.7894419178181161
2007-5,0.7896392143405326
2007-6,0.7898365108629491
2007-7,0.7900338073853657
2007-8,0.7902311039077822
2007-9,0.7904284004301987
2007-10,0.7906256969526152
2007-11,0.7908229934750317
2007-12,0.7910202899974482
2008-1,0.7912175865198647
2008-2,0.7913726238915256
2008-3,0.7915276612631866
2008-4,0.7916826986348475
2008-5,0.7918377360065084
2008-6,0.7919927733781694
2008-7,0.7921478107498303
2008-8,0.7923028481214912
2008-9,0.7924578854931522
2008-10,0.7926129228648131
2008-11,0.792767960236474
2008-12,0.792922997608135
2009-1,0.7930780349797959
2009-2,0.7931916804783994
2009-3,0.7933053259770028
2009-4,0.7934189714756062
2009-5,0.7935326169742097
2009-6,0.7936462624728131
2009-7,0.7937599079714166
2009-8,0.7938735534700201
2009-9,0.7939871989686235
2009-10,0.794100844467227
2009-11,0.7942144899658304
2009-12,0.7943281354644338
2010-1,0.7944417809630373
2010-2,0.7945149018662814
2010-3,0.7945880227695253
2010-4,0.7946611436727694
2010-5,0.7947342645760135
2010-6,0.7948073854792574
2010-7,0.7948805063825015
2010-8,0.7949536272857456
2010-9,0.7950267481889896
2010-10,0.7950998690922336
2010-11,0.7951729899954777
2010-12,0.7952461108987217
2011-1,0.7953192318019657
2011-2,0.7953457098476493
2011-3,0.7953721878933329
2011-4,0.7953986659390164
2011-5,0.7954251439847
2011-6,0.7954516220303836
2011-7,0.7954781000760671
2011-8,0.7955045781217507
2011-9,0.7955310561674342
2011-10,0.7955575342131178
2011-11,0.7955840122588014
2011-12,0.7956104903044849
2012-1,0.7956369683501685
2012-2,0.7956344472970447
2012-3,0.7956319262439209
2012-4,0.795629405190797
2012-5,0.7956268841376731
2012-6,0.7956243630845493
2012-7,0.7956218420314254
2012-8,0.7956193209783016
2012-9,0.7956167999251778
2012-10,0.7956142788720539
2012-11,0.7956117578189301
2012-12,0.7956092367658062
2013-1,0.7956067157126824
2013-2,0.795569262349576
2013-3,0.7955318089864697
2013-4,0.7954943556233633
2013-5,0.7954569022602569
2013-6,0.7954194488971505
2013-7,0.7953819955340442
2013-8,0.7953445421709379
2013-9,0.7953070888078315
2013-10,0.7952696354447251
2013-11,0.7952321820816187
2013-12,0.7951947287185124
2014-1,0.795157275355406
2014-2,0.7950819786564852
2014-3,0.7950066819575644
2014-4,0.7949313852586437
2014-5,0.7948560885597229
2014-6,0.7947807918608021
2014-7,0.7947054951618813
2014-8,0.7946301984629605
2014-9,0.7945549017640396
2014-10,0.7944796050651188
2014-11,0.7944043083661981
2014-12,0.7943290116672773
2015-1,0.7942537149683565
2015-2,0.7950254104966497
2015-3,0.7957971060249428
2015-4,0.796568801553236
2015-5,0.797340497081529
2015-6,0.7981121926098221
2015-7,0.7988838881381153
2015-8,0.7996555836664084
2015-9,0.8004272791947016
2015-10,0.8011989747229946
2015-11,0.8019706702512878
2015-12,0.8027423657795809
2016-1,0.8035140613078741
2016-2,0.8034270466208124
2016-3,0.8033400319337509
2016-4,0.8032530172466894
2016-5,0.8031660025596278
2016-6,0.8030789878725662
2016-7,0.8029919731855046
2016-8,0.8029049584984431
2016-9,0.8028179438113815
2016-10,0.8027309291243199
2016-11,0.8026439144372584
2016-12,0.8025568997501968
2017-1,0.8024698850631352
2017-2,0.8023370811620983
2017-3,0.8022042772610615
2017-4,0.8020714733600247
2017-5,0.8019386694589878
2017-6,0.801805865557951
2017-7,0.8016730616569141
2017-8,0.8015402577558772
2017-9,0.8014074538548404
2017-10,0.8012746499538035
2017-11,0.8011418460527667
2017-12,0.8010090421517299
2018-1,0.800876238250693
2018-2,0.8007010582374406
2018-3,0.8005258782241883
2018-4,0.800350698210936
2018-5,0.8001755181976836
2018-6,0.8000003381844313
2018-7,0.799825158171179
2018-8,0.7996499781579267
2018-9,0.7994747981446744
2018-10,0.799299618131422
2018-11,0.7991244381181697
2018-12,0.7989492581049173
2019-1,0.798774078091665
2019-2,0.7985526695923595
2019-3,0.7983312610930539
2019-4,0.7981098525937483
2019-5,0.7978884440944427
2019-6,0.7976670355951372
2019-7,0.7974456270958317
2019-8,0.797224218596526
2019-9,0.7970028100972205
2019-10,0.7967814015979149
2019-11,0.7965599930986094
2019-12,0.7963385845993037
2020-1,0.7961171760999982
2020-2,0.7959741244037861
2020-3,0.7958310727075739
2020-4,0.7956880210113618
2020-5,0.7955449693151497
2020-6,0.7954019176189375
2020-7,0.7952588659227254
2020-8,0.7951158142265133
2020-9,0.7949727625303011
2020-10,0.794829710834089
2020-11,0.794686659137877
2020-12,0.7945436074416647
2021-1,0.7944005557454527
2021-2,0.7945248023798879
2021-3,0.7946490490143231
2021-4,0.7947732956487583
2021-5,0.7948975422831936
2021-6,0.7950217889176289
2021-7,0.7951460355520641
2021-8,0.7952702821864993
2021-9,0.7953945288209345
2021-10,0.7955187754553699
2021-11,0.7956430220898051
2021-12,0.7957672687242403
2022-1,0.7958915153586755
