,Mato Grosso - IDH Longevidade
2003-1,0.7741666247445078
2003-2,0.7744872459726776
2003-3,0.7748078672008475
2003-4,0.7751284884290173
2003-5,0.775449109657187
2003-6,0.775769730885357
2003-7,0.7760903521135267
2003-8,0.7764109733416965
2003-9,0.7767315945698664
2003-10,0.7770522157980362
2003-11,0.777372837026206
2003-12,0.7776934582543759
2004-1,0.7780140794825456
2004-2,0.7782835416499784
2004-3,0.7785530038174111
2004-4,0.7788224659848438
2004-5,0.7790919281522766
2004-6,0.7793613903197093
2004-7,0.779630852487142
2004-8,0.7799003146545747
2004-9,0.7801697768220074
2004-10,0.7804392389894401
2004-11,0.7807087011568729
2004-12,0.7809781633243056
2005-1,0.7812476254917383
2005-2,0.7814667785439279
2005-3,0.7816859315961174
2005-4,0.781905084648307
2005-5,0.7821242377004965
2005-6,0.7823433907526861
2005-7,0.7825625438048756
2005-8,0.7827816968570651
2005-9,0.7830008499092547
2005-10,0.7832200029614442
2005-11,0.7834391560136338
2005-12,0.7836583090658233
2006-1,0.7838774621180129
2006-2,0.7840471560004532
2006-3,0.7842168498828935
2006-4,0.7843865437653338
2006-5,0.7845562376477742
2006-6,0.7847259315302144
2006-7,0.7848956254126547
2006-8,0.785065319295095
2006-9,0.7852350131775353
2006-10,0.7854047070599757
2006-11,0.7855744009424159
2006-12,0.7857440948248563
2007-1,0.7859137887072966
2007-2,0.7860348733654815
2007-3,0.7861559580236666
2007-4,0.7862770426818515
2007-5,0.7863981273400364
2007-6,0.7865192119982215
2007-7,0.7866402966564064
2007-8,0.7867613813145914
2007-9,0.7868824659727764
2007-10,0.7870035506309614
2007-11,0.7871246352891463
2007-12,0.7872457199473314
2008-1,0.7873668046055163
2008-2,0.78744012998494
2008-3,0.7875134553643635
2008-4,0.7875867807437871
2008-5,0.7876601061232107
2008-6,0.7877334315026342
2008-7,0.7878067568820578
2008-8,0.7878800822614814
2008-9,0.7879534076409049
2008-10,0.7880267330203286
2008-11,0.7881000583997522
2008-12,0.7881733837791757
2009-1,0.7882467091585993
2009-2,0.7882731252047553
2009-3,0.7882995412509115
2009-4,0.7883259572970676
2009-5,0.7883523733432237
2009-6,0.7883787893893798
2009-7,0.7884052054355359
2009-8,0.788431621481692
2009-9,0.788458037527848
2009-10,0.7884844535740042
2009-11,0.7885108696201603
2009-12,0.7885372856663164
2010-1,0.7885637017124725
2010-2,0.7885440583708551
2010-3,0.7885244150292375
2010-4,0.7885047716876201
2010-5,0.7884851283460027
2010-6,0.7884654850043852
2010-7,0.7884458416627678
2010-8,0.7884261983211504
2010-9,0.7884065549795328
2010-10,0.7883869116379154
2010-11,0.788367268296298
2010-12,0.7883476249546805
2011-1,0.7883279816130631
2011-2,0.7882563142339722
2011-3,0.7881846468548814
2011-4,0.7881129794757905
2011-5,0.7880413120966997
2011-6,0.7879696447176089
2011-7,0.787897977338518
2011-8,0.7878263099594272
