,Bahia - IDH Longevidade
2003-1,0.7663623048768651
2003-2,0.766744698460435
2003-3,0.767127092044005
2003-4,0.7675094856275748
2003-5,0.7678918792111448
2003-6,0.7682742727947147
2003-7,0.7686566663782846
2003-8,0.7690390599618545
2003-9,0.7694214535454245
2003-10,0.7698038471289944
2003-11,0.7701862407125644
2003-12,0.7705686342961342
2004-1,0.7709510278797042
2004-2,0.7712863156996133
2004-3,0.7716216035195224
2004-4,0.7719568913394315
2004-5,0.7722921791593406
2004-6,0.7726274669792497
2004-7,0.7729627547991589
2004-8,0.773298042619068
2004-9,0.7736333304389771
2004-10,0.7739686182588862
2004-11,0.7743039060787953
2004-12,0.7746391938987044
2005-1,0.7749744817186135
2005-2,0.7752635333136804
2005-3,0.7755525849087472
2005-4,0.7758416365038141
2005-5,0.776130688098881
2005-6,0.7764197396939478
2005-7,0.7767087912890147
2005-8,0.7769978428840816
2005-9,0.7772868944791484
2005-10,0.7775759460742153
2005-11,0.7778649976692822
2005-12,0.7781540492643491
2006-1,0.7784431008594159
2006-2,0.7786867857684591
2006-3,0.7789304706775023
2006-4,0.7791741555865455
2006-5,0.7794178404955886
2006-6,0.7796615254046318
2006-7,0.779905210313675
2006-8,0.7801488952227181
2006-9,0.7803925801317614
2006-10,0.7806362650408045
2006-11,0.7808799499498477
2006-12,0.7811236348588909
2007-1,0.781367319767934
2007-2,0.7815665075297721
2007-3,0.7817656952916102
2007-4,0.7819648830534482
2007-5,0.7821640708152864
2007-6,0.7823632585771244
2007-7,0.7825624463389624
2007-8,0.7827616341008006
2007-9,0.7829608218626386
2007-10,0.7831600096244767
2007-11,0.7833591973863148
2007-12,0.7835583851481529
2008-1,0.7837575729099909
2008-2,0.7839131330634425
2008-3,0.784068693216894
2008-4,0.7842242533703455
2008-5,0.784379813523797
2008-6,0.7845353736772486
2008-7,0.7846909338307
2008-8,0.7848464939841515
2008-9,0.785002054137603
2008-10,0.7851576142910546
2008-11,0.7853131744445061
2008-12,0.7854687345979576
2009-1,0.7856242947514092
2009-2,0.7857370968352927
2009-3,0.7858498989191762
2009-4,0.7859627010030596
2009-5,0.7860755030869432
2009-6,0.7861883051708267
2009-7,0.7863011072547103
2009-8,0.7864139093385938
2009-9,0.7865267114224773
