,Pernambuco - IDH Longevidade
2003-1,0.7655091628604481
2003-2,0.7659713753208528
2003-3,0.7664335877812575
2003-4,0.7668958002416622
2003-5,0.7673580127020668
2003-6,0.7678202251624715
2003-7,0.7682824376228762
2003-8,0.7687446500832809
2003-9,0.7692068625436855
2003-10,0.7696690750040902
2003-11,0.7701312874644949
2003-12,0.7705934999248996
2004-1,0.7710557123853042
2004-2,0.7714700165097946
2004-3,0.7718843206342849
2004-4,0.7722986247587753
2004-5,0.7727129288832657
2004-6,0.7731272330077561
2004-7,0.7735415371322465
2004-8,0.7739558412567368
2004-9,0.7743701453812272
2004-10,0.7747844495057176
2004-11,0.7751987536302078
2004-12,0.7756130577546982
2005-1,0.7760273618791886
2005-2,0.7763947389622192
2005-3,0.7767621160452498
2005-4,0.7771294931282804
2005-5,0.7774968702113109
2005-6,0.7778642472943414
2005-7,0.778231624377372
2005-8,0.7785990014604026
2005-9,0.7789663785434332
2005-10,0.7793337556264637
2005-11,0.7797011327094943
2005-12,0.7800685097925248
2006-1,0.7804358868755554
2006-2,0.7807573182115807
2006-3,0.781078749547606
2006-4,0.7814001808836313
2006-5,0.7817216122196565
2006-6,0.7820430435556819
2006-7,0.7823644748917071
2006-8,0.7826859062277324
2006-9,0.7830073375637577
2006-10,0.783328768899783
2006-11,0.7836502002358082
2006-12,0.7839716315718336
2007-1,0.7842930629078588
2007-2,0.7845695297913333
2007-3,0.7848459966748078
2007-4,0.7851224635582823
2007-5,0.7853989304417569
2007-6,0.7856753973252314
2007-7,0.7859518642087059
2007-8,0.7862283310921804
2007-9,0.7865047979756549
2007-10,0.7867812648591295
2007-11,0.787057731742604
2007-12,0.7873341986260785
2008-1,0.7876106655095529
2008-2,0.7878431492349312
2008-3,0.7880756329603095
2008-4,0.7883081166856877
2008-5,0.7885406004110659
2008-6,0.7887730841364442
2008-7,0.7890055678618224
2008-8,0.7892380515872006
2008-9,0.7894705353125789
2008-10,0.7897030190379571
2008-11,0.7899355027633354
2008-12,0.7901679864887137
2009-1,0.7904004702140919
2009-2,0.7905899520758284
2009-3,0.7907794339375649
2009-4,0.7909689157993014
2009-5,0.7911583976610378
2009-6,0.7913478795227743
2009-7,0.7915373613845108
2009-8,0.7917268432462473
2009-9,0.7919163251079838
2009-10,0.7921058069697202
2009-11,0.7922952888314567
2009-12,0.7924847706931932
2010-1,0.7926742525549297
2010-2,0.792821713847479
2010-3,0.7929691751400283
2010-4,0.7931166364325776
2010-5,0.7932640977251268
2010-6,0.7934115590176761
2010-7,0.7935590203102254
2010-8,0.7937064816027746
2010-9,0.7938539428953238
2010-10,0.7940014041878731
2010-11,0.7941488654804224
2010-12,0.7942963267729717
2011-1,0.794443788065521
2011-2,0.7945378001150553
2011-3,0.7946318121645896
2011-4,0.794725824214124
2011-5,0.7948198362636583
2011-6,0.7949138483131926
2011-7,0.7950078603627269
2011-8,0.7951018724122612
2011-9,0.7951958844617955
2011-10,0.7952898965113298
2011-11,0.7953839085608642
2011-12,0.7954779206103985
2012-1,0.7955719326599328
2012-2,0.7956522933034045
2012-3,0.7957326539468763
2012-4,0.795813014590348
2012-5,0.7958933752338198
2012-6,0.7959737358772915
2012-7,0.7960540965207632
2012-8,0.796134457164235
2012-9,0.7962148178077068
2012-10,0.7962951784511785
2012-11,0.7963755390946503
2012-12,0.796455899738122
2013-1,0.7965362603815938
2013-2,0.7965677621897993
2013-3,0.7965992639980047
2013-4,0.7966307658062103
2013-5,0.7966622676144158
2013-6,0.7966937694226213
2013-7,0.7967252712308268
2013-8,0.7967567730390324
2013-9,0.7967882748472378
2013-10,0.7968197766554433
2013-11,0.7968512784636489
2013-12,0.7968827802718543
2014-1,0.7969142820800599
2014-2,0.796899797927838
2014-3,0.7968853137756162
2014-4,0.7968708296233945
2014-5,0.7968563454711727
2014-6,0.7968418613189509
2014-7,0.7968273771667291
2014-8,0.7968128930145073
2014-9,0.7967984088622855
2014-10,0.7967839247100637
2014-11,0.7967694405578418
2014-12,0.7967549564056201
2015-1,0.7967404722533983
2015-2,0.7977678794699711
2015-3,0.7987952866865438
2015-4,0.7998226939031166
2015-5,0.8008501011196894
2015-6,0.801877508336262
2015-7,0.8029049155528348
2015-8,0.8039323227694076
2015-9,0.8049597299859803
2015-10,0.8059871372025531
2015-11,0.8070145444191259
2015-12,0.8080419516356986
