,Rio Grande do Sul - IDH Longevidade
2003-1,0.8348248158006828
2003-2,0.8351360747022143
2003-3,0.8354473336037458
2003-4,0.8357585925052774
2003-5,0.8360698514068089
2003-6,0.8363811103083404
2003-7,0.836692369209872
2003-8,0.8370036281114035
2003-9,0.837314887012935
2003-10,0.8376261459144665
2003-11,0.837937404815998
2003-12,0.8382486637175296
2004-1,0.8385599226190611
2004-2,0.8388237580937227
2004-3,0.8390875935683844
2004-4,0.8393514290430459
2004-5,0.8396152645177076
2004-6,0.8398790999923692
2004-7,0.8401429354670309
2004-8,0.8404067709416925
2004-9,0.840670606416354
2004-10,0.8409344418910157
2004-11,0.8411982773656773
2004-12,0.841462112840339
2005-1,0.8417259483150006
2005-2,0.8419431846069972
2005-3,0.8421604208989939
2005-4,0.8423776571909904
2005-5,0.8425948934829871
2005-6,0.8428121297749838
2005-7,0.8430293660669804
2005-8,0.8432466023589771
2005-9,0.8434638386509737
2005-10,0.8436810749429704
2005-11,0.843898311234967
2005-12,0.8441155475269636
2006-1,0.8443327838189603
2006-2,0.8445042451724969
2006-3,0.8446757065260334
2006-4,0.8448471678795699
2006-5,0.8450186292331066
2006-6,0.8451900905866432
2006-7,0.8453615519401797
2006-8,0.8455330132937162
2006-9,0.8457044746472528
2006-10,0.8458759360007895
2006-11,0.846047397354326
2006-12,0.8462188587078625
2007-1,0.8463903200613991
2007-2,0.8465168307206805
2007-3,0.846643341379962
2007-4,0.8467698520392435
2007-5,0.8468963626985249
2007-6,0.8470228733578062
2007-7,0.8471493840170877
2007-8,0.8472758946763692
2007-9,0.8474024053356506
2007-10,0.847528915994932
2007-11,0.8476554266542135
2007-12,0.8477819373134949
2008-1,0.8479084479727763
2008-2,0.8479908321820075
2008-3,0.8480732163912387
2008-4,0.8481556006004699
2008-5,0.848237984809701
2008-6,0.8483203690189323
2008-7,0.8484027532281635
2008-8,0.8484851374373946
2008-9,0.8485675216466259
2008-10,0.848649905855857
2008-11,0.8487322900650882
2008-12,0.8488146742743193
2009-1,0.8488970584835506
2009-2,0.8489361404869364
2009-3,0.8489752224903223
2009-4,0.8490143044937082
2009-5,0.849053386497094
2009-6,0.8490924685004799
2009-7,0.8491315505038657
2009-8,0.8491706325072516
2009-9,0.8492097145106374
2009-10,0.8492487965140233
2009-11,0.8492878785174092
2009-12,0.849326960520795
2010-1,0.8493660425241809
2010-2,0.8493626465659264
2010-3,0.8493592506076718
2010-4,0.8493558546494173
2010-5,0.8493524586911628
2010-6,0.8493490627329082
2010-7,0.8493456667746537
2010-8,0.8493422708163992
2010-9,0.8493388748581446
2010-10,0.8493354788998901
2010-11,0.8493320829416356
2010-12,0.849328686983381
2011-1,0.8493252910251265
2011-2,0.8492710172219664
2011-3,0.8492167434188064
2011-4,0.8491624696156462
2011-5,0.8491081958124862
2011-6,0.8490539220093261
2011-7,0.8489996482061659
2011-8,0.8489453744030059
2011-9,0.8488911005998457
2011-10,0.8488368267966857
2011-11,0.8487825529935256
2011-12,0.8487282791903655
2012-1,0.8486740053872054
2012-2,0.8485953526468388
2012-3,0.8485166999064722
2012-4,0.8484380471661055
2012-5,0.8483593944257389
2012-6,0.8482807416853724
2012-7,0.8482020889450057
2012-8,0.848123436204639
2012-9,0.8480447834642725
2012-10,0.8479661307239059
2012-11,0.8478874779835393
2012-12,0.8478088252431726
2013-1,0.847730172502806
2013-2,0.8476102431451866
2013-3,0.8474903137875672
2013-4,0.8473703844299478
2013-5,0.8472504550723283
2013-6,0.8471305257147089
