,Rio Grande do Norte - IDH Longevidade
2003-1,0.7934727216574531
2003-2,0.793993173904856
2003-3,0.7945136261522591
2003-4,0.795034078399662
2003-5,0.795554530647065
2003-6,0.796074982894468
2003-7,0.7965954351418709
2003-8,0.797115887389274
2003-9,0.7976363396366769
2003-10,0.79815679188408
2003-11,0.7986772441314829
2003-12,0.7991976963788859
2004-1,0.7997181486262889
2004-2,0.8001754534092455
2004-3,0.8006327581922021
2004-4,0.8010900629751587
2004-5,0.8015473677581153
2004-6,0.8020046725410719
2004-7,0.8024619773240285
2004-8,0.8029192821069852
2004-9,0.8033765868899417
2004-10,0.8038338916728983
2004-11,0.804291196455855
2004-12,0.8047485012388116
2005-1,0.8052058060217682
2005-2,0.8056010508261139
2005-3,0.8059962956304597
2005-4,0.8063915404348054
2005-5,0.8067867852391511
2005-6,0.807182030043497
2005-7,0.8075772748478427
2005-8,0.8079725196521884
2005-9,0.8083677644565342
2005-10,0.80876300926088
2005-11,0.8091582540652257
2005-12,0.8095534988695715
2006-1,0.8099487436739172
2006-2,0.8102830159854877
2006-3,0.8106172882970581
2006-4,0.8109515606086286
2006-5,0.8112858329201992
2006-6,0.8116201052317696
2006-7,0.8119543775433401
2006-8,0.8122886498549106
2006-9,0.812622922166481
2006-10,0.8129571944780516
2006-11,0.813291466789622
2006-12,0.8136257391011925
2007-1,0.813960011412763
2007-2,0.8142343987173937
2007-3,0.8145087860220245
2007-4,0.8147831733266552
2007-5,0.8150575606312859
2007-6,0.8153319479359167
2007-7,0.8156063352405474
2007-8,0.8158807225451781
2007-9,0.8161551098498089
2007-10,0.8164294971544396
2007-11,0.8167038844590703
2007-12,0.8169782717637011
2008-1,0.8172526590683318
2008-2,0.8174682488518583
2008-3,0.8176838386353849
2008-4,0.8178994284189114
2008-5,0.8181150182024379
2008-6,0.8183306079859645
2008-7,0.818546197769491
2008-8,0.8187617875530177
2008-9,0.8189773773365442
2008-10,0.8191929671200707
2008-11,0.8194085569035973
2008-12,0.8196241466871238
2009-1,0.8198397364706503
2009-2,0.8199976162189082
2009-3,0.8201554959671662
2009-4,0.8203133757154241
2009-5,0.8204712554636819
2009-6,0.8206291352119398
2009-7,0.8207870149601977
2009-8,0.8209448947084557
2009-9,0.8211027744567135
2009-10,0.8212606542049714
2009-11,0.8214185339532294
2009-12,0.8215764137014873
2010-1,0.8217342934497451
2010-2,0.82183555064857
2010-3,0.8219368078473948
2010-4,0.8220380650462196
2010-5,0.8221393222450444
2010-6,0.8222405794438692
2010-7,0.822341836642694
2010-8,0.8224430938415189
2010-9,0.8225443510403437
2010-10,0.8226456082391685
2010-11,0.8227468654379934
2010-12,0.8228481226368182
2011-1,0.822949379835643
2011-2,0.8229965541871621
2011-3,0.8230437285386811
2011-4,0.8230909028902003
2011-5,0.8231380772417193
2011-6,0.8231852515932384
2011-7,0.8232324259447574
2011-8,0.8232796002962766
2011-9,0.8233267746477957
2011-10,0.8233739489993147
2011-11,0.8234211233508338
2011-12,0.8234682977023529
2012-1,0.823515472053872
2012-2,0.823491273943135
2012-3,0.823467075832398
2012-4,0.823442877721661
2012-5,0.823418679610924
2012-6,0.823394481500187
2012-7,0.8233702833894501
2012-8,0.823346085278713
2012-9,0.823321887167976
2012-10,0.823297689057239
2012-11,0.823273490946502
2012-12,0.823249292835765
2013-1,0.823225094725028
2013-2,0.8231711023272852
2013-3,0.8231171099295423
2013-4,0.8230631175317995
2013-5,0.8230091251340566
2013-6,0.8229551327363137
2013-7,0.8229011403385709
2013-8,0.822847147940828
2013-9,0.8227931555430852
2013-10,0.8227391631453422
2013-11,0.8226851707475994
2013-12,0.8226311783498566
2014-1,0.8225771859521137
2014-2,0.82248397196567
2014-3,0.8223907579792264
2014-4,0.8222975439927828
2014-5,0.8222043300063391
2014-6,0.8221111160198955
2014-7,0.8220179020334518
