,Santa Catarina - IDH Longevidade
2003-1,0.8529209601178851
2003-2,0.8532822944672128
2003-3,0.8536436288165405
2003-4,0.8540049631658684
2003-5,0.8543662975151961
2003-6,0.8547276318645238
2003-7,0.8550889662138516
2003-8,0.8554503005631793
2003-9,0.855811634912507
2003-10,0.8561729692618347
2003-11,0.8565343036111626
2003-12,0.8568956379604903
2004-1,0.857256972309818
2004-2,0.8575675753506915
2004-3,0.857878178391565
2004-4,0.8581887814324386
2004-5,0.8584993844733121
2004-6,0.8588099875141856
2004-7,0.8591205905550592
2004-8,0.8594311935959327
2004-9,0.8597417966368062
2004-10,0.8600523996776797
2004-11,0.8603630027185531
2004-12,0.8606736057594268
2005-1,0.8609842088003002
2005-2,0.8612449869209808
2005-3,0.8615057650416615
2005-4,0.8617665431623421
2005-5,0.8620273212830227
2005-6,0.8622880994037034
2005-7,0.862548877524384
2005-8,0.8628096556450646
2005-9,0.8630704337657453
2005-10,0.8633312118864259
2005-11,0.8635919900071065
2005-12,0.8638527681277872
2006-1,0.8641135462484678
2006-2,0.864325405837217
2006-3,0.864537265425966
2006-4,0.864749125014715
2006-5,0.8649609846034642
2006-6,0.8651728441922133
2006-7,0.8653847037809623
2006-8,0.8655965633697114
2006-9,0.8658084229584605
2006-10,0.8660202825472096
2006-11,0.8662321421359587
2006-12,0.8664440017247077
2007-1,0.8666558613134568
2007-2,0.8668197087585358
2007-3,0.8669835562036147
2007-4,0.8671474036486935
2007-5,0.8673112510937724
2007-6,0.8674750985388513
2007-7,0.8676389459839302
2007-8,0.8678027934290091
2007-9,0.867966640874088
2007-10,0.868130488319167
2007-11,0.8682943357642458
2007-12,0.8684581832093247
2008-1,0.8686220306544036
2008-2,0.8687387723440736
2008-3,0.8688555140337437
2008-4,0.8689722557234137
2008-5,0.8690889974130838
2008-6,0.8692057391027538
2008-7,0.8693224807924238
2008-8,0.8694392224820939
2008-9,0.869555964171764
2008-10,0.869672705861434
2008-11,0.8697894475511041
2008-12,0.8699061892407741
2009-1,0.8700229309304441
2009-2,0.8700934732529667
2009-3,0.8701640155754892
2009-4,0.8702345578980117
2009-5,0.8703051002205343
