Ano,Acre - IDH Longevidade
2008,0.791356228711956
2009,0.7935479157561871
2010,0.7952747540610754
2011,0.7965470320320751
2012,0.7972433670033671
2013,0.797763647586981
2014,0.797827284885896
2015,0.7973128919597207
2016,0.8073770174032695
2017,0.8066840189853849
2018,0.8054734752567835
2019,0.8036983366437639
2020,0.8013072763386515
2021,0.799153392369438
2022,0.8001673371302961
