,Paraná - IDH Longevidade
2003-1,0.8194249728919962
2003-2,0.8197700982704903
2003-3,0.8201152236489844
2003-4,0.8204603490274784
2003-5,0.8208054744059726
2003-6,0.8211505997844667
2003-7,0.8214957251629608
2003-8,0.8218408505414548
2003-9,0.8221859759199489
2003-10,0.8225311012984431
2003-11,0.8228762266769372
2003-12,0.8232213520554312
2004-1,0.8235664774339253
2004-2,0.8238606420406923
2004-3,0.8241548066474593
2004-4,0.8244489712542264
2004-5,0.8247431358609935
2004-6,0.8250373004677605
2004-7,0.8253314650745275
2004-8,0.8256256296812945
2004-9,0.8259197942880615
2004-10,0.8262139588948285
2004-11,0.8265081235015956
2004-12,0.8268022881083626
2005-1,0.8270964527151297
2005-2,0.827340528785381
2005-3,0.8275846048556325
2005-4,0.8278286809258839
2005-5,0.8280727569961353
2005-6,0.8283168330663866
2005-7,0.828560909136638
2005-8,0.8288049852068895
2005-9,0.8290490612771408
2005-10,0.8292931373473922
2005-11,0.8295372134176436
2005-12,0.8297812894878951
2006-1,0.8300253655581464
2006-2,0.8302202253270936
2006-3,0.8304150850960408
2006-4,0.830609944864988
2006-5,0.8308048046339351
2006-6,0.8309996644028823
2006-7,0.8311945241718295
2006-8,0.8313893839407768
2006-9,0.831584243709724
2006-10,0.8317791034786711
2006-11,0.8319739632476183
2006-12,0.8321688230165655
2007-1,0.8323636827855126
2007-2,0.832510198488367
2007-3,0.8326567141912214
2007-4,0.8328032298940758
2007-5,0.8329497455969302
2007-6,0.8330962612997846
2007-7,0.8332427770026392
2007-8,0.8333892927054936
2007-9,0.833535808408348
2007-10,0.8336823241112024
2007-11,0.8338288398140568
2007-12,0.8339753555169112
2008-1,0.8341218712197656
2008-2,0.8342209150917386
2008-3,0.8343199589637117
2008-4,0.8344190028356848
2008-5,0.8345180467076578
2008-6,0.8346170905796308
2008-7,0.834716134451604
2008-8,0.8348151783235771
2008-9,0.8349142221955501
2008-10,0.8350132660675231
2008-11,0.8351123099394963
2008-12,0.8352113538114694
2009-1,0.8353103976834424
2009-2,0.8353628419597455
2009-3,0.8354152862360487
2009-4,0.8354677305123519
2009-5,0.835520174788655
2009-6,0.8355726190649582
2009-7,0.8356250633412613
2009-8,0.8356775076175644
2009-9,0.8357299518938676
2009-10,0.8357823961701707
2009-11,0.8358348404464739
2009-12,0.8358872847227771
2010-1,0.8359397289990802
2010-2,0.8359464459149248
2010-3,0.8359531628307695
2010-4,0.8359598797466141
2010-5,0.8359665966624589
2010-6,0.8359733135783035
2010-7,0.8359800304941482
2010-8,0.8359867474099928
2010-9,0.8359934643258374
2010-10,0.8360001812416822
2010-11,0.8360068981575268
2010-12,0.8360136150733715
2011-1,0.8360203319892161
2011-2,0.8359723661640766
2011-3,0.8359244003389371
2011-4,0.8358764345137976
2011-5,0.8358284686886581
2011-6,0.8357805028635186
2011-7,0.835732537038379
2011-8,0.8356845712132396
2011-9,0.8356366053881
2011-10,0.8355886395629606
2011-11,0.835540673737821
2011-12,0.8354927079126816
2012-1,0.835444742087542
2012-2,0.8353714416853723
2012-3,0.8352981412832023
2012-4,0.8352248408810325
2012-5,0.8351515404788626
2012-6,0.8350782400766928
2012-7,0.8350049396745229
2012-8,0.8349316392723531
2012-9,0.8348583388701833
2012-10,0.8347850384680134
2012-11,0.8347117380658436
2012-12,0.8346384376636737
2013-1,0.8345651372615039
2013-2,0.83444406182582
2013-3,0.8343229863901359
2013-4,0.834201910954452
2013-5,0.834080835518768
2013-6,0.8339597600830839
2013-7,0.8338386846474
2013-8,0.833717609211716
2013-9,0.8335965337760319
2013-10,0.833475458340348
2013-11,0.833354382904664
2013-12,0.83323330746898
2014-1,0.833112232033296
2014-2,0.8329463447557495
