,Sergipe - IDH Longevidade
2003-1,0.7503791139880304
2003-2,0.7507928402482237
2003-3,0.751206566508417
2003-4,0.7516202927686103
2003-5,0.7520340190288036
2003-6,0.7524477452889969
2003-7,0.7528614715491901
2003-8,0.7532751978093835
2003-9,0.7536889240695768
2003-10,0.7541026503297701
2003-11,0.7545163765899634
2003-12,0.7549301028501567
2004-1,0.75534382911035
2004-2,0.7557083130360779
2004-3,0.7560727969618057
2004-4,0.7564372808875337
2004-5,0.7568017648132616
2004-6,0.7571662487389894
2004-7,0.7575307326647173
2004-8,0.7578952165904451
2004-9,0.758259700516173
2004-10,0.7586241844419008
2004-11,0.7589886683676288
2004-12,0.7593531522933566
2005-1,0.7597176362190845
2005-2,0.7600337830192787
2005-3,0.760349929819473
2005-4,0.7606660766196672
2005-5,0.7609822234198614
2005-6,0.7612983702200558
2005-7,0.76161451702025
2005-8,0.7619306638204442
2005-9,0.7622468106206385
2005-10,0.7625629574208327
2005-11,0.7628791042210269
2005-12,0.7631952510212212
2006-1,0.7635113978214154
2006-2,0.7637801127050079
2006-3,0.7640488275886004
2006-4,0.7643175424721929
2006-5,0.7645862573557852
2006-6,0.7648549722393777
2006-7,0.7651236871229702
2006-8,0.7653924020065627
2006-9,0.7656611168901551
2006-10,0.7659298317737475
2006-11,0.76619854665734
2006-12,0.7664672615409325
2007-1,0.766735976424525
2007-2,0.7669581646004475
2007-3,0.76718035277637
2007-4,0.7674025409522925
2007-5,0.767624729128215
2007-6,0.7678469173041376
2007-7,0.7680691054800601
2007-8,0.7682912936559826
2007-9,0.7685134818319052
2007-10,0.7687356700078276
2007-11,0.7689578581837502
2007-12,0.7691800463596726
2008-1,0.7694022345355952
2008-2,0.7695788012127796
2008-3,0.769755367889964
2008-4,0.7699319345671484
2008-5,0.7701085012443328
2008-6,0.7702850679215172
2008-7,0.7704616345987017
2008-8,0.770638201275886
2008-9,0.7708147679530704
2008-10,0.7709913346302548
2008-11,0.7711679013074392
2008-12,0.7713444679846236
2009-1,0.771521034661808
2009-2,0.771652885049186
2009-3,0.7717847354365642
2009-4,0.7719165858239423
2009-5,0.7720484362113205
2009-6,0.7721802865986985
2009-7,0.7723121369860766
2009-8,0.7724439873734548
2009-9,0.7725758377608328
2009-10,0.772707688148211
2009-11,0.7728395385355891
2009-12,0.7729713889229672
2010-1,0.7731032393103453
2010-2,0.773191278616849
2010-3,0.7732793179233526
2010-4,0.7733673572298563
2010-5,0.77345539653636
2010-6,0.7735434358428637
2010-7,0.7736314751493674
2010-8,0.773719514455871
2010-9,0.7738075537623746
2010-10,0.7738955930688783
2010-11,0.7739836323753819
2010-12,0.7740716716818856
2011-1,0.7741597109883893
2011-2,0.7742017264307149
2011-3,0.7742437418730405
2011-4,0.7742857573153661
2011-5,0.7743277727576916
2011-6,0.7743697882000172
2011-7,0.7744118036423429
2011-8,0.7744538190846684
2011-9,0.774495834526994
2011-10,0.7745378499693195
2011-11,0.7745798654116451
2011-12,0.7746218808539707
2012-1,0.7746638962962963
2012-2,0.7746615622427984
2012-3,0.7746592281893004
2012-4,0.7746568941358025
2012-5,0.7746545600823045
2012-6,0.7746522260288066
2012-7,0.7746498919753086
2012-8,0.7746475579218107
2012-9,0.7746452238683128
2012-10,0.7746428898148148
2012-11,0.7746405557613169
2012-12,0.7746382217078189
2013-1,0.774635887654321
2013-2,0.7746055813185871
2013-3,0.7745752749828532
2013-4,0.7745449686471193
2013-5,0.7745146623113854
2013-6,0.7744843559756516
2013-7,0.7744540496399177
2013-8,0.7744237433041837
2013-9,0.7743934369684499
2013-10,0.774363130632716
2013-11,0.774332824296982
2013-12,0.7743025179612482
2014-1,0.7742722116255143
2014-2,0.7742046575395803
2014-3,0.7741371034536464
2014-4,0.7740695493677126
2014-5,0.7740019952817786
2014-6,0.7739344411958446
2014-7,0.7738668871099108
2014-8,0.7737993330239769
2014-9,0.7737317789380429
2014-10,0.773664224852109
2014-11,0.773596670766175
2014-12,0.7735291166802412
2015-1,0.7734615625943072
2015-2,0.7743400199400122
2015-3,0.7752184772857171
2015-4,0.7760969346314222
2015-5,0.7769753919771272
2015-6,0.7778538493228322
2015-7,0.7787323066685372
2015-8,0.7796107640142421
2015-9,0.7804892213599471
2015-10,0.7813676787056522
2015-11,0.7822461360513571
2015-12,0.7831245933970621
2016-1,0.7840030507427671
2016-2,0.783934892036273
2016-3,0.7838667333297787
2016-4,0.7837985746232845
2016-5,0.7837304159167904
2016-6,0.7836622572102963
2016-7,0.783594098503802
2016-8,0.7835259397973078
2016-9,0.7834577810908137
2016-10,0.7833896223843195
2016-11,0.7833214636778253
2016-12,0.783253304971331
2017-1,0.7831851462648369
2017-2,0.7830804882819948
2017-3,0.7829758302991526
2017-4,0.7828711723163105
2017-5,0.7827665143334683
2017-6,0.7826618563506262
2017-7,0.7825571983677841
2017-8,0.7824525403849419
2017-9,0.7823478824020998
2017-10,0.7822432244192576
2017-11,0.7821385664364155
2017-12,0.7820339084535733
2018-1,0.7819292504707313
2018-2,0.7817847750955095
2018-3,0.7816402997202878
2018-4,0.781495824345066
2018-5,0.7813513489698443
2018-6,0.7812068735946225
2018-7,0.7810623982194007
2018-8,0.780917922844179
2018-9,0.7807734474689573
2018-10,0.7806289720937355
2018-11,0.7804844967185138
2018-12,0.7803400213432921
2019-1,0.7801955459680703
2019-2,0.7800076334375253
2019-3,0.7798197209069805
2019-4,0.7796318083764355
2019-5,0.7794438958458906
2019-6,0.7792559833153457
2019-7,0.7790680707848008
2019-8,0.7788801582542558
2019-9,0.778692245723711
2019-10,0.778504333193166
2019-11,0.7783164206626211
2019-12,0.7781285081320762
2020-1,0.7779405956015313
2020-2,0.7777507516288156
2020-3,0.7775609076561
2020-4,0.7773710636833843
2020-5,0.7771812197106687
2020-6,0.776991375737953
2020-7,0.7768015317652373
2020-8,0.7766116877925217
2020-9,0.776421843819806
2020-10,0.7762319998470903
2020-11,0.7760421558743746
2020-12,0.775852311901659
2021-1,0.7756624679289433
2021-2,0.7757508199587081
2021-3,0.7758391719884727
2021-4,0.7759275240182375
2021-5,0.7760158760480022
2021-6,0.7761042280777669
2021-7,0.7761925801075316
2021-8,0.7762809321372963
2021-9,0.7763692841670611
2021-10,0.7764576361968257
2021-11,0.7765459882265905
2021-12,0.7766343402563551
2022-1,0.7767226922861199
