,Mato Grosso do Sul - IDH Longevidade
2003-1,0.7955645476426897
2003-2,0.7958784081551638
2003-3,0.7961922686676377
2003-4,0.7965061291801118
2003-5,0.7968199896925857
2003-6,0.7971338502050598
2003-7,0.7974477107175337
2003-8,0.7977615712300078
2003-9,0.7980754317424819
2003-10,0.7983892922549558
2003-11,0.7987031527674299
2003-12,0.7990170132799038
2004-1,0.7993308737923779
2004-2,0.7995951482109509
2004-3,0.7998594226295239
2004-4,0.8001236970480969
2004-5,0.80038797146667
2004-6,0.800652245885243
2004-7,0.800916520303816
2004-8,0.801180794722389
2004-9,0.801445069140962
2004-10,0.801709343559535
2004-11,0.8019736179781081
2004-12,0.8022378923966811
2005-1,0.8025021668152541
2005-2,0.8027176718010971
2005-3,0.8029331767869401
2005-4,0.8031486817727832
2005-5,0.8033641867586262
2005-6,0.8035796917444692
2005-7,0.8037951967303123
2005-8,0.8040107017161553
2005-9,0.8042262067019983
2005-10,0.8044417116878413
2005-11,0.8046572166736843
2005-12,0.8048727216595274
2006-1,0.8050882266453704
2006-2,0.8052557788596544
2006-3,0.8054233310739385
2006-4,0.8055908832882226
2006-5,0.8057584355025066
2006-6,0.8059259877167906
2006-7,0.8060935399310747
2006-8,0.8062610921453588
2006-9,0.8064286443596428
2006-10,0.8065961965739268
2006-11,0.8067637487882109
2006-12,0.806931301002495
2007-1,0.807098853216779
2007-2,0.8072192693206751
2007-3,0.8073396854245711
2007-4,0.8074601015284673
2007-5,0.8075805176323634
2007-6,0.8077009337362594
2007-7,0.8078213498401555
2007-8,0.8079417659440516
2007-9,0.8080621820479477
2007-10,0.8081825981518438
2007-11,0.8083030142557399
2007-12,0.8084234303596359
2008-1,0.8085438464635321
2008-2,0.8086179431182112
2008-3,0.8086920397728903
2008-4,0.8087661364275694
2008-5,0.8088402330822486
2008-6,0.8089143297369277
2008-7,0.8089884263916068
2008-8,0.809062523046286
2008-9,0.8091366197009651
2008-10,0.8092107163556442
2008-11,0.8092848130103234
2008-12,0.8093589096650025
2009-1,0.8094330063196816
2009-2,0.8094616001863149
2009-3,0.809490194052948
2009-4,0.8095187879195812
2009-5,0.8095473817862144
2009-6,0.8095759756528477
2009-7,0.8096045695194809
2009-8,0.809633163386114
2009-9,0.8096617572527472
2009-10,0.8096903511193805
2009-11,0.8097189449860136
2009-12,0.8097475388526468
2010-1,0.8097761327192801
2010-2,0.8097600404590384
2010-3,0.8097439481987966
2010-4,0.8097278559385549
2010-5,0.8097117636783132
2010-6,0.8096956714180714
2010-7,0.8096795791578297
2010-8,0.809663486897588
2010-9,0.8096473946373463
2010-10,0.8096313023771046
2010-11,0.8096152101168629
2010-12,0.8095991178566211
2011-1,0.8095830255963794
2011-2,0.8095160742489819
2011-3,0.8094491229015843
2011-4,0.8093821715541869
2011-5,0.8093152202067894
2011-6,0.8092482688593918
2011-7,0.8091813175119944
2011-8,0.8091143661645969
2011-9,0.8090474148171993
2011-10,0.8089804634698018
2011-11,0.8089135121224043
2011-12,0.8088465607750068
2012-1,0.8087796094276093
2012-2,0.808680856715301
2012-3,0.8085821040029928
2012-4,0.8084833512906845
2012-5,0.8083845985783762
2012-6,0.808285845866068
2012-7,0.8081870931537597
2012-8,0.8080883404414514
2012-9,0.8079895877291432
2012-10,0.8078908350168349
2012-11,0.8077920823045266
2012-12,0.8076933295922184
2013-1,0.8075945768799101
2013-2,0.8074528725526873
2013-3,0.8073111682254644
2013-4,0.8071694638982416
2013-5,0.8070277595710187
2013-6,0.8068860552437959
2013-7,0.806744350916573
2013-8,0.8066026465893502
2013-9,0.8064609422621274
2013-10,0.8063192379349045
2013-11,0.8061775336076816
2013-12,0.8060358292804588
2014-1,0.805894124953236
2014-2,0.8057128341543001
2014-3,0.8055315433553643
2014-4,0.8053502525564284
2014-5,0.8051689617574925
2014-6,0.8049876709585566
2014-7,0.8048063801596208
2014-8,0.804625089360685
2014-9,0.8044437985617491
2014-10,0.8042625077628132
2014-11,0.8040812169638774
2014-12,0.8038999261649415
2015-1,0.8037186353660056
2015-2,0.8042344077720716
