,Tocantins - IDH Longevidade
2003-1,0.7663704567902598
2003-2,0.766735416871802
2003-3,0.7671003769533443
2003-4,0.7674653370348865
2003-5,0.7678302971164287
2003-6,0.768195257197971
2003-7,0.7685602172795132
2003-8,0.7689251773610554
2003-9,0.7692901374425977
2003-10,0.7696550975241399
2003-11,0.770020057605682
2003-12,0.7703850176872243
2004-1,0.7707499777687665
2004-2,0.771073738716687
2004-3,0.7713974996646077
2004-4,0.7717212606125283
2004-5,0.7720450215604489
2004-6,0.7723687825083694
2004-7,0.77269254345629
2004-8,0.7730163044042107
2004-9,0.7733400653521312
2004-10,0.7736638263000517
2004-11,0.7739875872479723
2004-12,0.774311348195893
2005-1,0.7746351091438135
2005-2,0.7749184583663848
2005-3,0.7752018075889563
2005-4,0.7754851568115277
2005-5,0.7757685060340991
2005-6,0.7760518552566704
2005-7,0.7763352044792419
2005-8,0.7766185537018133
2005-9,0.7769019029243847
2005-10,0.777185252146956
2005-11,0.7774686013695274
2005-12,0.7777519505920989
2006-1,0.7780352998146702
2006-2,0.778279024720165
2006-3,0.7785227496256596
2006-4,0.7787664745311542
2006-5,0.779010199436649
2006-6,0.7792539243421437
2006-7,0.7794976492476383
2006-8,0.7797413741531329
2006-9,0.7799850990586277
2006-10,0.7802288239641224
2006-11,0.780472548869617
2006-12,0.7807162737751117
2007-1,0.7809599986806064
2007-2,0.7811648866772968
2007-3,0.7813697746739872
2007-4,0.7815746626706775
2007-5,0.7817795506673679
2007-6,0.7819844386640583
2007-7,0.7821893266607487
2007-8,0.7823942146574392
2007-9,0.7825991026541296
2007-10,0.78280399065082
2007-11,0.7830088786475103
2007-12,0.7832137666442007
2008-1,0.7834186546408911
2008-2,0.7835854931370497
2008-3,0.7837523316332082
2008-4,0.7839191701293668
2008-5,0.7840860086255255
2008-6,0.7842528471216841
2008-7,0.7844196856178427
2008-8,0.7845865241140012
2008-9,0.7847533626101598
2008-10,0.7849202011063184
2008-11,0.7850870396024769
2008-12,0.7852538780986356
2009-1,0.7854207165947942
2009-2,0.7855502929986934
2009-3,0.7856798694025926
2009-4,0.7858094458064918
2009-5,0.785939022210391
2009-6,0.7860685986142902
2009-7,0.7861981750181894
2009-8,0.7863277514220888
2009-9,0.786457327825988
2009-10,0.7865869042298872
2009-11,0.7867164806337864
2009-12,0.7868460570376856
2010-1,0.7869756334415848
2010-2,0.7870687351614971
2010-3,0.7871618368814095
2010-4,0.7872549386013218
2010-5,0.7873480403212341
2010-6,0.7874411420411465
2010-7,0.7875342437610587
2010-8,0.787627345480971
2010-9,0.7877204472008834
2010-10,0.7878135489207957
2010-11,0.787906650640708
2010-12,0.7879997523606204
2011-1,0.7880928540805326
2011-2,0.7881441665210719
2011-3,0.7881954789616111
2011-4,0.7882467914021503
2011-5,0.7882981038426895
2011-6,0.7883494162832287
2011-7,0.788400728723768
2011-8,0.7884520411643072
2011-9,0.7885033536048465
2011-10,0.7885546660453857
2011-11,0.7886059784859248
2011-12,0.7886572909264641
2012-1,0.7887086033670033
2012-2,0.788734357557052
2012-3,0.7887601117471006
2012-4,0.7887858659371492
2012-5,0.7888116201271979
2012-6,0.7888373743172465
2012-7,0.7888631285072951
2012-8,0.7888888826973437
2012-9,0.7889146368873924
2012-10,0.7889403910774411
2012-11,0.7889661452674896
2012-12,0.7889918994575382
2013-1,0.7890176536475869
2013-2,0.7890108317979174
2013-3,0.7890040099482478
2013-4,0.7889971880985783
2013-5,0.7889903662489088
2013-6,0.7889835443992392
2013-7,0.7889767225495697
2013-8,0.7889699006999003
2013-9,0.7889630788502306
2013-10,0.7889562570005612
2013-11,0.7889494351508917
2013-12,0.7889426133012221
2014-1,0.7889357914515526
2014-2,0.7888936788921883
2014-3,0.7888515663328242
2014-4,0.7888094537734599
2014-5,0.7887673412140956
2014-6,0.7887252286547315
2014-7,0.7886831160953672
2014-8,0.788641003536003
2014-9,0.7885988909766388
2014-10,0.7885567784172746
2014-11,0.7885146658579103
2014-12,0.7884725532985462
2015-1,0.7884304407391819
2015-2,0.7892134531715631
2015-3,0.7899964656039444
2015-4,0.7907794780363256
2015-5,0.7915624904687069
2015-6,0.7923455029010882
2015-7,0.7931285153334694
2015-8,0.7939115277658506
2015-9,0.7946945401982319
2015-10,0.7954775526306131
2015-11,0.7962605650629944
2015-12,0.7970435774953757
2016-1,0.7978265899277569
2016-2,0.7977722459120581
2016-3,0.7977179018963593
2016-4,0.7976635578806605
2016-5,0.7976092138649616
2016-6,0.7975548698492628
2016-7,0.797500525833564
2016-8,0.7974461818178652
2016-9,0.7973918378021664
2016-10,0.7973374937864676
2016-11,0.7972831497707688
2016-12,0.7972288057550699
2017-1,0.7971744617393711
2017-2,0.7970848743283058
2017-3,0.7969952869172404
2017-4,0.796905699506175
2017-5,0.7968161120951096
2017-6,0.7967265246840443
2017-7,0.7966369372729789
2017-8,0.7965473498619136
2017-9,0.7964577624508482
2017-10,0.7963681750397829
2017-11,0.7962785876287174
2017-12,0.796189000217652
2018-1,0.7960994128065867
2018-2,0.7959638022975457
2018-3,0.7958281917885047
2018-4,0.7956925812794637
2018-5,0.7955569707704226
2018-6,0.7954213602613817
2018-7,0.7952857497523407
2018-8,0.7951501392432997
2018-9,0.7950145287342587
2018-10,0.7948789182252176
2018-11,0.7947433077161766
2018-12,0.7946076972071356
2019-1,0.7944720866980947
2019-2,0.794293844930656
2019-3,0.7941156031632173
2019-4,0.7939373613957785
2019-5,0.7937591196283399
2019-6,0.7935808778609013
2019-7,0.7934026360934625
2019-8,0.7932243943260238
2019-9,0.7930461525585851
2019-10,0.7928679107911465
2019-11,0.7926896690237077
2019-12,0.792511427256269
2020-1,0.7923331854888304
2020-2,0.7921463156819275
2020-3,0.7919594458750248
2020-4,0.791772576068122
2020-5,0.7915857062612192
2020-6,0.7913988364543163
2020-7,0.7912119666474136
2020-8,0.7910250968405108
2020-9,0.790838227033608
2020-10,0.7906513572267051
2020-11,0.7904644874198024
2020-12,0.7902776176128996
2021-1,0.7900907478059968
2021-2,0.7901747686227089
2021-3,0.790258789439421
2021-4,0.7903428102561331
2021-5,0.7904268310728452
2021-6,0.7905108518895573
2021-7,0.7905948727062694
2021-8,0.7906788935229815
2021-9,0.7907629143396936
2021-10,0.7908469351564057
2021-11,0.7909309559731178
2021-12,0.7910149767898299
2022-1,0.791098997606542
