,Ceará - IDH Longevidade
2003-1,0.7677658513396238
2003-2,0.7682112271485712
2003-3,0.7686566029575186
2003-4,0.7691019787664659
2003-5,0.7695473545754133
2003-6,0.7699927303843607
2003-7,0.7704381061933081
2003-8,0.7708834820022554
2003-9,0.7713288578112028
2003-10,0.7717742336201502
2003-11,0.7722196094290975
2003-12,0.7726649852380449
2004-1,0.7731103610469923
2004-2,0.7735013814744549
2004-3,0.7738924019019175
2004-4,0.7742834223293802
2004-5,0.7746744427568429
2004-6,0.7750654631843056
2004-7,0.7754564836117682
2004-8,0.7758475040392309
2004-9,0.7762385244666935
2004-10,0.7766295448941563
2004-11,0.7770205653216189
2004-12,0.7774115857490815
2005-1,0.7778026061765442
2005-2,0.7781402040474237
2005-3,0.7784778019183033
2005-4,0.7788153997891828
2005-5,0.7791529976600624
2005-6,0.7794905955309419
2005-7,0.7798281934018214
2005-8,0.780165791272701
2005-9,0.7805033891435805
2005-10,0.7808409870144601
2005-11,0.7811785848853396
2005-12,0.7815161827562193
2006-1,0.7818537806270988
2006-2,0.7821388887662968
2006-3,0.7824239969054948
2006-4,0.7827091050446928
2006-5,0.7829942131838908
2006-6,0.7832793213230889
2006-7,0.783564429462287
2006-8,0.783849537601485
2006-9,0.784134645740683
2006-10,0.784419753879881
2006-11,0.7847048620190791
2006-12,0.7849899701582771
2007-1,0.7852750782974751
2007-2,0.7855086295298932
2007-3,0.7857421807623114
2007-4,0.7859757319947295
2007-5,0.7862092832271476
2007-6,0.7864428344595658
2007-7,0.7866763856919838
2007-8,0.7869099369244019
2007-9,0.7871434881568201
2007-10,0.7873770393892382
2007-11,0.7876105906216563
2007-12,0.7878441418540745
2008-1,0.7880776930864926
2008-2,0.7882606202370324
2008-3,0.7884435473875722
2008-4,0.788626474538112
2008-5,0.7888094016886519
2008-6,0.7889923288391917
2008-7,0.7891752559897315
2008-8,0.7893581831402713
2008-9,0.7895411102908111
2008-10,0.789724037441351
2008-11,0.7899069645918908
2008-12,0.7900898917424306
2009-1,0.7902728188929704
2009-2,0.7904060547865335
2009-3,0.7905392906800967
2009-4,0.7906725265736598
2009-5,0.7908057624672229
2009-6,0.790938998360786
2009-7,0.7910722342543491
2009-8,0.7912054701479123
2009-9,0.7913387060414754
2009-10,0.7914719419350384
2009-11,0.7916051778286016
2009-12,0.7917384137221648
2010-1,0.7918716496157279
2010-2,0.7919561270772159
2010-3,0.7920406045387038
2010-4,0.7921250820001919
2010-5,0.7922095594616799
2010-6,0.7922940369231679
2010-7,0.792378514384656
2010-8,0.792462991846144
2010-9,0.792547469307632
2010-10,0.79263194676912
2010-11,0.792716424230608
2010-12,0.792800901692096
2011-1,0.792885379153584
2011-2,0.7929216923947136
2011-3,0.7929580056358431
2011-4,0.7929943188769726
2011-5,0.793030632118102
2011-6,0.7930669453592315
2011-7,0.793103258600361
2011-8,0.7931395718414905
2011-9,0.79317588508262
2011-10,0.7932121983237495
2011-11,0.793248511564879
2011-12,0.7932848248060085
2012-1,0.793321138047138
2012-2,0.793302534839132
2012-3,0.7932839316311261
2012-4,0.7932653284231201
2012-5,0.7932467252151141
2012-6,0.7932281220071081
2012-7,0.7932095187991022
2012-8,0.7931909155910962
2012-9,0.7931723123830903
2012-10,0.7931537091750842
2012-11,0.7931351059670783
2012-12,0.7931165027590723
2013-1,0.7930978995510664
2013-2,0.7930430238535043
2013-3,0.7929881481559422
2013-4,0.7929332724583802
2013-5,0.7928783967608182
2013-6,0.7928235210632562
2013-7,0.7927686453656941
2013-8,0.792713769668132
2013-9,0.79265889397057
2013-10,0.792604018273008
2013-11,0.7925491425754458
2013-12,0.7924942668778838
2014-1,0.7924393911803218
2014-2,0.7923591091746296
2014-3,0.7922788271689374
2014-4,0.7921985451632452
2014-5,0.792118263157553
2014-6,0.7920379811518607
2014-7,0.7919576991461685
2014-8,0.7918774171404763
2014-9,0.7917971351347841
2014-10,0.7917168531290919
2014-11,0.7916365711233997
2014-12,0.7915562891177075
2015-1,0.7914760071120153
2015-2,0.7924161461851847
2015-3,0.7933562852583542
2015-4,0.7942964243315238
2015-5,0.7952365634046933
2015-6,0.7961767024778628
2015-7,0.7971168415510324
2015-8,0.7980569806242018
2015-9,0.7989971196973713
2015-10,0.7999372587705408
2015-11,0.8008773978437103
2015-12,0.8018175369168798
2016-1,0.8027576759900493
2016-2,0.8026876583839133
2016-3,0.8026176407777773
2016-4,0.8025476231716413
2016-5,0.8024776055655054
2016-6,0.8024075879593694
2016-7,0.8023375703532334
2016-8,0.8022675527470974
2016-9,0.8021975351409614
2016-10,0.8021275175348255
2016-11,0.8020574999286895
2016-12,0.8019874823225535
2017-1,0.8019174647164174
2017-2,0.801810778843057
2017-3,0.8017040929696965
2017-4,0.8015974070963361
2017-5,0.8014907212229756
2017-6,0.8013840353496151
2017-7,0.8012773494762546
2017-8,0.8011706636028941
2017-9,0.8010639777295336
2017-10,0.8009572918561731
2017-11,0.8008506059828128
2017-12,0.8007439201094523
2018-1,0.8006372342360918
2018-2,0.800498122374244
2018-3,0.8003590105123962
2018-4,0.8002198986505484
2018-5,0.8000807867887005
2018-6,0.7999416749268528
2018-7,0.799802563065005
2018-8,0.7996634512031572
2018-9,0.7995243393413094
2018-10,0.7993852274794615
2018-11,0.7992461156176137
2018-12,0.7991070037557659
2019-1,0.7989678918939181
2019-2,0.7987858304688721
2019-3,0.798603769043826
2019-4,0.79842170761878
2019-5,0.7982396461937339
2019-6,0.7980575847686878
2019-7,0.7978755233436416
2019-8,0.7976934619185956
2019-9,0.7975114004935495
2019-10,0.7973293390685035
2019-11,0.7971472776434574
2019-12,0.7969652162184113
2020-1,0.7967831547933653
2020-2,0.7965921180872544
2020-3,0.7964010813811435
2020-4,0.7962100446750326
2020-5,0.7960190079689218
2020-6,0.7958279712628109
2020-7,0.7956369345567
2020-8,0.7954458978505893
2020-9,0.7952548611444784
2020-10,0.7950638244383675
2020-11,0.7948727877322567
2020-12,0.7946817510261458
2021-1,0.7944907143200349
2021-2,0.7945701894285201
2021-3,0.7946496645370051
2021-4,0.7947291396454903
2021-5,0.7948086147539754
2021-6,0.7948880898624605
2021-7,0.7949675649709456
2021-8,0.7950470400794307
2021-9,0.7951265151879159
2021-10,0.7952059902964009
2021-11,0.7952854654048861
2021-12,0.7953649405133711
2022-1,0.7954444156218563
