Ano,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado
1985,0.060376435,13535140.2794993,21.4676741959,257185785.27677
1986,0.147673413,16832797.5220405,22.9622098397,278330479.359526
1987,0.449748867,16475041.4247327,22.8026592402,279567990.346143
1988,3.231270282,18164521.0683636,22.7104740351,281531004.558365
1989,43.90352554,22351252.914025,22.7999134519,290003613.150493
1990,1253.944054,14687184.1162961,21.6285195267,277917370.31159
1991,7401.138508,14334712.3685145,21.5526032864,279681128.251197
1992,77384.96344,15974881.3397438,20.8561775158,274836450.449786
1993,1659391.978,17905531.4724207,20.8909878514,278566009.903924
1994,39611125.26,21920071.6678536,21.1427868949,285200274.693332
1995,78944953.66,19841942.7759122,21.4351970218,292435205.651203
1996,94684066.67,21720800.7319971,21.4074346588,295327506.466527
1997,104424109.0,23227201.9680926,21.3754773927,298142208.857138
1998,114177719.9,23474898.1186406,21.2983098468,300473701.34546
1999,127218907.8,20415829.3855787,21.0762030516,301801469.416888
2000,139754794.7,20793127.5000567,21.359047022,309571940.208782
2001,152099027.8,18972022.3811529,21.2882472039,312276808.60382
2002,157947564.591282,22002220.8607244,20.3783306634,300060220.395024
2003,175430466.375826,15520499.6046937,19.6323302641,292111758.61427
2004,199826624.07779,16949942.1020246,20.3105211991,308796086.680367
2005,227038904.140366,15360367.3074699,21.2292993635,326578952.433559
2006,253626466.332053,14600095.4692996,21.9562544994,341677084.768635
2007,272927457.63147,15482319.1192553,21.9379701371,345435979.793599
2008,319780565.859844,15328644.5314064,23.4416172987,372073835.629902
2009,333082303.074983,18805361.6453748,22.5564819281,361138952.400269
2010,379412007.722099,21712090.2041022,23.6040786683,379412007.722099
2011,436279839.384899,21907627.0544665,24.997375236,402774658.023202
2012,489621324.2856,23860891.7112164,25.7992617356,418757233.961418
2013,534960445.849318,26917567.5779876,25.9997916802,425595243.976061
2014,579338827.352661,26448007.6644208,25.962113892,427366848.22197
2015,556399222.561495,21548041.4957669,23.0558084309,381574182.870545
2016,542132620.871708,18525428.9672548,20.6732628719,343920318.443366
2017,563487481.488435,14464161.6478443,20.6305583699,344808265.367088
2018,630432574.407067,13598436.3613098,21.7730432565,369183788.226661
2019,661054234.646338,12256849.3596495,21.7867077079,371425958.565805
2020,654129701.939298,11799564.7366333,20.1226549633,345192682.476464
2021,,,,
2022,,,,
