Ano,Mato Grosso Do Sul - Produção de Cimento (t)
2014,886.9446064265561
2015,822.6913735646258
2016,737.4304112334373
2017,688.4440845266055
2018,702.7999970026939
2019,762.7925955943658
2020,834.4739394785485
2021,865.3208026931924
2022,869.4917501197556
