State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Santa Catarina,2007-06,0.49641898117681116,1013.747690290758,742.5723684210527,20.105817627206644,14.199911993769469,70.58965342679124,2.8140089563862936,2007
Santa Catarina,2007-07,2.392207792207792,1018.3302419354839,892.5269565217384,14.962298387096775,11.240188172043013,79.94690860215054,1.8969086021505375,2007
Santa Catarina,2007-08,2.047457627118644,1020.4459677419355,788.0732970027246,16.117137096774194,13.196236559139784,83.43817204301075,2.298790322580645,2007
Santa Catarina,2007-09,1.5552631578947373,1019.7269444444445,1167.7680000000005,19.692916666666665,16.43263888888889,82.22638888888889,2.4131944444444446,2007
Santa Catarina,2007-10,1.6291666666666658,1015.5149193548386,1161.4509389671368,21.479771505376345,17.666263440860217,79.6747311827957,2.497311827956989,2007
Santa Catarina,2007-11,1.6923076923076932,1012.68375,1484.7676549865234,21.62666666666667,16.509861111111118,73.79444444444445,2.994861111111112,2007
Santa Catarina,2007-12,1.9921052631578944,1011.6608870967741,1489.0027088036109,24.07271505376344,19.465860215053763,76.44489247311827,2.495295698924731,2007
Santa Catarina,2008-01,4.027272727272726,1012.9633064516129,1319.1940919037195,24.166263440860217,19.86774193548387,77.7486559139785,2.5516129032258066,2008
Santa Catarina,2008-02,3.3510204081632655,1012.2979885057472,1512.6524421593836,24.424425287356318,20.2816091954023,78.68103448275862,2.1580459770114944,2008
Santa Catarina,2008-03,2.345238095238095,1013.3018145161291,1352.1054862842873,24.030779569892474,19.96760752688172,78.9260752688172,2.05880376344086,2008
Santa Catarina,2008-04,2.7024390243902423,1012.6479166666667,1125.3548746518115,21.426944444444445,17.185694444444444,78.17222222222222,1.8152777777777778,2008
Santa Catarina,2008-05,1.9641025641025651,1016.4782258064516,1142.5657303370783,18.76989247311828,14.357795698924733,77.01948924731182,1.7454973118279573,2008
Santa Catarina,2008-06,1.077941176470591,1018.7550694444445,936.2250755287013,16.256736111111113,12.389444444444443,79.40763888888888,1.5743055555555552,2008
Santa Catarina,2008-07,0.6777777777777777,1019.9239919354839,1054.2719298245606,18.293951612903225,14.766801075268818,81.00201612903226,1.8185483870967742,2008
Santa Catarina,2008-08,0.8970588235294121,1017.5424731182795,956.2211538461534,18.100806451612904,14.356182795698924,79.79301075268818,2.3625000000000003,2008
Santa Catarina,2008-09,1.9040650406504063,1018.7965277777778,1095.2111111111112,17.648333333333333,13.367291666666668,77.27847222222222,2.431736111111111,2008
