Ano,São Paulo - Consumo de Cimento (t)
2014,12886.038802180885
2015,11567.240506972814
2016,10720.896592360552
2017,10463.116711227713
2018,10502.711676134753
2019,10895.725229875528
2020,11454.689977502032
2021,11805.901403219123
2022,11924.034022946462
