Ano,São Paulo - Produção de Cimento (t)
2014,8264.30955555374
2015,7069.7113229549595
2016,6155.2358709471755
2017,5693.780427951802
2018,5550.6996052992245
2019,5770.714253985881
2020,6097.048580700452
2021,6203.315350780873
2022,6190.942190869374
