Ano,Goiás - Desemprego
2014,9.015756134399709
2015,9.398110721219348
2016,9.378449585105221
2017,8.980786191801322
2018,8.919908209741124
2019,8.947166788754863
2020,8.745409754064708
2021,8.54384469894326
2022,8.559722569305329
