Ano,Rio De eiro-01 - Consumo de Cimento (t)
2014,4032.1972431879144
2015,3430.839264438108
2016,2914.0001583584562
2017,2708.5318763791392
2018,2726.0126118335866
2019,2798.7117710347106
2020,2810.3197356542137
2021,2767.098316192747
2022,2759.9304848548436
