Ano,Rio Grande do Norte - IDH Longevidade
2014,0.8203422595433502
2015,0.8358286819396615
2016,0.8354494712069037
2017,0.8346721504075312
2018,0.8334605277173068
2019,0.8318660302370621
2020,0.829762942076795
2021,0.8274686640837762
2022,0.828238542636847
