,Rondônia - IDH Renda,Rio Grande do Norte- custo m2 (R$),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Rondônia - IDH Longevidade,Rondônia - IDH Educacao,Rondônia - Produção de Cimento (t),Rondônia - Depósito Poupança (R$),Rondônia - IDH,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado,Rondônia - Consumo de Cimento (t),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Rondônia - Desemprego
2016-11,0.6930465363481144,21701.93531254052,2.647031734985722,994.6835400733322,1291.2766694460986,26.252180699996053,22.227256430049408,80.47672171160194,1.367344231949351,0.7582758341154161,0.6953653996211262,19.67309378982345,1852204.0273417432,0.7149031784339157,25154843.461234912,1453881.5151195517,11.831289985671388,19339155.734721307,38.016415261908406,3111067.868641125,7802005.247088698,326.9734003768556,10587512.611494165,0.3923024529656499,3.7392056894335934,0.4114160891944031,0.3907469610472366,-2953.9693584836964,2.086506575082691,193.39165227367104,198103710.1228366,407.8917355912226,1.1479049091605034,7.342360022299518
2016-12,0.6930750330829604,21816.61079536064,2.801929917144105,993.9037250040057,1230.742374645825,26.11067952534476,22.357093351676163,81.52402542316761,1.371594944220077,0.7581791850598909,0.6953961418719793,19.62539165862484,1856558.754495972,0.714902496591901,25162793.77658984,1454266.3730281373,11.833242454151764,19341433.998274807,32.773999999999944,3102944.3501696377,7800310.290324205,318.270666236674,10898685.552629258,0.377390938464421,3.733037971414247,0.4077513114353103,0.3851019690388544,-2879.5516234189686,2.094478154479812,193.5750336787663,198178277.90311152,408.9675448006736,1.0441767846983232,7.312228743136168
2017-1,0.6931035298178062,21922.66673657804,2.7968091247847937,993.3919951797968,1232.6174342239703,26.062561186564352,22.475427856312653,82.20147910715092,1.361762738766334,0.7580825360043657,0.6954268841228323,19.569082528190943,1860913.4816502,0.7149018147498863,25170744.091944773,1454651.2309367226,11.835194922632144,19343712.261828307,29.715,3094724.2437621527,7798615.333559711,310.5255902176114,10787624.167112684,0.3569248836113066,3.7604487321695688,0.4075350767989002,0.3803888051781477,-5075.622232112225,2.0938758344390687,193.7584150838615,198252845.68338645,410.4402424193167,0.7621157752691586,7.282097463972818
2017-2,0.6931573444376381,22031.451627630177,2.7260914279356774,993.2136680039632,1230.212519233952,26.132373378315474,22.640052925139976,82.57477925722118,1.3371665543756523,0.7579543733983382,0.6953998150631567,19.45821261505089,1872022.3120347424,0.7148556163767794,25164900.56032221,1455420.7427176377,11.834732847649988,19340430.853294764,29.662,3090715.1187863583,7796393.517478655,302.20879774745333,10303707.629504388,0.3681934792243305,3.8046973407167632,0.3978047684696698,0.3762996326553245,-4201.060854040392,2.101650850838241,194.246306164024,198326864.97537887,411.37069898708864,0.8016855852337811,7.271270939835558
2017-3,0.6932111590574699,22141.430767310085,2.34474159511035,994.0318793069788,1270.054434799588,26.18280552397108,22.437566228293512,81.56721009707154,1.309943042613423,0.7578262107923106,0.6953727460034812,19.33887920831339,1883131.142419285,0.7148094180036725,25159057.028699644,1456190.254498553,11.834270772667834,19337149.444761217,31.408,3087179.2725097025,7794171.701397599,294.5570417235589,10201749.845553417,0.3837494708257729,3.8770292145772665,0.3875997638487952,0.3800045315218657,-4604.7344280517855,2.113289173700002,194.7341972441864,198400884.26737133,412.2787251985624,0.8150651151170567,7.260444415698298
2017-4,0.6932649736773018,22247.11106954649,2.121597958233179,995.8599470242488,1391.47611174158,26.674593642672843,21.477217339859266,76.38448413002436,1.3727509751167597,0.7576980481862831,0.6953456769438057,19.15119938109709,1894239.9728038276,0.7147632196305655,25153213.49707708,1456959.7662794683,11.83380869768568,19333868.036227677,29.484,3085621.878259212,7791949.885316542,289.16499067525854,10038719.54485756,0.4054428465788985,3.876345311058806,0.3886971443037969,0.3821056011581457,-5041.93583143556,2.127631534792117,195.22208832434885,198474903.55936372,413.2020439855629,0.7925222034658698,7.249617891561038
2017-5,0.6933187882971337,22354.80556598684,2.3141854189305646,997.3120966232632,1428.1636374586046,27.3833555175412,20.814497662672867,71.47765453989257,1.4644472476280226,0.7575698855802555,0.6953186078841301,19.074052926616623,1905348.80318837,0.7147170212574586,25147369.96545452,1457729.2780603834,11.833346622703525,19330586.62769413,33.601,3081133.230153783,7789728.069235486,285.1166009403658,10042384.529008197,0.435891393897483,3.842674905127215,0.3866356488127153,0.3779774472025649,-4656.590400431132,2.144624778414481,195.5819053334755,198548922.8513562,414.11208057407765,0.6561728681094356,7.238791367423778
2017-6,0.6933726029169656,22460.971619014857,2.735878160652471,998.6203386021594,1460.666024139384,27.70911218259188,20.30418344443,68.33868357412982,1.5056687982769787,0.757441722974228,0.6952915388244546,18.918865750234616,1916457.6335729123,0.7146708228843517,25141526.43383196,1458498.7898412985,11.83288454772137,19327305.219160583,36.905,3077159.621682599,7787506.25315443,281.4051665918031,10051859.955499152,0.4573226001100615,3.767804043237205,0.388570077523086,0.3679963198646961,-5068.400972271061,2.162820271284532,195.9417223426022,198622942.14334863,415.0454864574057,1.0279727308864324,7.227964843286518
2017-7,0.6934264175367975,22565.64564965078,2.6795293933464563,999.065069675489,1489.0479803903252,28.05766336058079,20.162717132390977,66.49319404890817,1.5825322702842148,0.7573135603682004,0.6952644697647792,18.878758169305893,1927566.463957455,0.7146246245112449,25135682.902209397,1459268.3016222138,11.832422472739216,19324023.81062704,36.094,3070152.5703672767,7785284.437073373,278.4186121630757,10019899.67831547,0.4758652393700967,3.720095789672884,0.3783354712469384,0.3728976057660844,-5595.499878102875,2.1827530258841654,196.30153935172885,198696961.4353411,415.9493894573252,0.6597887866917255,7.217138319149258
2017-8,0.6934802321566292,22667.876930965867,2.8849370598342063,998.1377597130707,1426.1487729852463,27.866873183462783,20.937176747754343,69.77535861881645,1.5548737749562311,0.757185397762173,0.6952374007051036,18.811820680548404,1938675.2943419972,0.7145784261381379,25129839.370586827,1460037.813403129,11.831960397757062,19320742.402093496,42.556,3068648.238409975,7783062.620992317,273.65548150898854,10017351.157342926,0.4715205842663207,3.6835799665820175,0.3781503578714068,0.366903937105431,-5783.316459502323,2.20699398468004,196.77835465072275,198770980.72733355,416.8596921654043,0.5839846844524282,7.206311795011999
2017-9,0.6935340467764611,22768.661518582223,2.75461430464431,997.2068488194628,1381.3845660659397,27.297460890799435,21.458848923992072,73.58259416870321,1.5188330805639327,0.7570572351561454,0.6952103316454281,18.68972331785888,1949784.12472654,0.714532227765031,25123995.838964265,1460807.3251840442,11.831498322774909,19317460.99355995,41.193,3070265.1617554505,7780840.8049112605,269.1317365216349,9868982.85165768,0.4768271180048898,3.63473515125098,0.3776661110809737,0.3589351548715466,-6001.730740495946,2.2153275867555475,197.25516994971665,198845000.019326,417.7488866438711,0.7533115542772516,7.195485270874738
2017-10,0.693587861396293,22873.012843041863,2.4889068442694056,995.917451789574,1343.3373750985922,26.98199841747117,21.78057020857877,75.91745774058543,1.5463598136709784,0.7569290725501179,0.6951832625857526,18.54272076495465,1960892.9551110824,0.7144860293919241,25118152.307341702,1461576.8369649593,11.831036247792753,19314179.58502641,37.053,3078615.0800330853,7778618.988830204,265.8639578768808,10255204.95025612,0.4754272182499585,3.5456630235666,0.3778377185871009,0.3543133490207389,-6454.887704474953,2.232466347059879,197.7319852487105,198919019.3113184,418.60118895971806,0.8823428859514654,7.184658746737479
2017-11,0.6936416760161248,22977.83060439871,2.6493166288386467,994.6900092849152,1255.740521618653,26.63211601063238,22.107306653081345,78.46033999059243,1.5640328673784136,0.7568009099440903,0.695156193526077,18.33663217052205,1972001.785495625,0.7144398310188171,25112308.775719136,1462346.3487458746,11.830574172810598,19310898.176492862,33.527,3083098.648357707,7776397.172749148,263.74104137674,10736350.990006758,0.491301237991556,3.476079634963516,0.370057443718766,0.3527279000225793,-6243.191420924375,2.263185047283645,198.21171178898325,198993038.60331085,419.4300696779516,1.0041735701218284,7.173832222600219
2017-12,0.6936954906359567,23081.86993078121,2.7531124121705006,993.9606477926184,1226.7758012383522,26.37180667821064,22.265365725578132,80.05898812306837,1.5726857791990945,0.7566727473380628,0.6951291244664015,18.132828399035105,1983110.615880168,0.7143936326457102,25106465.244096573,1463115.86052679,11.830112097828444,19307616.767959315,25.616,3084455.3456781586,7774175.356668091,262.0303069697644,10905729.964166576,0.5118095547455561,3.422348531706023,0.3656492538346034,0.3672792049521601,-5909.074373680363,2.284012403287865,198.691438329256,199067057.8953033,420.14927894675606,0.6040080269231933,7.163005698462959
2018-1,0.6937493052557886,23175.51140552715,2.8318533092518163,993.5561527406528,1223.6773567999255,26.23748190846548,22.376871454017724,80.9810254570509,1.539657695696386,0.7565445847320352,0.695102055406726,17.96611544770277,1994219.44626471,0.7143474342726033,25100621.71247401,1463885.372307705,11.82965002284629,19304335.35942577,25.221,3083445.1988071734,7771953.540587035,260.5342595002991,10591953.536246669,0.5005214276758065,3.407685633333908,0.3696733376163027,0.359951630964679,-7507.112082157307,2.294901938999484,199.17116486952867,199141077.18729573,421.26177274279706,0.4798858738803947,7.152179174325699
2018-2,0.6937549818107567,23259.81807254703,2.7264868237488664,993.8992198504072,1223.7470215739309,26.140972637593705,22.42897362886538,81.5400297544876,1.5022371166308912,0.7563820437072779,0.6950270709779891,17.832951459368214,1991896.9626488285,0.7142288542292139,25087720.466826573,1465287.3632831555,11.827905714469154,19300895.74464954,23.321,3088099.5088970666,7769100.068513057,259.032492011999,10061031.180200648,0.4906301391980058,3.374006833007986,0.3678170211034027,0.3566771125869745,-6365.607522997055,2.2942193420185,199.8725029340304,199211473.5675211,422.2426077364675,0.6233855032154204,7.139852136823789
2018-3,0.6937606583657248,23345.176132274275,2.3670564291083998,995.2888570958528,1275.1268455141628,25.912251933334375,22.013612823557008,80.81216317793609,1.4477244103929314,0.7562195026825206,0.6949520865492521,17.652258166624534,1989574.4790329468,0.7141102741858245,25074819.22117913,1466689.3542586055,11.82616140609202,19297456.129873306,23.927,3097484.541540848,7766246.596439078,257.24728226857326,9913724.971357465,0.5232126003004083,3.338338493268379,0.3683207687170368,0.3495024706940896,-6480.507442523628,2.2880364237022737,200.5738409985321,199281869.9477465,423.1636874509773,0.5637820432387992,7.127525099321879
2018-4,0.6937663349206928,23429.651002722112,3.4408631033427715,996.9485918127048,1356.1514772585083,26.184137934765463,21.206050023041144,76.89794160260838,1.4688126322740636,0.7560569616577633,0.6948771021205152,17.572593328896033,1987251.995417065,0.7139916941424351,25061917.975531697,1468091.3452340562,11.824417097714884,19294016.515097074,24.561,3109183.610087583,7763393.124365101,256.48358934037594,9759929.249245623,0.515815979242938,3.2744690652552726,0.3659433206644214,0.3395277178203111,-5470.865705466022,2.2785452626718063,201.27517906303385,199352266.32797185,424.02836190752186,0.5678789637407077,7.115198061819969
2018-5,0.6937720114756609,23510.818226132065,3.732626407260528,998.7369633783828,1429.7130819865365,26.393614781328544,20.67805078465108,74.03154739093942,1.4924847916725124,0.755894420633006,0.6948021176917784,17.57288759400872,1984929.5118011837,0.7138731140990459,25049016.729884263,1469493.3362095065,11.82267278933775,19290576.900320843,20.135,3119509.8303256864,7760539.652291123,256.5975200727647,9718317.43232662,0.52140209156142,3.1945615117047303,0.3622852915238501,0.3254327923342447,-3673.4527105981465,2.263363965667075,201.74938937140732,199422662.70819715,424.8958664057337,0.5499766318428432,7.10287102431806
2018-6,0.693777688030629,23591.167338262527,4.19081392212333,999.8903622233933,1507.6574982440688,26.723733653884626,20.225334784376734,70.95916306967474,1.5251725035704198,0.7557318796082487,0.6947271332630414,17.569477061209465,1982607.0281853017,0.7137545340556565,25036115.484236825,1470895.327184957,11.820928480960614,19287137.28554461,34.837,3133657.088082654,7757686.180217145,259.9138036207247,9737284.14108045,0.5229599052733115,3.1138061153920007,0.3628244523982531,0.3206049076093145,-748.3523814090865,2.2443322394271,202.22359967978093,199493059.0884225,425.7830193027553,0.5006727306113294,7.09054398681615
2018-7,0.6937833645855971,23672.81362462123,4.726316693234307,1000.1511983521336,1523.623561266601,27.19232083043493,20.431273672355516,69.9420178436846,1.5241632765017976,0.7555693385834914,0.6946521488343045,17.825449278740994,1980284.54456942,0.7136359540122671,25023214.238589387,1472297.3181604072,11.81918417258348,19283697.67076838,34.338,3147112.783681668,7754832.708143167,264.5673977783114,9674544.562883414,0.5428312509061592,3.081673525419346,0.3648945585252806,0.3000532519420144,680.1816531338795,2.2152710819180843,202.6978099881545,199563455.46864787,426.7837260619375,0.5435288427486608,7.07821694931424
2018-8,0.6937890411405652,23753.315235846425,3.7879451983539463,1000.0938225677456,1470.1252627829097,27.102021364626637,21.09347431900288,72.51904119144872,1.5007465128094108,0.7554067975587341,0.6945771644055676,18.179924808824342,1977962.0609535384,0.7135173739688777,25010312.99294195,1473699.3091358575,11.817439864206346,19280258.055992145,39.293,3161173.374352864,7751979.236069188,267.07747396933985,9671877.616336772,0.6161288722138691,3.0650959281622696,0.3657658514233124,0.2957038398442303,2763.919661232488,2.182490373260064,203.19788546332487,199633851.84887323,427.8010992018258,0.5845201125904662,7.06588991181233
2018-9,0.6937947176955332,23837.755558621782,3.6539336913767215,1000.060321311814,1401.9019951824134,26.9795919927578,21.481633048863337,74.46921951727673,1.5059270147024957,0.7552442565339768,0.6945021799768306,18.294496225247563,1975639.5773376569,0.7133987939254883,24997411.74729451,1475101.3001113082,11.81569555582921,19276818.441215917,41.61,3175922.8316069064,7749125.763995211,271.8585814809284,9603900.901068036,0.6740366051135752,3.039353890716323,0.3852201759804345,0.308341137605073,4007.361037620176,2.152733596601701,203.69796093849527,199704248.2290986,428.7453804921202,0.5529765291983869,7.05356287431042
2018-10,0.6938003942505013,23926.57445822687,3.3451598543528887,1000.2949852061662,1317.4367745407803,26.700380255197956,21.922271344199626,77.28798846191623,1.5042734092779433,0.7550817155092195,0.6944271955480937,18.623960427888647,1973317.093721775,0.7132802138820991,24984510.50164708,1476503.2910867585,11.813951247452074,19273378.82643968,43.544,3198368.2411919544,7746272.291921233,274.51283304792724,10174872.283226963,0.7177542561347128,2.996889963775719,0.4151525802856482,0.3141753154888939,4174.914508493512,2.10797519196202,204.19803641366565,199774644.60932392,429.6253872306468,0.4991076724216306,7.041235836808511
2018-11,0.6938060708054694,24017.47534747285,3.385843901076281,1000.5258523319012,1269.6103248021948,26.46997026738157,22.170551212395917,79.15668812671079,1.4088073288384593,0.7549191744844622,0.6943522111193569,18.611640309360983,1970994.610105893,0.7131616338387097,24971609.25599964,1477905.282062209,11.81220693907494,19269939.211663447,35.658,3217793.214559772,7743418.819847254,274.9274765390835,10893441.955257,0.7723522886923776,2.9632487708984088,0.4341143590809063,0.3212989509448,5007.894545671494,2.054724183351228,204.5347725127917,199845040.98954928,430.42970092860713,0.5578540476393075,7.028908799306601
2018-12,0.6938117473604375,24113.29718492045,3.384755085175036,1000.8714882403494,1243.416766136319,26.316155108072103,22.362804196654317,80.55908686963865,1.2756533184299106,0.7547566334597049,0.6942772266906199,18.63465146282093,1968672.126490012,0.7130430537953203,24958708.0103522,1479307.2730376592,11.810462630697806,19266499.596887216,29.693,3233139.491150345,7740565.347773276,275.2862133078289,11294362.972876793,0.8188839179929231,2.938027746934826,0.4462102421398145,0.3517183793100564,6196.877278409354,2.0126469916832392,204.87150861191773,199915437.36977464,431.1147626085431,0.4970230904665642,7.016581761804691
2019-1,0.6938174239154056,24222.66037654412,3.0339294757082227,1000.9441843863104,1231.6822916505257,26.286661308365343,22.575552788683847,81.554445544144,1.1158369532173908,0.7545940924349476,0.694202242261883,18.655044520049422,1966349.64287413,0.7129244737519309,24945806.764704764,1480709.2640131095,11.80871832232067,19263059.982110985,32.559,3241680.9411420235,7737711.875699298,275.0773407155792,11053032.574638758,0.8964654073710557,2.950255303566647,0.4625053223582739,0.3530778978870197,4628.979909058911,1.984242274075146,205.2082447110438,199985833.75,432.3118860904052,0.4536031596049339,7.004254724302781
2019-2,0.6936948286420375,24333.790450829143,2.685026410586473,1001.007952471953,1225.5069510326227,26.29247795651369,22.66617133605257,81.89915446679713,0.9450042490489864,0.7543940476806669,0.6941052895517458,18.67322741784245,2000227.0618542791,0.712795113704597,24922413.049813543,1482179.6873407585,11.806736111087742,19257993.586597305,24.91,3253557.2864584737,7733993.9752234975,272.34344383498,10560449.228493111,0.9613539894886018,2.9616566101002944,0.492198592675812,0.363540940595364,5916.697911939956,1.962208936108535,205.6027092868512,200071297.0347222,433.0971481604692,0.374744071408169,6.989783808627968
2019-3,0.6935722333686694,24451.87879415973,2.2094406507618105,1001.3336719930942,1240.5473613638374,26.332382683079043,22.559118485237075,81.35247165370289,0.8766420743851839,0.7541940029263862,0.6940083368416085,18.780860373001463,2034104.4808344285,0.7126657536572631,24899019.33492233,1483650.1106684066,11.804753899854814,19252927.19108362,28.713,3266404.0455201,7730276.074747696,267.36652869554604,10403101.036288377,0.9922348162286888,2.994382382733388,0.518818874802468,0.3734846407574057,5520.432988796697,1.9416080807058884,205.9971738626585,200156760.31944445,433.8759184279469,0.4956453878114265,6.9753128929531565
2019-4,0.6934496380953011,24577.83752940156,1.858390764834093,1001.6890415614588,1258.8538212599683,26.299447451858835,22.01694448959683,79.4565957472789,0.8196404680930803,0.7539939581721055,0.6939113841314712,18.87996202942367,2067981.8998145773,0.7125363936099294,24875625.62003112,1485120.5339960551,11.802771688621888,19247860.79556994,32.66,3277070.8663957147,7726558.174271896,264.7869950885037,10292765.598772297,1.0281222722573198,2.9952077985667365,0.5335376321688695,0.3643719899254779,5055.185180977277,1.9170839767672327,206.39163843846592,200242223.6041667,434.7112762957004,0.5241803612683422,6.960841977278344
2019-5,0.693327042821933,24714.127661235336,1.5146898685772934,1002.1488304257016,1291.2824286782882,26.34345082310036,21.167615014202426,76.18599918131609,0.7773266845038931,0.7537939134178248,0.693814431421334,19.136957185511967,2101859.318794727,0.7124070335625955,24852231.9051399,1486590.9573237037,11.80078947738896,19242794.40005626,31.635,3286496.9823831627,7722840.273796095,261.54480006258126,10294781.632050132,1.0918504238017774,3.0099180362600246,0.5740445809008098,0.3693162019411377,5539.336630210192,1.896664638848358,206.56086067824955,200327686.8888889,435.536470990692,0.4342481224547813,6.946371061603531
2019-6,0.6932044475485649,24865.37709175061,1.2152686988773511,1002.1207012393708,1345.8835915485931,26.55800480660147,20.78393492521308,73.84089788861297,0.7533727467117368,0.753593868663544,0.6937174787111967,19.363751149979223,2135736.737774876,0.7122776735152616,24828838.190248683,1488061.380651352,11.79880726615603,19237728.004542574,35.142,3298874.5697557754,7719122.373320294,258.6848612508291,10320775.962706486,1.0993189754324773,3.0110251669653523,0.6213386407393423,0.3773027071398842,6184.950447162058,1.8758899421225184,206.7300829180331,200413150.1736111,436.38480939825865,0.4742948418610756,6.93190014592872
2019-7,0.6930818522751967,25026.94761160236,1.0572538458536656,1001.6641260523307,1366.5324393010667,26.479184951231662,20.620714257908052,73.27218100153662,0.7357628427583872,0.7533938239092633,0.6936205260010595,19.70599370915768,2169614.156755025,0.7121483134679277,24805444.47535747,1489531.8039790003,11.796825054923104,19232661.6090289,36.419,3316673.310427788,7715404.472844493,257.61365642366474,10358945.135041324,1.129155636153343,3.036188640645076,0.6254767746825313,0.3968803885128472,6076.306190415794,1.8584015680579875,206.8993051578167,200498613.4583333,437.180627179316,0.5475632504322174,6.917429230253907
2019-8,0.6929592570018286,25198.273978172805,0.8324896418636611,1001.0574944972634,1382.1555890411046,26.42849844960596,20.871291198695992,74.10317090729079,0.723780324853431,0.7531937791549826,0.6935235732909223,19.90132504670568,2203491.575735174,0.7120189534205938,24782050.76046625,1491002.227306649,11.794842843690176,19227595.21351522,40.3,3339532.9760367125,7711686.572368692,256.8610697803875,10386654.273111563,1.1398350320060624,3.0354427615220856,0.6280714951608086,0.4112473840791077,6518.883661201889,1.8368841913676568,207.0924704880485,200584076.7430556,437.9061352905134,0.5163942009297142,6.902958314579094
