,Espírito Santo - Desemprego,Espírito Santo - IDH,Espírito Santo - IDH Educacao,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Espírito Santo - Consumo de Cimento (t),Espírito Santo - IDH Longevidade,Espírito Santo - IDH Renda,Espírito Santo- custo m2 (R$),Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado,Espírito Santo - Produção de Cimento (t),Espírito Santo - Depósito Poupança (R$),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Espírito Santo - value
2003-1,8.177444435699833,0.760059213077231,0.6980316182050477,1.6379862780161063,1014.8863256853316,1430.2876761222744,24.394984494326422,19.768291225462708,76.99551730658592,2.181754593822302,48.426,0.8405239654463276,0.7576150617829054,10264.6864,63425371.885078445,3523986.8995798714,16.79930798970507,59482492.51264176,98.17124,4069228.56726218,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968,0.2684448715951248
2003-2,8.171621901499169,0.7602220084780456,0.6982947955540466,1.6384860971685162,1014.8899365088316,1430.121567043832,24.39423041591804,19.767195975227565,76.99412698204898,2.1806482812283114,54.969,0.8409766332206765,0.7574160267349231,10362.759476923076,63508342.58148637,3527412.431264186,16.80739781920793,59519490.314623095,97.89731692307691,4094341.211412235,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918,0.2705115545462301
2003-3,8.165799367298504,0.7603848038788601,0.6985579729030457,1.6387776583407552,1014.89204282254,1430.0246700814075,24.39379053684648,19.766557079257066,76.99331595940245,2.18000293221515,53.847,0.8414293009950253,0.7572169916869409,10458.009106552709,63591313.2778943,3530837.9629485,16.815487648710793,59556488.11660443,98.07053914529916,4119453.85556229,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264,0.2719413600532428
2003-4,8.159976833097842,0.7605475992796746,0.6988211502520446,1.6388088970377808,1014.8922684990088,1430.014288264005,24.39374340694596,19.766488626117365,76.99322906411888,2.1799337876780256,50.375,0.8418819687693742,0.7570179566389585,10551.050535124134,63674283.97430223,3534263.494632814,16.823577478213657,59593485.91858578,98.46078914529916,4144566.499712345,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468,0.2733208658231089
2003-5,8.154154298897177,0.7607103946804892,0.6990843276010436,1.6553405830918624,1014.8074066625064,1434.1317718855098,24.464335345191778,19.846792757019035,77.04197681586386,2.180095580558248,52.576,0.8423346365437231,0.7568189215909763,10642.401914434482,63757254.67071016,3537689.0263171284,16.83166730771652,59630483.72056712,99.08413397288535,4169679.1438624,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032,0.274452875136567
2003-6,8.148331764696513,0.7608731900813037,0.6993475049500426,1.6724211071132824,1014.712958495724,1439.4712877934835,24.54301678519676,19.93571587503526,77.09438819104189,2.179754870993872,51.603,0.842787304318072,0.7566198865429941,10734.939581101147,63840225.36711809,3541114.558001443,16.83975713721938,59667481.52254845,99.37773397288538,4194791.788012455,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904,0.2749320971086862
2003-7,8.14250923049585,0.7610359854821183,0.6996106822990416,1.694039080278499,1014.5915976031388,1446.4492459828905,24.643982246318227,20.049780310376367,77.16155531528949,2.179325017048466,57.26,0.8432399720924209,0.7564208514950117,10810.037645617276,63923196.06352602,3544540.089685757,16.847846966722244,59704479.3245298,100.35947590836923,4219904.43216251,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383,0.2759694718677873
2003-8,8.136686696295186,0.7611987808829327,0.6998738596480405,1.7198229652753203,1014.4454907085576,1454.9384157465056,24.765492553267347,20.18703598178383,77.24239566419254,2.178792428712654,54.309,0.8436926398667697,0.7562218164470295,10882.506708117277,64006166.75993394,3547965.6213700715,16.855936796225105,59741477.126511134,100.78494465836924,4245017.076312565,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182,0.2756741350393389
2003-9,8.130864162094522,0.7613615762837472,0.7001370369970396,1.7494012247915551,1014.2768045357888,1464.8115663771025,24.905808530755312,20.345532807999128,77.33582671333694,2.178143515977058,56.559,0.8441453076411186,0.7560227813990472,10953.063374783942,64089137.45634187,3551391.153054386,16.864026625727966,59778474.92849247,100.92609617352072,4270129.72046262,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797,0.2751085702952285
2003-10,8.125041627893857,0.7615243716845618,0.7004002143460385,1.7824023215150109,1014.0877058086392,1475.9414671674558,25.0631910034933,20.523320707763737,77.44076593830856,2.1773646888323,55.945,0.8445979754154676,0.755823746351065,11017.403963019236,64172108.1527498,3554816.6847387003,16.872116455230827,59815472.73047381,101.3878314676384,4295242.364612675,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887,0.274467079779394
2003-11,8.119219093693193,0.7616871670853763,0.7006633916950374,1.8184547181334965,1013.8803612509168,1488.2008874103394,25.2359007961925,20.718449599819145,77.55613081469329,2.1764423572690035,51.371,0.8450506431898164,0.7556247113030827,11079.505963019235,64255078.84915773,3558242.216423014,16.88020628473369,59852470.53245515,101.41434575335268,4320355.00876273,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617,0.2741602723979894
