,Sergipe- custo m2 (R$),Sergipe - IDH Educacao,Sergipe - IDH,Sergipe - Depósito Poupança (R$),Sergipe - IDH Longevidade,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Sergipe - value,Sergipe - Produção de Cimento (t),Sergipe - Consumo de Cimento (t),Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - IDH Renda,Sergipe - Desemprego,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,9513.2548,0.5993187375846019,0.6692166755851026,1618044.93186782,0.7503791139880304,1.1543401150373636,1013.0902986841836,2716.496978709073,26.501337005319947,23.8898413846282,80.36659695276872,3.55274558685396,0.3394465744328312,152.79139999999998,23.616,21597319.77433002,1260978.4155712095,9.960678449257069,20296420.93570137,0.6481208846746535,8.389943455815388,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,9606.19903076923,0.5997160510877303,0.6695422823494777,1622415.9077217383,0.7507928402482237,1.155151772595239,1013.092341240843,2716.496978709073,26.5021254286155,23.87933613824898,80.33471143161437,3.551254067545041,0.3412565698336461,151.96405384615386,21.357,21621529.070432056,1262133.5738742463,9.96195630396772,20302377.830214508,0.6483769483372376,8.38406672399717,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,9693.715697435897,0.6001133645908587,0.6698678891138528,1626786.8835756567,0.751206566508417,1.1556252395039996,1013.0935327322276,2716.496978709073,26.50258534220457,23.8732080778611,80.31611154427434,3.550384014614837,0.3430157185042387,154.46775754985757,20.059,21645738.36653409,1263288.732177283,9.963234158678372,20308334.72472765,0.6486330119998217,8.378189992178955,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,9777.797840293042,0.6005106780939871,0.6701934958782279,1631157.859429575,0.7516202927686103,1.1556759681013669,1013.0936603920188,2716.496978709073,26.502634618660537,23.8725514999624,80.3141186992022,3.5502907946580304,0.3447222422960111,155.9134004070004,19.92,21669947.662636127,1264443.890480319,9.964512013389022,20314291.61924078,0.6488890756624058,8.372313260360738,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,9852.699219603386,0.6009079915971155,0.6705191026426028,1635528.8352834934,0.7520340190288036,1.1951565908983803,1012.7975430600326,2575.798720233972,26.636933868091997,23.787977029250477,79.8462914836999,3.554977400816516,0.3461744930944994,157.4671590276901,19.962,21694156.958738163,1265599.0487833556,9.965789868099677,20320248.51375392,0.64914513932499,8.36643652854252,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,9924.706219603386,0.6013053051002439,0.6708447094069779,1639899.8111374115,0.7524477452889969,1.2319347304728074,1012.5419433387908,2432.4416730875123,26.76678355619873,23.69902680939737,79.35521503096602,3.5517554790314536,0.3475707925367937,156.62725902769003,16.202,21718366.2548402,1266754.2070863922,9.967067722810327,20326205.40826705,0.6494012029875741,8.360559796724305,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,9995.854284119514,0.6017026186033724,0.671170316171353,1644270.78699133,0.7528614715491901,1.2759073076681997,1012.269576311316,2261.6567197907984,26.910108194393388,23.583632589439105,78.76673259355483,3.543245988204544,0.3489135949262786,155.93809773736749,20.057,21742575.550942235,1267909.3653894286,9.968345577520978,20332162.30278019,0.6496572666501583,8.354683064906087,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,10061.894909119514,0.6020999321065008,0.6714959229357281,1648641.7628452482,0.7532751978093835,1.3251643891825045,1012.01061608177,2072.6815673416004,27.05294664079662,23.44181844886892,78.1096288719943,3.5276977823555478,0.3502013269448757,156.07594148736746,19.484,21766784.847044267,1269064.523692465,9.969623432231629,20338119.197293326,0.6499133303127425,8.34880633308787,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,10125.700060634666,0.6024972456096293,0.6718215297001032,1653012.7386991666,0.7536889240695768,1.377796041713669,1011.7952367543152,1874.753922737687,27.18133775352908,23.27360846718006,77.41268856681234,3.503359715504222,0.3514323890976205,156.0785172449432,21.679,21790994.143146303,1270219.6819955015,9.97090128694228,20344076.091806464,0.6501693939753266,8.342929601269654,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,10187.009472399372,0.6028945591127577,0.6721471364644782,1657383.714553085,0.7541026503297701,1.4318923319596402,1011.6536124331138,1677.111492976829,27.28132039071143,23.07902672386578,76.70469637853687,3.4684806416703284,0.3526094054918692,156.40257606847263,20.556,21815203.43924834,1271374.840298538,9.972179141652934,20350032.9863196,0.6504254576379107,8.337052869451437,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
