Ano,Ceará - PIB - Estadual,Ceará - PIB - Construção Civil,Ceará - PIB - Per Capita,Ceará - PIB - Preços de Mercado
1985,0.008189181,2593533.02567211,4.9884487498,28823451.4261012
1986,0.02214188,3610337.96499029,5.4917267235,32282538.9125037
1987,0.064582446,2908860.97767369,5.4101025588,32337908.8164139
1988,0.474176948,4003192.57748349,5.0705604652,30799567.9541618
1989,6.55462169,4354133.64674803,4.6275898427,29171928.3958164
1990,187.0200214,3273599.26840957,5.0900604617,32558210.3489925
1991,1103.797982,4338623.65439144,5.3126551561,34462274.9081082
1992,11750.97675,4804806.50181197,5.513377769,36477692.6959924
1993,256992.4611,7692309.03075,5.7601409702,38718642.2963721
1994,6583971.088,7566300.39379659,6.3225332816,43159881.9697345
1995,13740241.69,6726663.13104169,6.9424553558,48110556.0825916
1996,17149445.2,7121803.8154728,7.0754424101,49761388.3574985
1997,18537642.82,9579724.83575196,7.1261578509,50850153.0810016
1998,19219949.45,10473237.9904286,6.9706269201,50468956.0868186
1999,20733661.55,8676308.43028568,6.8808593641,50797634.6171356
2000,22607131.41,7175411.69181355,7.0811125819,53104704.6723323
2001,24532751.18,6441204.27150153,6.8740162257,52361072.5988458
2002,25041258.6581625,3420858.68200958,6.2148811961,47572025.6363597
2003,28603763.4159341,2412056.6019938,6.1389307854,47628532.3013107
2004,32199600.0657344,2732332.67899123,6.2381112337,49758687.2563134
2005,36098252.7510354,2544182.25522236,6.4126147329,51924711.3738117
2006,40431514.2616069,2784261.39480396,6.6286259037,54467982.484135
2007,44289815.1744055,2963109.56172557,6.7323191461,56056271.6277034
2008,52636041.8233817,3034907.8908179,7.2473033997,61243540.3037758
2009,58976208.4819395,3756353.97543812,7.4807443709,63943974.0601072
2010,69178379.551123,4727354.53573715,8.0723578805,69178379.551123
2011,78347417.0030112,5224902.14158869,8.4793927855,72330534.7661254
2012,84076396.7521467,5658434.03798085,8.3555394711,71907814.466093
2013,94869897.8582155,5498766.69153699,8.5976439032,75475070.4247842
2014,110778790.645171,5814013.88853749,9.2413507337,81719333.095983
2015,114643469.984454,6382918.90724481,8.8294622166,78621584.299441
2016,121800203.293605,5410117.86938993,8.6201492817,77268113.1709953
2017,130110016.164848,3564322.31935522,8.8291299889,79616691.5051616
2018,137104522.959445,3881047.75716844,8.9530467515,80288946.3901565
2019,143128237.735515,3404827.79763019,8.9181623867,80419336.4364263
2020,146158796.454247,3608523.16805014,8.492496844,77129882.4468533
