State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Bahia,2001-01,1.82962962962963,1008.1969086021505,1813.9776674937966,26.275403225806453,21.638440860215052,76.125,1.8547043010752688,2001
Bahia,2001-02,1.3217391304347827,1006.402380952381,1832.1813186813188,27.196279761904766,22.16845238095238,74.57738095238095,1.9311011904761906,2001
Bahia,2001-03,3.096511627906976,1007.1638440860215,1530.3375959079283,26.655241935483872,22.531182795698925,78.62903225806451,1.6209677419354835,2001
Bahia,2001-04,1.7428571428571438,1008.2230555555556,1477.1358974358975,26.418055555555554,21.841388888888886,76.29027777777777,1.7773611111111112,2001
Bahia,2001-05,2.3908045977011487,1008.0983198924731,1185.5211970074813,25.828629032258064,22.258736559139784,81.06720430107526,1.7331989247311828,2001
Bahia,2001-06,1.5588235294117647,1011.3581944444445,1134.178861788618,24.494097222222223,20.459652777777777,78.64166666666667,2.1931249999999998,2001
Bahia,2001-07,1.8533333333333328,1012.0655913978495,1270.3716577540106,23.920564516129033,19.995698924731183,79.09274193548387,2.2541666666666664,2001
Bahia,2001-08,1.1352941176470648,1014.2619623655914,1213.0862944162436,23.510752688172044,19.169220430107526,77.0625,2.7254704301075274,2001
Bahia,2001-09,1.8485436893203917,1010.3521527777779,1408.3624338624338,23.93375,20.319375,80.59236111111112,2.3415972222222226,2001
Bahia,2001-10,2.1272727272727256,1008.8499327956989,1438.9427860696517,24.795698924731184,21.061559139784944,80.22110215053763,2.2982526881720426,2001
Bahia,2001-11,3.257142857142857,1006.9029166666667,1733.1821305841925,26.12972222222223,21.44590277777778,76.08402777777778,1.925138888888891,2001
Bahia,2001-12,2.1584905660377363,1006.8646505376345,1719.0248756218905,26.272110215053765,22.243145161290325,78.99260752688173,2.067876344086022,2001
Bahia,2002-01,2.2841584158415844,1006.7202956989248,1642.0868421052633,26.123924731182797,22.258064516129032,79.86559139784946,1.8549059139784945,2002
Bahia,2002-02,2.757894736842106,1007.4688988095238,1783.1460055096418,26.539732142857144,22.05029761904762,76.88244047619048,1.7446428571428574,2002
Bahia,2002-03,1.3437500000000004,1007.5467741935485,1740.3442211055276,26.905443548387098,22.39032258064516,76.74462365591398,1.709005376344086,2002
Bahia,2002-04,1.216949152542373,1007.2421527777777,1506.908163265306,26.52951388888889,21.995416666666667,76.53472222222223,1.6815277777777777,2002
Bahia,2002-05,3.2499999999999987,1008.9909274193549,1142.303664921466,25.263037634408605,21.162970430107528,78.49596774193549,1.9780241935483869,2002
Bahia,2002-06,1.3638157894736835,1012.0086805555555,1092.7050147492625,24.461875000000003,20.581458333333334,79.40486111111113,1.8791666666666687,2002
Bahia,2002-07,1.989552238805969,1012.3224238351254,1159.8026666666667,23.668279569892473,20.48839605734767,82.75537634408602,1.558064516129032,2002
Bahia,2002-08,1.3177966101694922,1012.7308019713262,1382.2573726541555,23.80557795698925,19.682974910394265,78.07594086021506,2.148123728567279,2002
Bahia,2002-09,2.4600000000000004,1010.4721527777778,1364.948051948052,24.350347222222222,20.742083333333333,80.77916666666667,2.10235548048048,2002
Bahia,2002-10,0.9647058823529411,1009.1858870967743,1896.8777777777777,25.3010752688172,20.503091397849463,75.25336021505376,1.5406989247311829,2002
Bahia,2002-11,0.8406250000000041,1008.5347222222222,1754.5176151761518,26.043333333333333,21.32645833333333,75.87430555555557,2.4535928143712575,2002
Bahia,2002-12,0.6333333333333334,1007.3659274193549,1773.6515151515152,28.025134408602156,21.847782258064512,69.76209677419352,2.850985448457923,2002
Bahia,2003-01,0.2,1006.7105079768584,1789.0338983050847,28.05897469611968,22.503775859046282,72.12463475923329,2.577700590229079,2003
Bahia,2003-02,2.2375,1007.1776518827639,1816.080971659919,27.63656670548654,22.18629577510352,72.58522580227744,2.0060874417701866,2003
Bahia,2003-03,2.3741573033707883,1007.077688172043,1593.595,26.88010752688172,22.9815188172043,79.66263440860214,1.6139398521505388,2003
Bahia,2003-04,2.894117647058824,1007.733125,1427.159383033419,26.686875,22.74986111111111,79.37013888888889,1.0987459136086724,2003
Bahia,2003-05,4.009589041095888,1008.9716397849463,1079.7696078431372,25.406115591397846,22.221370967741937,82.93077956989248,0.8181442589085901,2003
Bahia,2003-06,1.7768656716417897,1010.5871527777778,1126.3821138211383,24.517708333333335,20.89263888888889,80.70902777777778,0.7425374419004991,2003
Bahia,2003-07,1.5076923076923063,1012.9045698924731,1190.5666666666666,23.899596774193547,19.6872311827957,77.73118279569893,0.6669306248924083,2003
Bahia,2003-08,1.4171171171171497,1012.3226478494624,1265.2118863049095,23.68360215053763,20.193817204301077,81.19959677419355,0.5900843518677913,2003
Bahia,2003-09,1.713636363636365,1011.397638888889,1447.1363636363637,24.23969907407407,20.31375,79.1675925925926,0.5144775348597004,2003
Bahia,2003-10,1.971428571428572,1009.4063844086021,1750.5513513513513,25.3521729390681,20.496975806451612,74.95071684587813,0.4388707178516095,2003
Bahia,2003-11,2.0840579710144906,1007.4347916666667,1645.9496221662469,25.811666666666667,21.742083333333333,78.74444444444444,0.36326390084351856,2003
Bahia,2003-12,1.363636363636363,1007.0104838709678,1816.742782152231,28.42318548387097,22.17170698924731,70.10685483870968,1.308726632940728,2003
Bahia,2004-01,2.384496124031005,1005.2439516129032,1387.5844748858447,28.090860215053763,22.039843474572535,72.73692958972325,1.7594086021505377,2004
Bahia,2004-02,3.621739130434782,1006.6540948275862,1363.070981210856,28.717025862068965,21.84699203292821,65.70793733512342,1.5397270114942527,2004
Bahia,2004-03,2.5568627450980386,1006.4167338709678,1452.3532338308457,28.696438172043013,22.622782258064515,70.1875,1.478897849462366,2004
Bahia,2004-04,2.8535714285714278,1007.3795138888889,1320.1516709511568,28.240555555555556,22.383680555555557,71.06180555555555,1.55625,2004
Bahia,2004-05,1.4711111111111117,1008.9647177419355,1187.1970074812969,27.541129032258063,21.84690860215054,71.57594086021506,1.408266129032258,2004
Bahia,2004-06,2.197222222222221,1012.169375,1105.7103825136612,26.471527777777776,20.62020833333333,70.75972222222222,1.724652777777778,2004
Bahia,2004-07,1.6608695652173884,1011.5250672043011,1128.8675675675677,25.548723118279568,19.52728494623656,69.91733870967742,2.4239247311827947,2004
Bahia,2004-08,1.3947368421052595,1012.6093413978494,1283.3589743589744,25.427150537634407,19.655510752688173,70.86155913978494,2.1256048387096778,2004
Bahia,2004-09,1.4129032258064518,1011.3158333333333,1663.293059125964,26.534791666666667,19.052569444444444,64.05347222222223,2.127152777777778,2004
Bahia,2004-10,1.7000000000000008,1008.2570564516129,1575.6534653465346,27.291330645161292,20.929435483870968,68.87903225806451,1.8568548387096775,2004
Bahia,2004-11,2.4647058823529404,1006.9784027777777,1593.0051813471503,27.864444444444448,21.536597222222223,69.04027777777777,1.8554861111111147,2004
Bahia,2004-12,1.4666666666666666,1006.4524193548386,1906.3015075376884,28.79301075268817,21.425940860215054,65.19825268817205,1.9074596774193553,2004
Bahia,2005-01,0.817857142857142,1005.4360215053764,1725.8252688172042,29.11209677419355,22.33279569892473,67.62970430107526,1.7913978494623655,2005
Bahia,2005-02,4.234146341463413,1005.4767857142857,1335.2880886426592,28.695833333333333,22.979315476190475,71.82514880952381,1.7633184523809522,2005
Bahia,2005-03,6.096428571428572,1006.3778897849463,1589.7732997481107,29.203024193548387,23.18393817204301,70.56854838709677,1.4153225806451613,2005
Bahia,2005-04,1.9475000000000076,1007.5715277777778,1279.432098765432,28.150347222222226,22.720902777777777,72.92013888888889,1.2738888888888888,2005
Bahia,2005-05,1.8368421052631536,1008.5619623655914,884.9675572519084,27.694354838709675,22.02963709677419,71.69220430107526,2.1245967741935483,2005
Bahia,2005-06,1.6645569620253196,1010.5269444444444,950.4221917808219,26.41201388888889,21.32076388888889,73.99722222222225,2.0568055555555507,2005
Bahia,2005-07,1.405442176870747,1012.7618951612903,1083.0951086956522,25.72701612903226,19.89818548387097,70.70564516129032,2.3329973118279583,2005
Bahia,2005-08,1.2367346938775419,1012.2469758064516,1423.8921052631579,26.08219086021505,19.681317204301074,68.38239247311827,1.9108870967741935,2005
Bahia,2005-09,0.9916666666666827,1010.7012500000001,1528.2515151515152,26.930347222222224,20.439444444444444,68.14722222222223,1.8245138888888894,2005
Bahia,2005-10,0.22857142857142862,1009.0505376344086,1811.9429280397023,27.90645161290323,20.69543010752688,65.54435483870968,2.140770711492012,2005
Bahia,2005-11,0.45806451612903226,1006.5917361111112,1615.274358974359,28.12097222222222,21.310000000000002,67.39444444444445,1.75381984036488,2005
Bahia,2005-12,0.18758389261744948,1006.1502016129032,1664.690625,26.89650537634409,22.385080645161292,64.68413978494624,1.4303310558968139,2005
Bahia,2006-01,0.6000000000000074,1013.1,,27.9,21.7,69.0,1.2,2006
Bahia,2006-02,0.6000000000000058,1013.1000000000001,,27.9,21.7,69.0,1.2,2006
Bahia,2006-03,0.6000000000000074,1013.1,,27.9,21.7,69.0,1.2,2006
Bahia,2006-04,0.6000000000000069,1013.1,,27.9,21.7,69.0,1.2,2006
Bahia,2006-05,0.6000000000000074,1013.1,,27.9,21.7,69.0,1.2,2006
Bahia,2006-06,0.6000000000000049,1013.1158333333334,961.5702127659575,27.696875,21.62,69.56597222222223,1.4177777777777778,2006
Bahia,2006-07,,1012.5924059139785,1275.6692753623195,25.553158602150535,19.405913978494628,69.32325268817203,2.5624999999999987,2006
Bahia,2006-08,,1011.7749276261374,1510.9335195530728,26.079440653432588,19.87203784119107,69.16304797353183,2.213146195202648,2006
Bahia,2006-09,,1010.899797008547,1608.4947852760738,26.508536324786323,20.28667200854701,69.3822115384615,2.5214155982905995,2006
Bahia,2006-10,5.444444444444445,1008.0463037634408,1476.8326589595374,27.534610215053767,21.428897849462363,69.9005376344086,2.4716397849462344,2006
Bahia,2006-11,2.954545454545379,1006.3790277777778,1633.3285714285719,28.13000000000001,22.045416666666668,70.06527777777778,2.1852777777777797,2006
Bahia,2006-12,1.5210526315789408,1007.3956989247312,1838.4189349112428,29.297177419354842,22.249462365591395,66.28091397849461,2.1838709677419295,2006
Bahia,2007-01,1.0653846153846147,1007.0465725806451,2022.7973372781064,30.044086021505375,22.196639784946235,63.51142473118279,2.4,2007
Bahia,2007-02,2.01458333333333,1006.6822916666666,1709.9445578231278,28.790252976190477,22.776041666666668,70.57440476190476,1.9673363095238092,2007
Bahia,2007-03,1.4303030303030313,1007.2269489247311,1622.8150246305402,28.652016129032255,22.24260752688172,68.75604838709677,1.8704301075268817,2007
Bahia,2007-04,1.7219780219780163,1007.5145138888888,1349.729921259843,28.33701388888889,22.201319444444444,69.94097222222223,1.735972222222222,2007
Bahia,2007-05,1.5086956521738972,1008.8582089338825,1208.0134831460664,27.695817909395384,21.678260653126245,70.20387211164494,2.3424044840997476,2007
Bahia,2007-06,1.518279569892473,1010.5995729905437,841.4673139158574,38.950224271402554,40.14739454732509,84.21502659574467,2.4018070330969277,2007
Bahia,2007-07,1.2523364485981483,1011.632123655914,1113.8963525835868,27.998454301075267,39.81317204301075,95.02284946236558,2.2022177419354847,2007
Bahia,2007-08,1.8754545454546239,1012.8043010752689,1504.031832797428,23.85161290322581,40.2,98.0,2.593884408602151,2007
Bahia,2007-09,0.59484536082475,1012.8662499999999,1799.7289036544855,24.350486111111113,40.2,98.0,2.5204861111111105,2007
Bahia,2007-10,1.2825396825396802,1009.5389112903225,1833.344578313251,25.273588709677405,40.2,98.0,2.318346774193547,2007
Bahia,2007-11,0.4352941176470374,1007.1754861111111,1931.1667711598755,26.72375000000001,40.2,98.0,2.494930555555556,2007
Bahia,2007-12,0.6,1005.760752688172,1978.8945945945943,26.041465053763435,40.2,98.0,2.237365591397849,2007
Bahia,2008-01,,999.6,,29.1,25.4,80.0,1.5,2008
Bahia,2008-02,,999.6,,29.1,25.4,80.0,1.5,2008
Bahia,2008-03,,999.6,,29.1,25.4,80.0,1.5,2008
Bahia,2008-04,0.6222222222222525,1000.6607638888889,1592.2241379310342,28.637777777777785,25.100069444444443,80.88333333333334,1.4929054054054054,2008
Bahia,2008-05,0.22008639308855413,1009.2488575268818,1198.6864754098358,25.206653225806452,22.490456989247313,85.24529569892474,2.2142582098227246,2008
Bahia,2008-06,0.8179894179894264,1011.4246527777777,1309.2687500000009,24.443333333333335,20.38479166666667,78.85208333333334,1.8653472222222205,2008
Bahia,2008-07,1.4073170731707314,1012.8820564516129,1111.8082706766932,23.46505376344086,18.72856182795699,75.15994623655914,2.1019489247311833,2008
Bahia,2008-08,0.8864864864864866,1011.0569892473119,1252.8336538461544,23.71344086021505,19.171774193548387,76.12768817204301,1.6178763440860215,2008
Bahia,2008-09,1.0666666666666669,1011.0166666666667,916.6081967213111,24.664166666666667,19.77958333333333,74.80972222222222,1.4493055555555556,2008
Bahia,2008-10,0.892307692307692,1009.9206989247311,358.289247311828,25.793817204301074,20.576209677419357,73.4986559139785,1.785215053763441,2008
Bahia,2008-11,2.787500000000001,1006.65375,630.0744680851064,26.351388888888884,21.24041666666667,74.39305555555555,1.8281944444444445,2008
Bahia,2008-12,1.5470588235294125,1005.8572580645161,788.2533018867928,25.997849462365593,21.951344086021503,78.95564516129032,1.3486559139784946,2008
Bahia,2009-01,1.296,1006.6975134408601,707.743236074271,27.20228494623656,22.086424731182795,74.29099462365592,1.4561827956989248,2009
Bahia,2009-02,1.8514285714285716,1006.2639880952381,410.7835390946504,26.944196428571427,22.255803571428572,76.20238095238095,1.246577380952381,2009
Bahia,2009-03,1.6799999999999997,1005.1637096774194,158.10323624595458,27.54395161290323,22.542473118279567,74.76344086021506,1.2721774193548387,2009
Bahia,2009-04,2.119230769230771,1006.7201388888889,1931.0996753246748,26.315555555555555,22.74361111111111,81.24027777777778,0.9998611111111111,2009
Bahia,2009-05,0.15714285714286014,1008.398185483871,1774.424719101124,25.039650537634408,21.846169354838707,82.89314516129032,1.8016801075268818,2009
Bahia,2009-06,2.4272727272727272,1010.4743055555556,1279.8968944099383,24.846319444444447,21.19215277777778,80.40972222222223,1.1082638888888887,2009
Bahia,2009-07,1.7311827956989247,1011.3959677419355,1338.0362903225816,24.243413978494623,20.449327956989247,79.75806451612904,0.906989247311828,2009
Bahia,2009-08,1.1701149425287363,1011.386693548387,1392.7954198473283,24.157795698924733,19.83225806451613,77.25268817204301,1.0885752688172043,2009
Bahia,2009-09,1.9931034482758618,1010.5322222222221,1629.2238461538445,24.94916666666667,20.511666666666667,76.925,1.1533333333333333,2009
Bahia,2009-10,2.520967741935455,1006.7936827956989,1479.2898734177222,25.697311827956987,21.605577956989247,78.72379032258064,1.400403225806452,2009
Bahia,2009-11,2.013333333333333,1006.8786111111111,1991.9669211195933,26.270000000000003,21.275,74.75138888888888,1.4181944444444445,2009
Bahia,2009-12,0.6000000000000001,1006.7501344086021,1853.3012376237623,27.2619623655914,21.922043010752688,73.30376344086021,1.4206989247311828,2009
Bahia,2010-01,1.800000000000001,1007.2317204301075,1852.3071078431383,27.23212365591398,22.113844086021505,74.29838709677419,1.094489247311828,2010
Bahia,2010-02,0.7764705882352941,1006.8941964285715,1818.9634615384614,28.157738095238095,22.194642857142856,70.66220238095238,1.200595238095238,2010
Bahia,2010-03,7.0,1006.0924731182796,1548.402985074629,27.552419354838708,23.151612903225807,77.56451612903226,0.9620967741935483,2010
Bahia,2010-04,1.8999999999999997,1006.7320833333333,1185.0301745635911,25.965694444444445,22.670833333333334,82.40972222222223,1.3115277777777776,2010
