Ano,Amapá - Consumo de Cimento (t)
2014,209.5586404626151
2015,186.33880946668438
2016,161.58007259035807
2017,143.07733573500738
2018,133.93204680646937
2019,136.450108752111
2020,142.87107414563545
2021,145.99644011180987
2022,146.67763807235954
