Ano,Amapá - Consumo de Cimento (t)
2008,116.366
2009,112.729
2010,151.542
2011,161.97
2012,261.12
2013,250.519
2014,227.243
2015,198.06959999999998
2016,166.85039999999998
2017,135.021
2018,123.347
2019,120.153
2020,133.523
2021,157.621
2022,142.739
