,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2003-1,118401741.72880125,3570615.8656266965,43.639430024738196,109246465.15686002
2003-2,118551149.57961412,3573184.075185873,43.651300230384116,109302470.07217778
2003-3,118700557.43042697,3575752.2847450497,43.66317043603003,109358474.98749556
2003-4,118849965.28123984,3578320.494304226,43.67504064167595,109414479.90281332
2003-5,118999373.1320527,3580888.7038634024,43.68691084732186,109470484.81813109
2003-6,119148780.98286556,3583456.913422579,43.69878105296778,109526489.73344885
2003-7,119298188.83367842,3586025.122981755,43.710651258613694,109582494.6487666
2003-8,119447596.68449129,3588593.3325409316,43.722521464259614,109638499.56408438
2003-9,119597004.53530414,3591161.542100108,43.734391669905534,109694504.47940214
2003-10,119746412.38611701,3593729.751659285,43.74626187555145,109750509.39471991
2003-11,119895820.23692988,3596297.9612184614,43.75813208119737,109806514.31003767
2003-12,120045228.08774273,3598866.1707776375,43.77000228684328,109862519.22535545
2004-1,120194635.9385556,3601434.380336814,43.7818724924892,109918524.1406732
2004-2,120330975.5108673,3601439.9206444323,43.79171960966001,109962939.046761
2004-3,120467315.08317898,3601445.4609520505,43.80156672683082,110007353.95284882
2004-4,120603654.65549067,3601451.0012596687,43.81141384400163,110051768.85893664
2004-5,120739994.22780237,3601456.5415672865,43.82126096117244,110096183.76502444
2004-6,120876333.80011407,3601462.0818749047,43.83110807834325,110140598.67111224
2004-7,121012673.37242575,3601467.622182523,43.840955195514056,110185013.57720006
2004-8,121149012.94473743,3601473.162490141,43.85080231268487,110229428.48328787
2004-9,121285352.51704913,3601478.7027977593,43.86064942985568,110273843.38937567
2004-10,121421692.08936083,3601484.243105377,43.87049654702649,110318258.29546347
2004-11,121558031.66167252,3601489.7834129953,43.8803436641973,110362673.20155129
2004-12,121694371.2339842,3601495.3237206135,43.89019078136811,110407088.1076391
2005-1,121830710.8062959,3601500.8640282317,43.90003789853892,110451503.0137269
2005-2,121955622.6637851,3600180.3755425494,43.90860212051159,110489089.47333275
2005-3,122080534.5212743,3598859.8870568676,43.917166342484265,110526675.93293859
2005-4,122205446.37876351,3597539.3985711853,43.925730564456934,110564262.39254443
2005-5,122330358.23625271,3596218.910085503,43.93429478642961,110601848.85215028
2005-6,122455270.09374191,3594898.421599821,43.94285900840228,110639435.31175612
2005-7,122580181.95123112,3593577.933114139,43.95142323037496,110677021.77136195
2005-8,122705093.80872032,3592257.4446284566,43.959987452347626,110714608.23096779
2005-9,122830005.66620952,3590936.956142775,43.968551674320295,110752194.69057363
2005-10,122954917.52369872,3589616.4676570925,43.97711589629297,110789781.15017948
2005-11,123079829.38118792,3588295.97917141,43.98568011826564,110827367.60978532
2005-12,123204741.23867713,3586975.4906857284,43.99424434023832,110864954.06939116
2006-1,123329653.09616633,3585655.002200046,44.00280856221099,110902540.528997
2006-2,123439256.01958191,3587011.218497432,44.008399662294785,110929046.90199678
2006-3,123548858.94299749,3588367.4347948176,44.01399076237858,110955553.27499655
2006-4,123658461.86641307,3589723.6510922033,44.019581862462374,110982059.6479963
2006-5,123768064.78982866,3591079.867389589,44.02517296254617,111008566.02099608
2006-6,123877667.71324423,3592436.083686975,44.03076406262997,111035072.39399585
2006-7,123987270.63665982,3593792.299984361,44.03635516271376,111061578.76699562
2006-8,124096873.5600754,3595148.516281747,44.04194626279756,111088085.1399954
2006-9,124206476.48349097,3596504.7325791325,44.04753736288136,111114591.51299517
2006-10,124316079.40690656,3597860.9488765183,44.053128462965155,111141097.88599494
2006-11,124425682.33032215,3599217.165173904,44.05871956304895,111167604.2589947
2006-12,124535285.25373772,3600573.38147129,44.064310663132744,111194110.63199447
2007-1,124644888.1771533,3601929.5977686755,44.06990176321654,111220617.00499424
2007-2,124739447.06174813,3603331.564707881,44.07337346857579,111238238.91839099
2007-3,124834005.94634297,3604733.531647086,44.076845173935034,111255860.83178772
2007-4,124928564.8309378,3606135.4985862914,44.08031687929429,111273482.74518445
2007-5,125023123.71553263,3607537.465525497,44.08378858465353,111291104.6585812
2007-6,125117682.60012746,3608939.4324647025,44.08726029001278,111308726.57197794
2007-7,125212241.48472229,3610341.399403908,44.090731995372025,111326348.48537467
2007-8,125306800.36931713,3611743.366343113,44.09420370073127,111343970.3987714
2007-9,125401359.25391196,3613145.3332823184,44.09767540609052,111361592.31216815
2007-10,125495918.13850679,3614547.300221524,44.10114711144976,111379214.2255649
2007-11,125590477.02310163,3615949.2671607295,44.104618816809015,111396836.13896163
2007-12,125685035.90769646,3617351.234099935,44.10809052216826,111414458.05235836
2008-1,125779594.79229128,3618753.20103914,44.11156222752751,111432079.9657551
2008-2,125848315.46007776,3619652.48694204,44.11406052920915,111435468.08532283
2008-3,125917036.12786424,3620551.77284494,44.11655883089079,111438856.20489056
2008-4,125985756.79565072,3621451.0587478396,44.11905713257242,111442244.3244583
2008-5,126054477.4634372,3622350.34465074,44.12155543425406,111445632.44402602
2008-6,126123198.13122368,3623249.6305536395,44.1240537359357,111449020.56359375
2008-7,126191918.79901016,3624148.916456539,44.126552037617344,111452408.68316148
2008-8,126260639.46679664,3625048.2023594393,44.129050339298985,111455796.80272922
2008-9,126329360.13458312,3625947.488262339,44.131548640980625,111459184.92229694
2008-10,126398080.8023696,3626846.774165239,44.134046942662266,111462573.04186466
2008-11,126466801.47015607,3627746.060068139,44.1365452443439,111465961.1614324
2008-12,126535522.13794255,3628645.345971039,44.13904354602554,111469349.28100014
2009-1,126604242.80572903,3629544.6318739387,44.14154184770718,111472737.40056786
2009-2,126853929.06962053,3629248.8999741804,44.13946556171028,111519354.58531979
2009-3,127103615.33351204,3628953.168074422,44.13738927571339,111565971.77007172
2009-4,127353301.59740354,3628657.4361746637,44.135312989716496,111612588.95482363
2009-5,127602987.86129504,3628361.704274905,44.1332367037196,111659206.13957556
2009-6,127852674.12518655,3628065.9723751466,44.1311604177227,111705823.32432748
2009-7,128102360.38907805,3627770.2404753882,44.129084131725804,111752440.5090794
2009-8,128352046.65296954,3627474.50857563,44.12700784572891,111799057.69383132
2009-9,128601732.91686104,3627178.7766758716,44.12493155973201,111845674.87858325
2009-10,128851419.18075255,3626883.044776113,44.12285527373511,111892292.06333518
2009-11,129101105.44464405,3626587.3128763544,44.12077898773822,111938909.24808711
2009-12,129350791.70853555,3626291.580976596,44.11870270174133,111985526.43283902
2010-1,129600477.97242706,3625995.8490768378,44.11662641574443,112032143.61759095
2010-2,129825647.97420682,3622821.6937296,44.108803690686656,112063660.74906558
2010-3,130050817.97598657,3619647.5383823626,44.10098096562888,112095177.8805402
2010-4,130275987.97776634,3616473.3830351247,44.09315824057111,112126695.01201484
2010-5,130501157.97954609,3613299.2276878874,44.08533551551333,112158212.14348947
2010-6,130726327.98132585,3610125.0723406496,44.07751279045556,112189729.2749641
2010-7,130951497.9831056,3606950.916993412,44.06969006539778,112221246.40643871
2010-8,131176667.98488536,3603776.7616461744,44.06186734034001,112252763.53791334
2010-9,131401837.98666513,3600602.6062989365,44.05404461528224,112284280.66938797
2010-10,131627007.98844488,3597428.450951699,44.04622189022446,112315797.8008626
2010-11,131852177.99022464,3594254.2956044613,44.03839916516669,112347314.93233722
2010-12,132077347.9920044,3591080.140257224,44.03057644010891,112378832.06381185
2011-1,132302517.99378416,3587905.984909986,44.02275371505114,112410349.19528648
2011-2,132511545.59881285,3584822.6898635644,44.01472398336362,112439921.55511568
2011-3,132720573.20384154,3581739.3948171427,44.00669425167611,112469493.91494489
2011-4,132929600.80887023,3578656.0997707215,43.998664519988594,112499066.27477409
2011-5,133138628.41389893,3575572.8047243,43.99063478830107,112528638.63460329
2011-6,133347656.01892762,3572489.509677878,43.98260505661356,112558210.9944325
2011-7,133556683.62395631,3569406.214631457,43.97457532492604,112587783.3542617
2011-8,133765711.228985,3566322.919585035,43.96654559323853,112617355.71409091
2011-9,133974738.83401369,3563239.6245386135,43.958515861551014,112646928.07392012
2011-10,134183766.43904239,3560156.329492192,43.95048612986349,112676500.43374932
2011-11,134392794.04407108,3557073.03444577,43.94245639817598,112706072.79357852
2011-12,134601821.64909977,3553989.739399349,43.93442666648846,112735645.15340772
2012-1,134810849.25412846,3550906.444352927,43.92639693480095,112765217.51323693
2012-2,135009965.5327155,3547694.761862064,43.922530585698716,112800991.63086896
2012-3,135209081.81130257,3544483.079371201,43.918664236596484,112836765.74850099
2012-4,135408198.08988965,3541271.3968803375,43.91479788749425,112872539.86613302
2012-5,135607314.3684767,3538059.714389474,43.91093153839202,112908313.98376505
2012-6,135806430.64706373,3534848.0318986108,43.90706518928979,112944088.10139708
2012-7,136005546.9256508,3531636.3494077474,43.90319884018756,112979862.2190291
2012-8,136204663.20423788,3528424.6669168845,43.89933249108533,113015636.33666113
2012-9,136403779.48282492,3525212.984426021,43.8954661419831,113051410.45429316
2012-10,136602895.76141196,3522001.3019351577,43.89159979288087,113087184.5719252
2012-11,136802012.03999904,3518789.619444295,43.887733443778636,113122958.68955722
2012-12,137001128.3185861,3515577.9369534315,43.883867094676404,113158732.80718926
2013-1,137200244.59717315,3512366.254462568,43.88000074557417,113194506.92482129
2013-2,137372661.31023806,3509393.8722620984,43.88030655085099,113224858.88408539
2013-3,137545078.02330294,3506421.4900616286,43.8806123561278,113255210.84334949
2013-4,137717494.73636785,3503449.1078611584,43.880918161404615,113285562.80261359
2013-5,137889911.44943273,3500476.7256606887,43.88122396668143,113315914.76187769
2013-6,138062328.16249764,3497504.343460219,43.88152977195825,113346266.72114179
2013-7,138234744.87556255,3494531.9612597493,43.881835577235066,113376618.68040588
2013-8,138407161.58862743,3491559.5790592795,43.882141382511875,113406970.63966997
2013-9,138579578.30169234,3488587.19685881,43.88244718778869,113437322.59893407
2013-10,138751995.01475722,3485614.81465834,43.88275299306551,113467674.55819817
2013-11,138924411.72782212,3482642.43245787,43.88305879834232,113498026.51746227
2013-12,139096828.440887,3479670.0502574,43.883364603619135,113528378.47672637
2014-1,139269245.1539519,3476697.6680569304,43.88367040889595,113558730.43599047
