,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH Educacao,Goiás - IDH,Precipitação (mm/day),Pressão Atmosférica (mB),Radiação Global - Dia (Kj/m²),Temmperatura do Ar - Bulbo Seco (°C),Temperatura de Ponto de Orvalho (°C),Humidade Relativa do Ar (%),Velocidade do Vento (m/s),Goiás - IDH Longevidade,Goiás- custo m2 (R$),Goiás - Depósito Poupança (R$),Goiais - Preço Cimento,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego,Goiás - IDH Renda,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,56.45996,97.447,0.7065139644041851,0.7452934717740269,2.2130417106549287,931.9595459848558,1486.4453977027613,23.97161770352613,18.270238514662463,73.64905086864404,1.2130176818092262,0.7756144428910857,10601.3252,3935259.86372313,0.2600974864623828,93718223.18774895,5518324.893522981,14.03127028291794,84182480.30624565,8.179784800565303,0.7676917980340671,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,56.78915230769231,97.256,0.7068655852762333,0.74540536788159,2.021027573842862,932.363096815316,1483.9710929035311,23.534385813756955,17.70409340610911,73.00664920826081,1.2436704298426282,0.7759023423196917,10688.67096923077,3962330.428733641,0.2589635168034269,93835901.65529324,5523289.592011541,14.034476051942978,84220820.79829863,8.174085576054594,0.7674045685615956,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,57.14026341880341,101.442,0.7072172061482815,0.745517263989153,1.8231479440459533,932.79821725289,1450.4273915472168,22.93406677428943,16.66765238367174,71.37889452929446,1.2622063570544366,0.7761902417482976,10770.309117378916,3989400.993744152,0.2573522667190901,93953580.12283754,5528254.290500103,14.037681820968018,84259161.2903516,8.168386351543885,0.7671173390891239,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,57.64919199023199,98.217,0.7075688270203297,0.745629160096716,1.7561174013385044,933.532124912854,1458.2646052472426,22.34687928128455,15.045929913435575,67.63231663857123,1.3554238641930645,0.7764781411769035,10847.723760236058,4016471.558754663,0.2559289139915691,94071258.59038185,5533218.988988663,14.040887589993057,84297501.78240457,8.162687127033177,0.7668301096166524,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,58.213295438507856,112.54,0.707920447892378,0.745741056204279,1.3315303013527169,934.0182745011348,1466.4681428329625,21.98726803202424,13.454185366716528,63.21600194313328,1.4347790612668432,0.7767660406055095,10930.821691270545,4043542.123765173,0.2541089423286005,94188937.05792612,5538183.687477224,14.044093359018095,84335842.27445754,8.156987902522468,0.7665428801441808,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,58.80126210517452,109.189,0.7082720687644262,0.745852952311842,1.3666140892710263,934.1703771377672,1476.5352333534308,22.291462739600565,12.672614722584154,59.59285008088516,1.5494145237181265,0.7770539400341154,11009.628691270544,4070612.688775684,0.2523837444507506,94306615.5254704,5543148.385965784,14.047299128043136,84374182.76651052,8.15128867801176,0.7662556506717093,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,59.38326210517452,118.633,0.7086236896364744,0.745964848419405,1.4399356803156067,934.0513740568048,1483.297350383052,22.788787547241014,12.510517048521974,57.20758374647339,1.6412369525451465,0.7773418394627214,11067.567078367318,4097683.253786195,0.250287397653835,94424293.9930147,5548113.084454345,14.050504897068176,84412523.25856349,8.14558945350105,0.7659684211992377,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,60.08369960517452,115.594,0.7089753105085226,0.746076744526968,1.4599756320555246,933.3559573318496,1470.3431187078756,23.42853692317643,13.50170294749233,58.32497341524179,1.634141446477677,0.7776297388913274,11124.383640867316,4124753.818796706,0.2480282323874146,94541972.460559,5553077.782942906,14.053710666093211,84450863.75061645,8.13989022899034,0.7656811917267662,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,60.444032938507846,122.029,0.7093269313805708,0.746188640634531,1.8338886337957525,932.6685698560532,1469.3662915532282,24.001646380745026,14.68139823936967,60.48397394812366,1.5935837687889025,0.7779176383199333,11179.665156018831,4151824.383807217,0.2458577832932179,94659650.92810328,5558042.4814314665,14.056916435118254,84489204.24266942,8.134191004479632,0.7653939622542947,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,60.88020940909608,126.095,0.709678552252619,0.7463005367420941,2.0426462775214493,931.8336825766892,1421.5869116245165,24.04950063618758,16.03346683956586,64.9870710085228,1.4796773270965045,0.7782055377485393,11231.33339131295,4178894.948817728,0.2435735490561009,94777329.39564756,5563007.179920027,14.060122204143292,84527544.73472239,8.128491779968924,0.7651067327818231,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
