Ano,Paraíba - Produção de Cimento (t)
2008,1945.1583586259042
2009,1991.8716247154366
2010,2087.89462777246
2011,2212.1986885465944
2012,2280.6240324063456
2013,2268.2967543679715
2014,2266.0393227705326
2015,2276.1343578290207
2016,2291.680633321482
2017,2353.6432219188982
2018,2597.624854490206
2019,2980.034770576754
2020,3260.773750901022
2021,3425.1661256197767
2022,3496.801973545849
