Ano,Paraíba - Consumo de Cimento (t)
2014,1100.9304824736946
2015,1008.1646963513723
2016,899.8234899171066
2017,818.941063443036
2018,822.7084265039305
2019,921.3099582071978
2020,1009.1617263225336
2021,1034.6680895149095
2022,1040.4696881242353
