Ano,Paraíba - Consumo de Cimento (t)
2008,707.783
2009,734.672
2010,834.169
2011,946.2479999999999
2012,1103.437
2013,1223.444
2014,1240.2328571428573
2015,1076.2482857142859
2016,928.2368571428572
2017,786.338
2018,707.565
2019,769.08
2020,1051.694
2021,1112.087
2022,1064.438
