Ano,Amazonas - Produção de Cimento (t)
2014,629.9068173619919
2015,585.6274239904403
2016,527.1232254818696
2017,447.66543974589
2018,427.7622197215429
2019,464.8931165462264
2020,474.9802474784629
2021,468.32666396725006
2022,470.48383040841566
