Ano,Piauí - Desemprego
2014,10.508944601657928
2015,10.965400703926441
2016,11.203809124569577
2017,11.173036328163327
2018,11.037275293038633
2019,11.015948601022505
2020,10.881622303721771
2021,10.793164693499337
2022,10.871213005300795
