Ano,Distrito Federal - IDH Longevidade
2014,0.8474053404250843
2015,0.8570828965354302
2016,0.8550904325841057
2017,0.8524622900917517
2018,0.8492315891910018
2019,0.8453435518447293
2020,0.8407384201942502
2021,0.8411691856664546
2022,0.8446391116361323
