Ano,Operações de crédito - saldo da carteira de crédito (R$),Apagar
2018-7,3134446,
2018-8,3166304,
2018-9,3181647,
2018-10,3177146,
2018-11,3212535,
2018-12,3265064,
2019-1,3237076,
2019-2,3247396,
2019-3,3273000,
2019-4,3272570,
2019-5,3291212,
2019-6,3301611,
2019-7,3296187,
2019-8,3333007,
2019-9,3368801,
2019-10,3380309,
2019-11,3423121,
2019-12,3475872,
2020-1,3465268,
2020-2,3484672,
2020-3,3583600,
2020-4,3583689,
2020-5,3595958,
2020-6,3622966,
2020-7,3670223,
2020-8,3741903,
2020-9,3820765,
2020-10,3878484,
2020-11,3957054,
2020-12,4021534,
2021-1,4018815,
2021-2,4046150,
2021-3,4107730,
2021-4,4128186,
2021-5,4176747,
2021-6,4213673,
2021-7,4271337,
2021-8,4345830,
2021-9,4440759,
2021-10,4511578,
2021-11,4596690,
2021-12,4681433,
2022-1,4681229,
2022-2,4725519,
2022-3,4792178,
2022-4,4830690,
2022-5,4885588,
2022-6,4963563,
2022-7,4999003,
2022-8,5071967,
2022-9,5162922,
2022-10,5214157,
2022-11,5281035,
2022-12,5361248,
2023-1,5370166,
2023-2,5368867,
2023-3,5417547,
2023-4,5416458,
2023-5,5440625,
2023-6,5462418,
2023-7,5462858,
2023-8,5523727,
