,Santa Catarina - IDH,Santa Catarina - value,Santa Catarina - IDH Renda,Santa Catarina - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - IDH Longevidade,Santa Catarina - IDH Educacao,Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado,Santa Catarina- custo m2 (R$),Santa Catarina - Depósito Poupança (R$),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,0.7977678874701567,0.311112582932095,0.8070646205059924,8.256605689258727,1.6314969213478128,1018.7659109927476,1169.1780621100595,20.7133317735674,16.132763064373272,75.76722882523715,2.3232609575400667,0.8529209601178851,0.7527470486540049,142.456,20.2168,132006541.53463072,6638363.257953425,19.725168296275115,122186034.17445844,11270.2724,8001966.89861661,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,0.7978533919669824,0.3127871271673234,0.8067448855565021,8.250731009646879,1.6320736775664808,1018.7548033732936,1169.161093154496,20.71465811268053,16.13541171349437,75.77509626499554,2.3232609575400667,0.8532822944672128,0.7529540412435893,135.829,19.63103076923077,132174301.81613465,6642079.962128286,19.73227718328098,122251295.40319423,11377.902015384614,8038182.17695618,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,0.7979388964638081,0.3142072209849679,0.806425150607012,8.24485633003503,1.6324101186940372,1018.7483239286122,1169.151194597084,20.71543181049652,16.136956758815014,75.77968560485459,2.3232609575400667,0.8536436288165405,0.7531610338331739,133.135,19.40091965811966,132342062.09763852,6645796.666303148,19.739386070286848,122316556.63193002,11480.211274643874,8074397.45529575,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,0.7980244009606339,0.3155708628918769,0.8061054156575218,8.238981650423185,1.632446165957704,1018.7476297023964,1169.150134037361,20.71551470669109,16.137122299385084,75.7801773198395,2.3232609575400667,0.8540049631658684,0.7533680264227584,144.723,19.15374108669109,132509822.37914243,6649513.37047801,19.746494957292715,122381817.86066584,11578.298417501015,8110612.733635319,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,0.7981099054574595,0.3168802516120672,0.8057856807080317,8.233106970811336,1.8083296226619625,1017.9492654575444,1212.045667297062,21.27348803173807,16.656850760711666,75.67675650674391,2.3194450845932204,0.8543662975151961,0.7535750190123428,150.523,18.91215487979453,132677582.66064632,6653230.074652871,19.75360384429858,122447079.08940162,11673.320486466537,8146828.01197489,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,0.7981954099542852,0.3179294636972253,0.8054659457585415,8.227232291199488,1.9645077125539483,1017.3026084210338,1248.7096360204805,21.766943533719584,17.110629984622605,75.5564104195118,2.3138013032988534,0.8547276318645238,0.7537820116019274,128.735,18.5898215464612,132845342.94215022,6656946.778827732,19.760712731304448,122512340.31813742,11764.486153133204,8183043.29031446,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,0.7982809144511109,0.3189249458470974,0.8051462108090512,8.221357611587642,2.137404117502708,1016.6096147522068,1287.956515664137,22.30579915829503,17.605239016972373,75.41941687145305,2.3061556561876038,0.8550889662138516,0.7539890041915118,154.768,18.61740219162249,133013103.22365412,6660663.483002594,19.767821618310315,122577601.5468732,11832.479378939652,8219258.56865403,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,0.7983664189479367,0.3198651144195626,0.8048264758595611,8.215482931975794,2.311819792744624,1015.9387246650596,1325.6151590873942,22.838105239667023,18.0931133834853,75.27898130852597,2.2965225046042232,0.8554503005631793,0.7541959967810963,142.558,18.56346469162249,133180863.50515802,6664380.187177455,19.774930505316178,122642862.77560902,11898.219066439651,8255473.846993599,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,0.7984519234447623,0.3207483549301641,0.8045067409100709,8.209608252363946,2.472555693516078,1015.3583783735884,1357.5144191496147,23.31191211203818,18.526688609885724,75.14830917668885,2.2849162098934657,0.855811634912507,0.7544029893706808,144.182,18.501858631016432,133348623.78666192,6668096.891352316,19.782039392322044,122708124.00434482,11959.815430076016,8291689.1253331695,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,0.798537427941588,0.3215730233333433,0.8041870059605808,8.203733572752098,2.6044127750534543,1014.9370160917902,1379.4831487101603,23.675270109611105,18.85840022189798,75.04060592190002,2.271351133400083,0.8561729692618347,0.7546099819602653,152.08,18.452476278075256,133516384.0681658,6671813.595527178,19.78914827932791,122773385.2330806,12020.76925360543,8327904.40367274,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
