, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraná - Desemprego,Paraná - value,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Paraná - Produção de Cimento (t),Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t)
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.284196000563572,0.3005681409516926,,,,,,,,332.70556,202714699.84994665,10606121.842161782,17.589536438314145,185178799.44847876,0.7768711500179231,189.804
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.277973017196762,0.3017099667323924,,,,,,,,332.9459446153846,202947665.4142885,10615969.641362855,17.592547588314833,185232581.42679504,0.7769750440731625,174.713
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.271750033829953,0.3026448470427943,,,,,,,,335.2221298005698,203180630.9786304,10625817.440563928,17.59555873831552,185286363.4051113,0.7770789381284021,180.801
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.265527050463144,0.3034127546338425,,,,,,,,334.78573694342697,203413596.54297224,10635665.239765,17.598569888316213,185340145.3834276,0.7771828321836416,180.172
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.259304067096334,0.3040342479354767,,,,,,,,335.050185219289,203646562.1073141,10645513.038966076,17.6015810383169,185393927.36174396,0.7772867262388811,185.597
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.253081083729525,0.3049956267710458,,,,,,,,334.53578521928904,203879527.671656,10655360.838167148,17.60459218831759,185447709.3400602,0.7773906202941206,169.008
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.246858100362715,0.305278799577506,,,,,,,,336.2189787676761,204112493.23599783,10665208.63736822,17.607603338318278,185501491.3183765,0.7774945143493601,191.857
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.240635116995904,0.3052859506554977,,,,,,,,336.48644751767614,204345458.80033976,10675056.436569294,17.610614488318966,185555273.2966928,0.7775984084045996,180.591
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.234412133629094,0.3054031766432326,,,,,,,,335.8748717601003,204578424.36468163,10684904.235770367,17.613625638319654,185609055.2750091,0.7777023024598392,176.074
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.228189150262285,0.3050612209263981,,,,,,,,335.0058423483356,204811389.9290235,10694752.03497144,17.616636788320342,185662837.2533254,0.7778061965150787,191.866
2003-11,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,8.221966166895475,0.3046384271679931,,,,,,,,334.8449280626213,205044355.49336535,10704599.834172511,17.619647938321034,185716619.2316417,0.7779100905703181,172.099
2003-12,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,8.215743183528666,0.3041331409213106,,,,,,,,335.205844729288,205277321.05770725,10714447.633373586,17.622659088321722,185770401.209958,0.7780139846255577,165.917
2004-1,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,8.209520200161856,0.3035435360756226,1.5376186295962009,913.0454479041632,1151.7408490203688,18.610064465584166,13.217334675020451,74.89401227406196,2.5149780819340446,335.64152040496367,205510286.62204912,10724295.43257466,17.62567023832241,185824183.1882743,0.7781178786807972,185.712
2004-2,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2915557727587674,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,8.207621545953984,0.3028718450751919,1.5378521736510724,913.0441495298124,1151.895913946316,18.607012055742764,13.216297684177922,74.89457797004167,2.5149780819340446,334.80896777338467,205724769.178733,10734030.447113454,17.62831045660645,185866691.01920497,0.7782135578837621,170.875
2004-3,0.6110282002564377,-6382.974247910342,6.304693993612522,1.3153702879685611,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,8.205722891746111,0.3021204419337771,1.5379884076830812,913.0433921447744,1151.9863684864515,18.60523148333528,13.215692772853112,74.89490795936315,2.5149780819340446,335.5784293118463,205939251.7354169,10743765.46165225,17.630950674890492,185909198.85013568,0.778309237086727,204.477
2004-4,0.602215193421453,-6659.524121320398,6.092845857236326,1.2716511611761512,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,8.203824237538239,0.3012876820440521,1.5380030041865107,913.0433109963776,1151.9960600443233,18.605040707720192,13.215627960925454,74.89494331536189,2.5149780819340446,334.4116793118463,206153734.29210076,10753500.476191044,17.63359089317453,185951706.6810664,0.7784049162896919,173.662
2004-5,0.5930166849467975,-6639.092352241397,5.906435456003245,1.3496753218264288,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,8.201925583330366,0.3003718759144814,1.5809193500051162,913.0925464426992,1141.7381120352647,19.57958139106218,13.383378138603852,71.38140810984676,2.639484013228795,334.9486061411146,206368216.8487846,10763235.490729837,17.63623111145857,185994214.51199707,0.7785005954926567,162.633
2004-6,0.574475450988554,-6748.885395968077,5.749095649630231,1.5103056439741145,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,8.200026929122494,0.2993713475064954,1.6167657130435955,913.1303227780415,1129.788126109452,20.485088628269352,13.54943607982288,68.15678971094455,2.74789898650683,334.619939474448,206582699.4054685,10772970.505268632,17.638871329742614,186036722.34292772,0.7785962746956216,190.965
2004-7,0.5593363966337657,-6784.497815846861,5.627047610968012,1.3540905935347418,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,8.19812827491462,0.2983468777515465,1.6589033090675391,913.180222103432,1115.287962817337,21.49780356196585,13.73315124215824,64.53454405073714,2.865849213282947,334.95773017212235,206797181.96215236,10782705.519807426,17.641511548026653,186079230.1738585,0.7786919538985866,193.647
2004-8,0.5366506165950669,-6905.605509166634,5.503636763429107,1.434760472048315,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,8.196229620706747,0.2971756080598287,1.7054762068451583,913.2435578935086,1099.0156909966445,22.530627789264653,13.916385524526556,60.8113187556351,2.981835867330503,334.1510710812133,207011664.5188362,10792440.53434622,17.644151766310692,186121738.00478917,0.7787876331015514,214.935
2004-9,0.521373108360619,-6995.222858870797,5.379865840264738,1.2837775896757788,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,8.194330966498875,0.2960242306254223,1.7546284751446657,913.3216436229092,1081.7493794850975,23.496462907278787,14.081000825844438,57.283761452049006,3.084360122422855,333.03544885899106,207226147.07552007,10802175.548885016,17.646791984594735,186164245.83571985,0.7788833123045164,197.495
2004-10,0.5156158255655208,-7120.238857990881,5.253056293059425,1.1406245002546846,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,8.192432312291002,0.2948934604618905,1.8045041827342712,913.415792766272,1064.2670971204209,24.308210513121253,14.208859045028502,54.24851976638944,3.1619231523333595,332.64303581551286,207440629.63220397,10811910.563423809,17.649432202878774,186206753.66665053,0.7789789915074812,184.957
2004-11,0.5071034898207396,-7055.497216121851,5.122595130555095,1.2854603148119332,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,8.19053365808313,0.2940325777236907,1.8532473983821875,913.527318798235,1047.3469127403375,24.878772203905044,14.281822080995363,52.00224132506697,3.203026130835373,332.63373794317243,207655112.1888878,10821645.577962603,17.652072421162813,186249261.4975812,0.7790746707104461,197.165
