,Roraima - IDH,Roraima - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - Desemprego,Roraima - value
2003-1,0.734916255848655,6.92,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,2.0587783068328687,1001.0771976942168,1671.3476355522323,25.56909418814516,22.736364257227443,82.3252610667893,1.6149600994278306,6128460.111199017,332580.20282068977,12.101540149290196,5339135.99993909,8.263084148815043,0.2945827226410365
2003-2,0.7349569256806422,7.476,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,2.0587783068328687,1001.0792575487328,1671.3476355522323,25.57536920706597,22.73119068196049,82.3252610667893,1.6157594782745135,6136622.305355945,332914.7555428277,12.103484594579648,5342057.139001624,8.257122593341329,0.2965051934126193
2003-3,0.7349975955126293,8.659,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,2.0587783068328687,1001.0804591305338,1671.3476355522323,25.579029634769785,22.72817276305477,82.3252610667893,1.6162257826017452,6144784.499512873,333249.30826496566,12.1054290398691,5344978.278064159,8.251161037867615,0.2981777047425547
2003-4,0.7350382653446166,7.259,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,2.0587783068328687,1001.080587871441,1671.3476355522323,25.57942182345233,22.727849414600588,82.3252610667893,1.6162757437796629,6152946.693669801,333583.8609871036,12.107373485158554,5347899.417126693,8.245199482393899,0.2995983546285941
2003-5,0.7350789351766037,6.786,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,2.047444972634791,1001.0669581329254,1673.9536744900945,25.60051171728688,22.70095944512384,82.16328754837592,1.6262107244464898,6161108.887826729,333918.41370924155,12.109317930448006,5350820.556189227,8.239237926920184,0.3009651914332306
2003-6,0.7351196050085909,5.555,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,2.036227336754453,1001.0507803801166,1676.6057346020125,25.62197538304714,22.67305476632486,81.98377849817395,1.6370238847770853,6169271.081983657,334252.9664313795,12.111262375737455,5353741.695251762,8.23327637144647,0.3012600543220692
2003-7,0.735160274840578,5.06,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,2.021858957729309,1001.029319449913,1680.014170794714,25.64889829072201,22.637626112643552,81.75007264981686,1.6509748567506122,6177433.276140584,334587.51915351744,12.11320682102691,5356662.834314296,8.227314815972754,0.3022970604006271
2003-8,0.7352009446725651,5.241,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,2.004453825932119,1001.0027606999902,1684.1504098119178,25.6810979391305,22.59492936823242,81.46400035586306,1.6679552380649745,6185595.470297512,334922.0718756554,12.115151266316364,5359583.97337683,8.22135326049904,0.302258212331384
2003-9,0.7352416145045523,4.794,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,1.9841259317356408,1000.9712894880232,1688.9858783973425,25.718391827091622,22.54522041724398,81.127391968871,1.6878566264180763,6193757.66445444,335256.6245977933,12.117095711605817,5362505.112439365,8.215391705025326,0.301733314685937
2003-10,0.7352822843365394,5.781,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,1.9609892655126329,1000.9350911716872,1694.492003294707,25.760597453424392,22.488755143830733,80.74207784139905,1.710570619507822,6201919.858611368,335591.1773199313,12.119040156895268,5365426.251501899,8.209430149551611,0.3007119702310938
