,Amazonas - Consumo de Cimento (t),Amazonas - IDH,Amazonas - value,Amazonas - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amazonas - Produção de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2003-1,28.193,0.6958981976409983,0.3302786293579274,8.63094167820409,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,51.31308,2.4616330959343524,1004.1967783371838,1442.8731848177074,27.42671525769828,23.51421486865011,80.12995812790851,1.4963536102061572,47544687.674064346,2519796.2103436003,12.490621318989646,43185181.42088147
2003-2,31.226,0.696042688287905,0.3311372077954465,8.62487239825774,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,51.55419538461539,2.1466440695896862,1004.285478907278,1391.4850211980363,27.434102043602365,23.570111653779897,80.31916299181115,1.4716324941816494,47601898.65275156,2521320.868973269,12.49216413615344,43201536.00382865
2003-3,33.484,0.6961871789348117,0.3313060969167054,8.61880311831139,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,51.5233064957265,1.545734352359826,1004.424960587412,1387.248484921718,27.526483207262483,23.61536480070752,80.03875381613479,1.4282850991291312,47659109.63143877,2522845.527602938,12.493706953317233,43217890.586775824
2003-4,31.596,0.6963316695817185,0.3317909253043227,8.612733838365042,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,51.63962792429793,1.2066976989506422,1004.3323510003188,1340.459254107665,28.12320098149275,23.52773068072487,77.08223702583037,1.5086909916289444,47716320.61012598,2524370.186232608,12.495249770481026,43234245.16972301
2003-5,32.919,0.6964761602286254,0.3321892812208954,8.606664558418691,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,51.83845551050483,1.173365948817713,1004.22369974738,1275.5140056473865,28.48908884957577,23.45973285430709,75.29437822832072,1.4848814345457997,47773531.58881319,2525894.844862276,12.49679258764482,43250599.75267018
2003-6,32.198,0.696620650875532,0.3324983877135361,8.60059527847234,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,51.88248884383816,1.06297123916248,1004.205167225631,1224.8721763163062,28.7803923071096,23.462514269001964,74.10475800780884,1.4662794201712146,47830742.567500405,2527419.503491945,12.498335404808612,43266954.33561736
2003-7,37.274,0.6967651415224388,0.3325116249003285,8.594525998525992,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,52.34184368254784,0.8136089965022535,1004.1938335487056,1132.8542161606963,29.084746558662204,23.52646473855525,73.08582294478195,1.3864818538792412,47887953.54618762,2528944.1621216144,12.499878221972406,43283308.91856453
2003-8,37.605,0.6969096321693456,0.3328511502042184,8.588456718579643,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,52.32221868254783,0.6798637350738659,1004.246280519111,1263.6045967391838,28.975273351614312,23.737557880122697,74.42100572710721,1.233039090891067,47945164.52487484,2530468.820751284,12.5014210391362,43299663.50151171
2003-9,38.386,0.6970541228162523,0.3331151004113541,8.582387438633292,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,52.23615807648723,0.6041341340507671,1004.1395090582888,1339.2732710384007,28.998044117913203,23.873153290701577,74.83243098716079,1.2721727881360982,48002375.50356205,2531993.479380952,12.502963856299992,43316018.08445889
2003-10,39.519,0.6971986134631591,0.3343220002238347,8.576318158686941,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,52.19389337060488,0.6088366340045752,1003.9645889054292,1414.0760245079582,28.9317844390474,23.937721927055684,75.32327834627947,1.3002160787914985,48059586.48224926,2533518.138010621,12.504506673463784,43332372.66740606
2003-11,39.614,0.697343104110066,0.3352790363183034,8.570248878740593,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,52.1094647991763,0.645006587615269,1003.8172593425816,1536.5166666666669,28.851684156045398,23.85316706151091,75.23445947644403,1.487102925499244,48116797.46093647,2535042.79664029,12.50604949062758,43348727.25035324
2003-12,36.333,0.6974875947569726,0.3365935754429253,8.564179598794244,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,52.27277035473186,0.990022335646778,1003.6483973286782,1477.519441997063,28.60290315562161,23.78156513370565,76.02904778788529,1.5729892711137514,48174008.43962368,2536567.4552699598,12.507592307791372,43365081.83330041
2004-1,34.293,0.6976320854038794,0.3384891625048575,8.558110318847893,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,52.14577035473186,1.353382842893155,1003.7016165549288,1346.2597670744624,28.03656471663723,23.742384172502163,78.36909186745628,1.4765401884757108,48231219.418310896,2538092.113899628,12.509135124955163,43381436.41624759
