, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Pará - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Pará - Produção de Cimento (t),Pará - Consumo de Cimento (t),Pará - value,Pará - IDH,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.34854250959626,,,,,,,,49.61856,84.701,0.312867444312669,0.6695643379567419,77760914.28509438,4250430.443856791,9.22037367936359,68512688.76315014
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.342554245476785,,,,,,,,49.65809846153847,80.221,0.3126570762033482,0.6697638128842065,77871814.07814074,4255475.613307242,9.225492897721184,68563647.58004242
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.336565981357312,,,,,,,,49.90687623931625,76.122,0.3117360722189299,0.6699632878116712,77982713.8711871,4260520.782757694,9.23061211607878,68614606.3969347
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.330577717237837,,,,,,,,49.86430481074482,76.544,0.310492885676828,0.6701627627391359,78093613.66423346,4265565.9522081455,9.235731334436377,68665565.21382698
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.324589453118362,,,,,,,,50.179753086606894,83.445,0.3091281325516204,0.6703622376666005,78204513.45727982,4270611.121658597,9.240850552793972,68716524.03071925
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.318601188998889,,,,,,,,50.82941975327356,82.978,0.3074300199996927,0.6705617125940653,78315413.25032619,4275656.291109049,9.245969771151568,68767482.84761153
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.312612924879414,,,,,,,,51.708839108112265,93.037,0.3056031624379335,0.6707611875215299,78426313.04337254,4280701.4605595,9.251088989509164,68818441.66450381
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.306624660759939,,,,,,,,52.14724535811226,89.827,0.3036483517750568,0.6709606624489945,78537212.8364189,4285746.630009953,9.256208207866758,68869400.4813961
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.300636396640465,,,,,,,,52.75324535811226,93.27,0.3013582347365923,0.6711601373764593,78648112.62946527,4290791.799460405,9.261327426224351,68920359.29828838
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.29464813252099,,,,,,,,53.321039475759314,100.67,0.2989293917724773,0.6713596123039239,78759012.42251162,4295836.968910856,9.266446644581947,68971318.11518064
2003-11,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,8.288659868401515,,,,,,,,53.8321537614736,92.924,0.2965665807762888,0.6715590872313886,78869912.21555798,4300882.138361308,9.271565862939545,69022276.93207292
2003-12,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,8.282671604282042,,,,,,,,54.25623709480694,98.571,0.294274655814366,0.6717585621588533,78980812.00860435,4305927.307811759,9.27668508129714,69073235.7489652
2004-1,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,8.276683340162567,3.435609747813074,1008.7098239556296,8423.84368002827,25.85463945278705,23.33822068888271,86.74303798201706,0.9453610106908912,54.61534520291504,110.204,0.2918501474114441,0.671958037086318,79091711.8016507,4310972.477262211,9.281804299654736,69124194.56585748
2004-2,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2915557727587674,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,8.274846223876596,3.1887309599342784,1008.8908738361554,8744.735213077147,26.29535331180736,23.37755611301652,84.98697466063115,0.9574234360194456,55.219003097651886,76.354,0.2899184899436136,0.6721444726836964,79190762.84888156,4314122.166853284,9.28537634361933,69160817.56247368
2004-3,0.6110282002564377,-6382.974247910342,6.304693993612522,1.3153702879685611,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,8.273009107590623,2.681265897406534,1009.1340557626082,11436.20524081396,27.048530391973188,23.28182462139901,81.20014034410336,1.0451246868049882,55.083362072010864,77.171,0.2874728866503619,0.6723309082810748,79289813.89611243,4317271.856444357,9.288948387583924,69197440.55908987
2004-4,0.602215193421453,-6659.524121320398,6.092845857236326,1.2716511611761512,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,8.271171991304652,2.249142345282982,1009.3874122665002,13719.902686816233,27.54244239225717,23.147245547834107,78.32696042697522,1.130874309234605,55.52303707201086,80.72,0.2853270472280765,0.6725173438784532,79388864.94334328,4320421.54603543,9.292520431548516,69234063.55570607
2004-5,0.5930166849467975,-6639.092352241397,5.906435456003245,1.3496753218264288,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,8.26933487501868,1.7241006918038546,1009.8814884647612,15839.026101389236,27.965128511407396,22.99772295908697,75.69683822904253,1.2380685074513105,55.75915902323037,82.088,0.2832827963102954,0.6727037794758316,79487915.99057415,4323571.235626504,9.296092475513111,69270686.55232227
2004-6,0.574475450988554,-6748.885395968077,5.749095649630231,1.5103056439741145,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,8.267497758732707,1.5200019821695427,1010.0440567377613,17154.933844170046,27.761209662857254,22.817441486093067,75.8166904748526,1.2202698272768155,56.07830188037323,98.315,0.2815460755742272,0.67289021507321,79586967.037805,4326720.925217576,9.299664519477703,69307309.54893845
2004-7,0.5593363966337657,-6784.497815846861,5.627047610968012,1.3540905935347418,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,8.265660642446736,1.9303635738829923,1009.6668537240058,16517.153724507516,27.46547743705313,22.909529746277887,77.45207330389051,1.1700362752123483,56.4097669966523,108.105,0.2793107825839589,0.6730766506705885,79686018.08503586,4329870.61480865,9.3032365634423,69343932.54555465
2004-8,0.5366506165950669,-6905.605509166634,5.503636763429107,1.434760472048315,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,8.263823526160765,2.178961040963493,1009.356779672408,16066.362210515008,27.54621419445821,22.985334232881367,77.51811433792399,1.0957219007366787,56.66890336028867,108.975,0.2773913494952418,0.6732630862679669,79785069.13226673,4333020.304399723,9.306808607406891,69380555.54217085
2004-9,0.521373108360619,-6995.222858870797,5.379865840264738,1.2837775896757788,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,8.261986409874792,3.1600750093387244,1008.7940452012996,15311.11968717064,27.663406865082493,23.02422354870293,77.2816286980635,1.0125544751114022,57.117614471399776,110.773,0.2753820176511049,0.6734495218653453,79884120.17949758,4336169.993990796,9.310380651371489,69417178.53878704
2004-10,0.5156158255655208,-7120.238857990881,5.253056293059425,1.1406245002546846,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,8.260149293588821,3.7705604581072074,1008.3752659346364,14614.618720688166,27.80283683333356,23.154365277127024,77.20192777493439,1.0051203382567149,57.80174490618238,110.954,0.2732809969555607,0.6736359574627238,79983171.22672845,4339319.683581869,9.31395269533608,69453801.53540324
2004-11,0.5071034898207396,-7055.497216121851,5.122595130555095,1.2854603148119332,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,8.25831217730285,3.811790956027038,1008.209527943438,14018.892310026578,27.75143282816824,23.16646492844963,77.55192023796417,0.9860677718766564,58.61476618277813,117.382,0.2715072950559684,0.6738223930601022,80082222.27395931,4342469.373172943,9.317524739300676,69490424.53201944
2004-12,0.4969515420076215,-6921.044658255659,4.995239879121229,1.2322302066002024,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,8.256475061016877,4.122247344085312,1008.219519138999,13419.250198520624,27.282826838683565,23.242904776767624,79.94887009841193,0.9724923224664084,59.27097451611146,112.122,0.2696641676266764,0.6740088286574806,80181273.32119018,4345619.062764015,9.321096783265268,69527047.52863562
2005-1,0.483143045759377,-7202.757774714469,4.860078219431911,1.4183908253341642,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,8.254637944730906,3.4476887649557746,1008.2301247309886,12845.626658553438,26.84657546740268,23.370507990126423,82.42156062807325,0.935466595155246,59.39205614876452,115.365,0.2681760420563741,0.674195264254859,80280324.36842103,4348768.7523550885,9.324668827229862,69563670.52525182
2005-2,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4238954789241105,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,8.247460312573752,3.0978694631560244,1008.3995688447532,12422.432014870144,26.77405080222361,23.454524921476573,83.10337837821443,0.9125072278611808,59.754086682412776,90.229,0.266651727724613,0.6743691791212252,80376265.66058558,4352206.817049332,9.328586002207778,69600987.07536355
