,Bahia - value,Bahia - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Bahia - IDH,Bahia - Produção de Cimento (t),Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - Desemprego
2003-1,0.2998581941934306,151.297,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,1.6042267021814955,1007.701638785564,1669.7344632923557,26.97369975563287,22.14752546575604,75.41158675851192,2.0042341622253,0.6698992636044152,39.79888,131734360.9064606,8384592.526234203,8.566149432120241,121635930.94573908,8.3487785117798
2003-2,0.3019030681925273,138.707,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,2.224533278323817,1007.8494761804548,1568.7274444908285,26.72878371788666,22.241910428031268,76.96675581379954,1.7261385433466223,0.6702099614160556,39.48003384615384,131896369.6850426,8391945.58962304,8.569209949849451,121691402.78420894,8.342978600113659
2003-3,0.3037089885994222,135.009,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,2.31233042926194,1008.2596084455346,1452.2728841823175,26.305364315334128,22.159668304230895,78.49312612746391,1.462602299697281,0.6705206592276959,39.40025606837607,132058378.4636246,8399298.653011877,8.572270467578663,121746874.6226788,8.337178688447517
2003-4,0.3053111988753256,126.554,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,2.3327650110365803,1009.1438872666786,1359.2303661899805,25.78830621253977,21.728600906936546,78.80179967600478,1.2170476063684816,0.6708313570393363,39.41718463980464,132220387.2422066,8406651.716400713,8.575330985307874,121802346.46114863,8.331378776781376
2003-5,0.3068599594498443,137.331,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,2.2258418365956385,1010.0055688853324,1291.7372813569968,25.18992529931756,21.30360541184661,79.54746693354728,1.0319264467116676,0.6711420548509767,39.479943260494295,132382396.0207886,8414004.77978955,8.578391503037086,121857818.29961853,8.325578865115235
2003-6,0.3080026543561971,118.68,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,1.8980355338545385,1010.6601534294496,1304.648223165482,24.803457451332864,20.89704455699996,79.37854181103982,0.8893723294711184,0.671452752662617,39.67724326049429,132544404.7993706,8421357.843178388,8.581452020766296,121913290.13808836,8.319778953449093
2003-7,0.3092080618756394,131.291,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,1.8666452487658785,1010.8344072315552,1372.72601981025,24.7081085572948,20.660146438475927,78.68241391842216,0.7641013731461112,0.6717634504742573,40.29214648630074,132706413.5779526,8428710.906567223,8.584512538495506,121968761.97655822,8.313979041782952
2003-8,0.3102320966428397,131.406,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,1.8823946632018045,1010.2945131942796,1439.708678255943,24.826947448327385,20.80106039305836,78.81011047430256,0.6560138078216454,0.6720741482858977,40.836521486300754,132868422.3565346,8436063.96995606,8.587573056224718,122024233.81502809,8.30817913011681
2003-9,0.3109848100014842,147.495,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,1.8256906736482872,1009.5769103843444,1539.6375772196957,25.45217680294784,21.01182393108093,77.12009641791276,0.7049751852763473,0.672384846097538,40.90318815296742,133030431.13511658,8443417.033344898,8.590633573953928,122079705.65349792,8.30237921845067
2003-10,0.3116684803265855,154.944,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,1.9111928022466285,1008.543063195617,1564.7000722630803,26.095016873318503,21.274805766602856,75.87879521848471,0.8564800314329281,0.6726955439091784,41.344776388261536,133192439.91369855,8450770.096733734,8.59369409168314,122135177.4919678,8.296579306784528
2003-11,0.3122119860401909,142.678,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,2.153315389744765,1007.8225441074808,1536.7705983076996,26.77383990746487,21.555473702974787,74.15788118838584,1.0269421674228512,0.6730062417208188,41.33894781683296,133354448.69228056,8458123.160122572,8.59675460941235,122190649.33043766,8.290779395118387
2003-12,0.3128897116630283,142.702,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,2.2595618898342678,1007.3239688385524,1522.9799599814648,27.464077616681127,21.789061165067302,72.27085636976281,1.2393082114542875,0.6733169395324591,41.93111448349963,133516457.47086257,8465476.223511407,8.599815127141563,122246121.16890752,8.284979483452245
